context,module,cell_type,n_cells,mean_score
IBD,ERBB_RECEPTORS,myeloid cell,3771,0.0027941109009833845
IBD,ERBB_LIGANDS,T cell of anorectum,12128,0.06753938981418449
IBD,ERBB_LIGANDS,plasma cell,15633,0.056646100683732874
IBD,ERBB_LIGANDS,colon epithelial cell,12347,0.25088718408204097
IBD,ERBB_LIGANDS,stromal cell of lamina propria of colon,2821,0.10136286617202264
IBD,ERBB_LIGANDS,myeloid cell,3771,0.3503665005414291
IBD,VEGF_PDGF_AXIS,T cell of anorectum,12128,0.015744098811865715
IBD,VEGF_PDGF_AXIS,plasma cell,15633,0.03350987608511725
IBD,VEGF_PDGF_AXIS,colon epithelial cell,12347,0.13753028609837042
IBD,VEGF_PDGF_AXIS,stromal cell of lamina propria of colon,2821,0.21135906685775163
IBD,VEGF_PDGF_AXIS,myeloid cell,3771,0.16604680972607144
IBD,HGF_MET_AXIS,T cell of anorectum,12128,0.0005496921887655686
IBD,HGF_MET_AXIS,plasma cell,15633,0.0019616623521270535
IBD,HGF_MET_AXIS,colon epithelial cell,12347,0.09014335671272164
IBD,HGF_MET_AXIS,stromal cell of lamina propria of colon,2821,0.13045019714260137
IBD,HGF_MET_AXIS,myeloid cell,3771,0.006629541417516154
IBD,EPH_RECEPTORS,T cell of anorectum,12128,0.00633690995772141
IBD,EPH_RECEPTORS,plasma cell,15633,0.001794354163003315
IBD,EPH_RECEPTORS,colon epithelial cell,12347,0.1957196473784086
IBD,EPH_RECEPTORS,stromal cell of lamina propria of colon,2821,0.07476576037831023
IBD,EPH_RECEPTORS,myeloid cell,3771,0.015789675962479047
IBD,JAK_STAT,T cell of anorectum,12128,0.4664274252848332
IBD,JAK_STAT,plasma cell,15633,0.251124873298362
IBD,JAK_STAT,colon epithelial cell,12347,0.24081272741387152
IBD,JAK_STAT,stromal cell of lamina propria of colon,2821,0.5027640798976406
IBD,JAK_STAT,myeloid cell,3771,0.4116088379868921
IBD,SRC_FAK,T cell of anorectum,12128,0.27777045361923747
IBD,SRC_FAK,plasma cell,15633,0.0824281982384083
IBD,SRC_FAK,colon epithelial cell,12347,0.11787478925076884
IBD,SRC_FAK,stromal cell of lamina propria of colon,2821,0.19900744734018333
IBD,SRC_FAK,myeloid cell,3771,0.09583664989161637
IBD,WNT_CTNNB1,T cell of anorectum,12128,0.19172330671014662
IBD,WNT_CTNNB1,plasma cell,15633,0.1461484431488594
IBD,WNT_CTNNB1,colon epithelial cell,12347,0.29765000716456236
IBD,WNT_CTNNB1,stromal cell of lamina propria of colon,2821,0.6035722205061552
IBD,WNT_CTNNB1,myeloid cell,3771,0.2585010895212363
STAD,ERBB_RECEPTORS,unknown,1846,0.1504441609208594
STAD,ERBB_RECEPTORS,mucous neck cell of gastric gland,18372,0.14157532186375357
STAD,ERBB_RECEPTORS,foveolar cell of stomach,14313,0.13479550474741786
STAD,ERBB_RECEPTORS,epithelial cell,19556,0.13069641058441608
STAD,ERBB_RECEPTORS,peptic cell,2355,0.05537016723945642
STAD,ERBB_RECEPTORS,intestine goblet cell,1202,0.11203133061949704
STAD,ERBB_RECEPTORS,enterocyte,5575,0.13168613914483865
STAD,ERBB_RECEPTORS,type EC enteroendocrine cell,1158,0.09859199572952917
STAD,ERBB_RECEPTORS,parietal cell,1358,0.11992764933273438
STAD,ERBB_RECEPTORS,enteroendocrine cell,1928,0.11047779497810295
STAD,ERBB_RECEPTORS,BEST4+ enterocyte,64,0.13619172060862184
STAD,ERBB_RECEPTORS,type X enteroendocrine cell,606,0.056020794294946656
STAD,ERBB_RECEPTORS,type G enteroendocrine cell,480,0.07840994058642536
STAD,ERBB_LIGANDS,unknown,1846,0.12047458176913783
STAD,ERBB_LIGANDS,mucous neck cell of gastric gland,18372,0.041711194517977834
STAD,ERBB_LIGANDS,foveolar cell of stomach,14313,0.07258587614290558
STAD,ERBB_LIGANDS,epithelial cell,19556,0.06407784995349385
STAD,ERBB_LIGANDS,peptic cell,2355,0.03617319918362198
STAD,ERBB_LIGANDS,intestine goblet cell,1202,0.12232828753908938
STAD,ERBB_LIGANDS,enterocyte,5575,0.20262733329438307
STAD,ERBB_LIGANDS,type EC enteroendocrine cell,1158,0.029242287221041368
STAD,ERBB_LIGANDS,parietal cell,1358,0.016901662965498547
STAD,ERBB_LIGANDS,enteroendocrine cell,1928,0.05492051230372544
STAD,ERBB_LIGANDS,BEST4+ enterocyte,64,0.2438324810937047
STAD,ERBB_LIGANDS,type X enteroendocrine cell,606,0.011221937380313086
STAD,ERBB_LIGANDS,type G enteroendocrine cell,480,0.017671948252245783
STAD,VEGF_PDGF_AXIS,unknown,1846,0.04202892957709302
STAD,VEGF_PDGF_AXIS,mucous neck cell of gastric gland,18372,0.046823563784226654
STAD,VEGF_PDGF_AXIS,foveolar cell of stomach,14313,0.044690593174157495
STAD,VEGF_PDGF_AXIS,epithelial cell,19556,0.03600610412240461
STAD,VEGF_PDGF_AXIS,peptic cell,2355,0.037551860298542204
