"context","gene","n_mutated","n_sequenced","mutated_percent"
"ESCC","KDR",2,96,2.08333333333333
"ESCC","KIT",1,96,1.04166666666667
"ESCC","MAP2K1",2,96,2.08333333333333
"ESCC","MAPK1",1,96,1.04166666666667
"ESCC","MERTK",1,96,1.04166666666667
"ESCC","MET",1,96,1.04166666666667
"ESCC","MST1R",1,96,1.04166666666667
"ESCC","MTOR",3,96,3.125
"ESCC","NRG1",1,96,1.04166666666667
"ESCC","NTRK1",2,96,2.08333333333333
"ESCC","NTRK3",1,96,1.04166666666667
"ESCC","PDGFB",1,96,1.04166666666667
"ESCC","PDGFRA",1,96,1.04166666666667
"ESCC","PGF",1,96,1.04166666666667
"ESCC","PIK3CA",11,96,11.4583333333333
"ESCC","PIK3CB",2,96,2.08333333333333
"ESCC","PTK2B",2,96,2.08333333333333
"ESCC","RET",1,96,1.04166666666667
"ESCC","ROS1",4,96,4.16666666666667
"ESCC","SMAD2",2,96,2.08333333333333
"ESCC","SMAD3",1,96,1.04166666666667
"ESCC","STAT1",1,96,1.04166666666667
"ESCC","TEK",1,96,1.04166666666667
"ESCC","TGFBR1",1,96,1.04166666666667
"ESCC","TGFBR2",7,96,7.29166666666667
"ESCC","TP53",86,96,89.5833333333333
"ESCC","TYK2",1,96,1.04166666666667
"ESCC","VEGFC",2,96,2.08333333333333
"ESCC","YES1",2,96,2.08333333333333
"HCC","AKT2",2,367,0.544959128065395
"HCC","ALK",9,367,2.45231607629428
"HCC","ANGPT1",4,367,1.08991825613079
"HCC","AREG",1,367,0.272479564032698
"HCC","AXIN2",7,367,1.90735694822888
"HCC","CCND1",1,367,0.272479564032698
"HCC","CTNNB1",95,367,25.8855585831063
"HCC","DUSP6",3,367,0.817438692098093
"HCC","EGF",6,367,1.63487738419619
"HCC","EGFR",6,367,1.63487738419619
"HCC","EPHA1",2,367,0.544959128065395
"HCC","EPHA2",5,367,1.36239782016349
"HCC","EPHB2",6,367,1.63487738419619
"HCC","EPHB4",1,367,0.272479564032698
"HCC","ERBB2",1,367,0.272479564032698
"HCC","ERBB3",6,367,1.63487738419619
"HCC","ERBB4",9,367,2.45231607629428
"HCC","ETV5",2,367,0.544959128065395
"HCC","FGF10",1,367,0.272479564032698
"HCC","FGF7",1,367,0.272479564032698
"HCC","FGFR1",1,367,0.272479564032698
"HCC","FGFR2",4,367,1.08991825613079
"HCC","FGFR3",1,367,0.272479564032698
"HCC","FGFR4",4,367,1.08991825613079
