"disease","feature","k","accession","n_case","n_control","smd_min","smd_max","smd_DL","se_DL","p_DL","smd_REML","se_HK","p_REML_HK","ci_lo","ci_hi","I2","tau2_REML","fdr_DL","fdr_REML_HK"
"IBD","TGFB_SMAD",3,"GSE75214;GSE87473;GSE179285",202,75,0.680775099362342,1.4948038092331,1.04604486182221,0.237513403700037,1.06199022937599e-05,1.04601780662001,0.239144746957726,0.048498011673622,0.017061008317101,2.07497460492291,59.05874611082,0.100380671012195,2.57911912848454e-05,0.0824466198451573
"NAFLD","TGFB_SMAD",2,"GSE33814;GSE66676",62,47,-0.925900131499335,-0.36541950451621,-0.595501000222674,0.275714936672373,0.0307848187690808,-0.593716448508568,0.275384312681239,0.276481659781976,-4.09280590656714,2.90537300955,42.184717897314,0.0608629997154466,0.372678778167963,0.930302148823174
"STAD","TGFB_SMAD",1,"GSE13911",38,31,0.249381625986844,0.249381625986844,0.249381625986844,0.242949613759518,0.304667894578431,0.249381625986844,NA,NA,NA,NA,0,0,NA,NA
"Asthma","TIE_ANGPT_AXIS",3,"GSE4302;GSE43696;GSE67472",192,91,-0.596647674727603,0.278473435562469,-0.217354263021296,0.258370852122718,0.400208363954422,-0.217484670405859,0.25676417986742,0.486176625679638,-1.3222517698143,0.887282429002577,73.2371576819726,0.144621646956527,0.453569479148345,0.551000175770256
"COPD","TIE_ANGPT_AXIS",2,"GSE76925;GSE47460",256,131,-0.00414183246644002,0.160536499100441,0.103666429558009,0.108372976553278,0.33878391123713,0.103666429558009,0.0783011070073669,0.411826700631616,-0.891243467146718,1.09857632626274,0,0,0.508175866855695,0.617740050947424
"CRC","TIE_ANGPT_AXIS",2,"GSE41258;GSE23878",217,77,-0.239455425098388,-0.221915535544863,-0.234941500761734,0.134845515656504,0.0814557574368693,-0.234941500761734,0.00766799983051939,0.0207705665034164,-0.332372676525266,-0.137510324998201,0,0,0.106519067417444,0.0706199261116156
"HCC","TIE_ANGPT_AXIS",1,"GSE62232",81,5,0.152976211360844,0.152976211360844,0.152976211360844,0.460957411841046,0.739990250014901,0.152976211360844,NA,NA,NA,NA,0,0,NA,NA
"IBD","TIE_ANGPT_AXIS",3,"GSE75214;GSE87473;GSE179285",202,75,1.06446884286535,1.25986342591351,1.14101481222397,0.152537554815278,7.41970212171601e-14,1.14101481222397,0.0642621136593453,0.00315694550647309,0.864517253468115,1.41751237097982,0,0,2.52269872138344e-13,0.0178893578700142
"NAFLD","TIE_ANGPT_AXIS",2,"GSE33814;GSE66676",62,47,-0.206434974295598,0.518194289355838,0.187571724783076,0.360925900024146,0.603275517306044,0.187819949427026,0.360904017972294,0.694520491154724,-4.39790039303702,4.77354029189107,66.976781408726,0.173803012400387,0.872548557125363,0.930302148823174
"STAD","TIE_ANGPT_AXIS",1,"GSE13911",38,31,0.227130986011371,0.227130986011371,0.227130986011371,0.242791440520172,0.349531545976123,0.227130986011371,NA,NA,NA,NA,0,0,NA,NA
"Asthma","VEGF_PDGF_AXIS",3,"GSE4302;GSE43696;GSE67472",192,91,-0.565052810239832,-0.00084910929347023,-0.314199839169682,0.153592657308623,0.0407888826580496,-0.314845723984964,0.154933476123641,0.179199806429951,-0.981470667957921,0.351779219987994,25.1639901124078,0.0110370064352299,0.0990587150266918,0.355489169272506
"COPD","VEGF_PDGF_AXIS",2,"GSE76925;GSE47460",256,131,-0.437921413971119,-0.372103491113522,-0.394754602234411,0.109191001104085,0.000300038447215534,-0.394754602234411,0.0312694139596933,0.0503230301606598,-0.792070177986472,0.00256097351765106,0,0,0.0022502883541165,0.377422726204948
"CRC","VEGF_PDGF_AXIS",2,"GSE41258;GSE23878",217,77,0.646035018723919,1.08933278673441,0.920569175058546,0.21524724330736,1.89599925125049e-05,0.924254135259297,0.214308274623864,0.145050769286221,-1.79879067876787,3.64729894928646,48.7757506892174,0.0415249412670958,4.60456961017977e-05,0.224169370715069
"HCC","VEGF_PDGF_AXIS",1,"GSE62232",81,5,0.389885924128127,0.389885924128127,0.389885924128127,0.461767759910512,0.398483149607663,0.389885924128127,NA,NA,NA,NA,0,0,NA,NA
"IBD","VEGF_PDGF_AXIS",3,"GSE75214;GSE87473;GSE179285",202,75,1.14228811919805,1.51300031323188,1.29606014338389,0.155563160790527,7.98865863257077e-17,1.29606014338389,0.101985642786299,0.00613503130266865,0.857251339054174,1.73486894771362,0,0,6.79035983768516e-16,0.0260738830363417
"NAFLD","VEGF_PDGF_AXIS",2,"GSE33814;GSE66676",62,47,-0.313182697748166,0.658266573703205,0.145942063554012,0.484995740632331,0.763479987484693,0.145861563625585,0.484991318865906,0.814014380220277,-6.016537429152,6.30826055640317,81.2941686072848,0.382168413189748,0.872548557125363,0.930302148823174
"STAD","VEGF_PDGF_AXIS",1,"GSE13911",38,31,0.94152128395248,0.94152128395248,0.94152128395248,0.254946061057562,0.00022160528247046,0.94152128395248,NA,NA,NA,NA,0,0,NA,NA
"Asthma","WNT_CTNNB1",3,"GSE4302;GSE43696;GSE67472",192,91,-0.710618935629601,-0.393269998047478,-0.546264861250629,0.13279661424878,3.89628883920769e-05,-0.546264861250629,0.0845245164849209,0.0231150222905838,-0.909944502835227,-0.182585219666031,0,0,0.000662369102665308,0.196477689469962
"COPD","WNT_CTNNB1",2,"GSE76925;GSE47460",256,131,-0.691475604335295,-0.386052456869726,-0.510293806180002,0.15003423300459,0.000670950208925281,-0.509183986120989,0.149819376985805,0.182174333153267,-2.41281966354877,1.39445169130679,42.3331210476662,0.0179949078510179,0.0033547510446264,0.414562421898681
"CRC","WNT_CTNNB1",2,"GSE41258;GSE23878",217,77,2.56687191729534,2.59042072981352,2.58489654751717,0.171974914591964,4.62372678998255e-51,2.58489654751717,0.00997854414079094,0.00245754784671185,2.45810712269532,2.71168597233901,0,0,7.86033554297033e-50,0.0124566041344592
"HCC","WNT_CTNNB1",1,"GSE62232",81,5,0.762224618174127,0.762224618174127,0.762224618174127,0.464460446902078,0.100777293851908,0.762224618174127,NA,NA,NA,NA,0,0,NA,NA
"IBD","WNT_CTNNB1",3,"GSE75214;GSE87473;GSE179285",202,75,-0.352752714337921,0.77263648673487,0.197611631294225,0.341008543060752,0.562257423762861,0.197575870219598,0.328184316155605,0.608315855852971,-1.21448727354828,1.60963901398747,81.5295781198796,0.264548184371173,0.682741157426331,0.73866925353575
"NAFLD","WNT_CTNNB1",2,"GSE33814;GSE66676",62,47,0.0812640454703375,0.089019560162184,0.0840634497713908,0.198600501754652,0.67209161125173,0.0840634497713908,0.00372480291350851,0.0281898155313618,0.0367353413504517,0.13139155819233,0,0,0.872548557125363,0.451037048501788
"STAD","WNT_CTNNB1",1,"GSE13911",38,31,1.3851993364944,1.3851993364944,1.3851993364944,0.26921745227925,2.67121219353902e-07,1.3851993364944,NA,NA,NA,NA,0,0,NA,NA
