"disease","feature","k","accession","n_case","n_control","smd_min","smd_max","smd_DL","se_DL","p_DL","smd_REML","se_HK","p_REML_HK","ci_lo","ci_hi","I2","tau2_REML","fdr_DL","fdr_REML_HK"
"COPD","FGFR_AXIS",2,"GSE76925;GSE47460",256,131,-0.440219759947447,0.0148886195620331,-0.194247235647129,0.226807570921924,0.391754058284146,-0.194124134988031,0.226797540673366,0.549317748315938,-3.07586012044472,2.68761185046866,74.6350816244758,0.0766058781561262,0.522244858256237,0.657488896112715
"CRC","FGFR_AXIS",2,"GSE41258;GSE23878",217,77,-1.70202181824785,-1.29817190884205,-1.41734354287105,0.18418896614404,1.41437419314197e-14,-1.39013210760751,0.169355955854488,0.0771773097080966,-3.5420035559852,0.761739340770179,24.7455969247248,0,8.01478709447118e-14,0.187430609291092
"HCC","FGFR_AXIS",1,"GSE62232",81,5,-0.575408657466127,-0.575408657466127,-0.575408657466127,0.462893779023007,0.213842606717969,-0.575408657466127,NA,NA,NA,NA,0,0,NA,NA
"IBD","FGFR_AXIS",3,"GSE75214;GSE87473;GSE179285",202,75,-0.182371096881846,0.184539563723066,-0.00724252319960412,0.144568972389807,0.960044807123926,-0.00724252319960412,0.111344236202697,0.95405394103246,-0.486318105039006,0.471833058639798,0,0,0.960044807123926,0.95405394103246
"NAFLD","FGFR_AXIS",2,"GSE33814;GSE66676",62,47,-0.340861402092652,0.245724862434613,-0.0878894614546273,0.29050828376985,0.762242845481654,-0.0886983226843084,0.29039486941944,0.811280131695845,-3.77851498786243,3.60111834249382,49.8869069460014,0.0824429316686932,0.872548557125363,0.930302148823174
"STAD","FGFR_AXIS",1,"GSE13911",38,31,-0.0418402073814873,-0.0418402073814873,-0.0418402073814873,0.24204656477311,0.862761349607777,-0.0418402073814873,NA,NA,NA,NA,0,0,NA,NA
"Asthma","HGF_MET_AXIS",3,"GSE4302;GSE43696;GSE67472",192,91,-0.524639742206656,-0.022986365647981,-0.26248102791931,0.133595505574182,0.0494438226564558,-0.262394064570955,0.13346123281864,0.188200148438386,-0.836631402273804,0.311843273131893,2.80351888595007,0,0.105068123144969,0.355489169272506
"COPD","HGF_MET_AXIS",1,"GSE76925",111,40,-0.690418164725269,-0.690418164725269,-0.690418164725269,0.188646257511751,0.000252356880718505,-0.690418164725269,NA,NA,NA,NA,0,0,NA,NA
"CRC","HGF_MET_AXIS",2,"GSE41258;GSE23878",217,77,0.488604639795293,0.955544828851422,0.771284618719589,0.228225047522512,0.000726200407377658,0.773827583076149,0.227661871390257,0.182155616171049,-2.11889076542913,3.66654593158143,54.7929308749171,0.0543766590632204,0.00137171188060224,0.238203498069833
"HCC","HGF_MET_AXIS",1,"GSE62232",81,5,-0.87871901120033,-0.87871901120033,-0.87871901120033,0.465655351458217,0.0591524224333197,-0.87871901120033,NA,NA,NA,NA,0,0,NA,NA
