"cohort","feature","model","n","events","HR","lo","hi","p"
"GSE39582","VEGF_PDGF_AXIS","uni",573,190,1.21345185054643,1.05465793523856,1.39615447283529,0.00685846887941811
"GSE39582","VEGF_PDGF_AXIS","age",573,190,1.20352883644373,1.04804919680165,1.38207410928033,0.0086668404737169
"GSE39582","ERBB_LIGANDS","uni",573,190,1.01080391926611,0.877984983594077,1.16371530526781,0.881151305121501
"GSE39582","ERBB_LIGANDS","age",573,190,1.02575998944192,0.890539711841507,1.181512224496,0.724360257405268
"GSE39582","WNT_CTNNB1","uni",573,190,0.958043610497153,0.833007229077769,1.10184825242223,0.548042423100824
"GSE39582","WNT_CTNNB1","age",573,190,0.984024590400762,0.853848530792316,1.13404703480003,0.823968944357556
"GSE39582","EPH_RECEPTORS","uni",573,190,0.93028203506863,0.808415643737288,1.070519443155,0.313089142308639
"GSE39582","EPH_RECEPTORS","age",573,190,0.925078232222744,0.805475804366354,1.06244002748856,0.270243469620836
