"context","feature","n","events","HR_uni","p_uni","HR_age","p_age","HR_age_stage","p_age_stage","n_with_stage","fdr_age","fdr_age_stage"
"LUAD","EPH_RECEPTORS",503,182,NA,NA,1.17352065814063,0.0457844531679479,1.12081988689464,0.148773912150693,495,0.145937944472834,0.361308072365969
"LUAD","ERBB_LIGANDS",503,182,NA,NA,1.15471066504907,0.0619792516430074,1.10953581034989,0.172681658455566,495,0.185937754929022,0.404908716378568
"LUAD","ERBB_RECEPTORS",503,182,NA,NA,1.01676180363094,0.827171537818528,1.00000669310347,0.999929111133943,495,0.945578088653047,0.999929111133943
"LUAD","FGFR_AXIS",503,182,NA,NA,0.971960271020973,0.712558840553642,0.976023612611336,0.760734013478716,495,0.875018140728794,0.925321772253619
"LUAD","HGF_MET_AXIS",503,182,NA,NA,1.01938038020898,0.799450181447938,0.983549148278553,0.835550032104442,495,0.926635437587383,0.925321772253619
"LUAD","IGF_INSR_AXIS",503,182,NA,NA,1.03735046414292,0.62235714640112,1.02178786535478,0.776564001048512,495,0.81385165298608,0.925321772253619
"LUAD","JAK_STAT",503,182,NA,NA,0.987278558103667,0.86171738245045,0.953719292379791,0.537256624673384,495,0.945578088653047,0.867930650363409
"LUAD","PDGFR_KIT_CSF1R",503,182,NA,NA,0.896299688363721,0.126664674138315,0.892125149506387,0.12116599762307,495,0.293631744593366,0.329571513534751
"LUAD","PI3K_AKT",503,182,NA,NA,1.09189018276441,0.241679033661711,1.01243656995236,0.870891079768112,495,0.448204753336264,0.925321772253619
"LUAD","RAS_MAPK",503,182,NA,NA,1.1359783875888,0.0891475588110819,1.06302076456828,0.425577719772015,495,0.227326274968259,0.761560130118343
"LUAD","RET_ALK_NTRK",503,182,NA,NA,0.736641998223975,0.000324188533536305,0.772056527615627,0.00277759156471333,495,0.00457604294583815,0.0209862473778341
"LUAD","SRC_FAK",503,182,NA,NA,0.999523342193403,0.994711382298051,0.951149032269599,0.499736296504095,495,0.994711382298051,0.849551704056961
"LUAD","TAM_AXL_AXIS",503,182,NA,NA,1.03272055391576,0.645643139937764,1.00921543562636,0.898580787819562,495,0.826028804506169,0.936653451796804
"LUAD","TGFB_SMAD",503,182,NA,NA,1.143681204414,0.0867509680943774,1.05116632674024,0.524872132727479,495,0.226887147323756,0.867930650363409
"LUAD","TIE_ANGPT_AXIS",503,182,NA,NA,0.936200923009733,0.354415328816923,0.916482616450901,0.234774758708013,495,0.592628910480757,0.498896362254528
"LUAD","VEGF_PDGF_AXIS",503,182,NA,NA,1.13849517306472,0.0860749333649365,1.06337025139191,0.414764258148053,495,0.226887147323756,0.761560130118343
"LUAD","WNT_CTNNB1",503,182,NA,NA,1.05233003321653,0.503817344834848,0.980483198954356,0.793509750996678,495,0.778626805653856,0.925321772253619
"CRC","EPH_RECEPTORS",566,115,NA,NA,0.981505636101153,0.849265916431932,NA,NA,0,0.945578088653047,NA
"CRC","ERBB_LIGANDS",566,115,NA,NA,0.819170999886545,0.0242560105101538,NA,NA,0,0.103973541149352,NA
"CRC","ERBB_RECEPTORS",566,115,NA,NA,1.1547769115639,0.134428612092843,NA,NA,0,0.298080835510218,NA
"CRC","FGFR_AXIS",566,115,NA,NA,1.09983057913924,0.310312900387823,NA,NA,0,0.54572268688893,NA
"CRC","HGF_MET_AXIS",566,115,NA,NA,1.02825864549271,0.773590835994666,NA,NA,0,0.926635437587383,NA
"CRC","IGF_INSR_AXIS",566,115,NA,NA,1.20959112294435,0.0349082411000827,NA,NA,0,0.13012455109123,NA
"CRC","JAK_STAT",566,115,NA,NA,1.05806693921854,0.529353979526705,NA,NA,0,0.782523274082955,NA
"CRC","PDGFR_KIT_CSF1R",566,115,NA,NA,1.01425236767698,0.874791454164139,NA,NA,0,0.949241790688746,NA
"CRC","PI3K_AKT",566,115,NA,NA,1.04478971551579,0.647865729024446,NA,NA,0,0.826028804506169,NA
"CRC","RAS_MAPK",566,115,NA,NA,0.949845162367801,0.570959407635952,NA,NA,0,0.807477718076351,NA
"CRC","RET_ALK_NTRK",566,115,NA,NA,1.18566881907286,0.0537550689450395,NA,NA,0,0.166152031284668,NA
"CRC","SRC_FAK",566,115,NA,NA,1.05242330364462,0.585817168016177,NA,NA,0,0.807477718076351,NA
"CRC","TAM_AXL_AXIS",566,115,NA,NA,1.17633764622749,0.0728878876328087,NA,NA,0,0.212416129672757,NA
"CRC","TGFB_SMAD",566,115,NA,NA,1.15205547904721,0.138673770798528,NA,NA,0,0.300951587690422,NA
"CRC","TIE_ANGPT_AXIS",566,115,NA,NA,1.05312965995327,0.569729193569985,NA,NA,0,0.807477718076351,NA
"CRC","VEGF_PDGF_AXIS",566,115,NA,NA,1.35216092063302,0.00109171802568528,NA,NA,0,0.0101232035108998,NA
"CRC","WNT_CTNNB1",566,115,NA,NA,0.826978519823426,0.0442445772525838,NA,NA,0,0.145578931605276,NA
"STAD","EPH_RECEPTORS",385,158,NA,NA,0.906200078300587,0.207318180381038,0.943283111149906,0.469769833465651,371,0.39898970563898,0.819085863478571
"STAD","ERBB_LIGANDS",385,158,NA,NA,1.05532146162909,0.512449307742079,1.04851378479424,0.582417333655359,371,0.780146707308837,0.886347784261961
"STAD","ERBB_RECEPTORS",385,158,NA,NA,1.13723254529777,0.113258821561764,1.16636422455133,0.0656638696775319,371,0.275057138078569,0.223257156903608
"STAD","FGFR_AXIS",385,158,NA,NA,1.27215508856691,0.00289583127251853,1.2842900972646,0.0035007251733394,371,0.0221465489693326,0.0216408465260981
"STAD","HGF_MET_AXIS",385,158,NA,NA,1.08854029946216,0.302531443647187,1.02157595646358,0.794996825207376,371,0.541372057052862,0.925321772253619
"STAD","IGF_INSR_AXIS",385,158,NA,NA,1.19149905828564,0.0229113113668972,1.1906095262033,0.0285419452898368,371,0.103973541149352,0.121303267481806
"STAD","JAK_STAT",385,158,NA,NA,0.992446831468967,0.927095089391837,0.976983807530979,0.775394445619378,371,0.985038532478827,0.925321772253619
"STAD","PDGFR_KIT_CSF1R",385,158,NA,NA,1.371411960281,0.000132681932390029,1.30161440154251,0.00263852302292543,371,0.00225559285063049,0.0209862473778341
"STAD","PI3K_AKT",385,158,NA,NA,1.00093622227744,0.991020082422576,1.00941083675334,0.909104820861604,371,0.994711382298051,0.936653451796804
"STAD","RAS_MAPK",385,158,NA,NA,1.00268939658714,0.973855601105132,1.04159126400782,0.628979925856593,371,0.994711382298051,0.910013509749965
"STAD","RET_ALK_NTRK",385,158,NA,NA,1.29359131721026,0.000358905329085345,1.34101778247307,0.00012532439024693,371,0.00457604294583815,0.00426102926839561
"STAD","SRC_FAK",385,158,NA,NA,1.01088320210144,0.893655796150982,1.00016941674229,0.998329334525013,371,0.959504117972633,0.999929111133943
"STAD","TAM_AXL_AXIS",385,158,NA,NA,1.295987340129,0.00107011049570634,1.28624682795585,0.00255401435039654,371,0.0101232035108998,0.0209862473778341
"STAD","TGFB_SMAD",385,158,NA,NA,1.24661694802567,0.00963706925748245,1.18983600058964,0.0422387444279227,371,0.0614363165164506,0.151511687328204
"STAD","TIE_ANGPT_AXIS",385,158,NA,NA,1.36427367482099,8.7248930451156e-05,1.29657507048421,0.00143007619513317,371,0.00225559285063049,0.0162075302115092
"STAD","VEGF_PDGF_AXIS",385,158,NA,NA,1.27429757719126,0.00303972240755545,1.26963981969071,0.00506231925167616,371,0.0221465489693326,0.0286864757594982
"STAD","WNT_CTNNB1",385,158,NA,NA,0.835541424334075,0.0264838172668435,0.876955034406058,0.111243183497687,371,0.108053974448721,0.315189019910113
"PAAD","EPH_RECEPTORS",177,93,NA,NA,1.49064825419549,0.000901921600055831,1.44282231876681,0.00312988590614422,174,0.0101232035108998,0.0212832241617807
"PAAD","ERBB_LIGANDS",177,93,NA,NA,1.58308166787135,1.2739444341012e-05,1.57822426456538,1.80726785744155e-05,174,0.00129942332278323,0.00122894214306026
"PAAD","ERBB_RECEPTORS",177,93,NA,NA,1.61108294422021,0.000127176356358818,1.55782507995109,0.00053231359078669,174,0.00225559285063049,0.00904933104337374
"PAAD","FGFR_AXIS",177,93,NA,NA,1.16393392104141,0.153548435301454,1.13904196631824,0.218327637148997,174,0.319631436749966,0.484470649730255
"PAAD","HGF_MET_AXIS",177,93,NA,NA,1.71617899734657,9.67557246519982e-05,1.66128046470024,0.000350428228416809,174,0.00225559285063049,0.00794303984411433
"PAAD","IGF_INSR_AXIS",177,93,NA,NA,1.08890414027255,0.444211361151499,1.04736287153509,0.681789448309642,174,0.707961856835201,0.925321772253619
"PAAD","JAK_STAT",177,93,NA,NA,1.13635921686188,0.23936074367743,1.09329802815648,0.406936069715719,174,0.448204753336264,0.761560130118343
"PAAD","PDGFR_KIT_CSF1R",177,93,NA,NA,1.15291520690715,0.156791525933658,1.09999648241845,0.354624374133258,174,0.319854712904662,0.688984498316044
"PAAD","PI3K_AKT",177,93,NA,NA,1.18974812584622,0.132757912672045,1.14898821958438,0.220861619729969,174,0.298080835510218,0.484470649730255
"PAAD","RAS_MAPK",177,93,NA,NA,1.42283090527738,0.00827848999882361,1.35893059113574,0.0205674820171715,174,0.0562937319920006,0.0932392518111776
"PAAD","RET_ALK_NTRK",177,93,NA,NA,0.790265438983452,0.038568714773075,0.781907209621208,0.0315329797276263,174,0.135655479546678,0.126131918910505
"PAAD","SRC_FAK",177,93,NA,NA,1.23379058249802,0.0810250468751959,1.19640939520505,0.131166447781704,174,0.223366345439729,0.338671939444659
"PAAD","TAM_AXL_AXIS",177,93,NA,NA,1.23424235197259,0.040839674127488,1.19128397917784,0.0963142109218531,174,0.138854892033459,0.284755058377653
"PAAD","TGFB_SMAD",177,93,NA,NA,1.47640529741401,0.002250645847751,1.42183740054971,0.00592715973805785,174,0.0191304897058835,0.0310036047836872
"PAAD","TIE_ANGPT_AXIS",177,93,NA,NA,1.15351669826765,0.169825966039527,1.12415825303399,0.265363509794831,174,0.339651932079055,0.546809656546924
"PAAD","VEGF_PDGF_AXIS",177,93,NA,NA,1.05171418041947,0.615137554629328,1.06247980397106,0.548838499494508,174,0.81385165298608,0.867930650363409
"PAAD","WNT_CTNNB1",177,93,NA,NA,1.33654245401251,0.0108830541283044,1.27068064729197,0.0423341479299394,174,0.0646538039000589,0.151511687328204
"HCC","EPH_RECEPTORS",360,129,NA,NA,0.926212785305049,0.345685148099131,NA,NA,0,0.587664751768523,NA
"HCC","ERBB_LIGANDS",360,129,NA,NA,1.23611853737944,0.0114094948058927,NA,NA,0,0.0646538039000589,NA
"HCC","ERBB_RECEPTORS",360,129,NA,NA,0.893760107237053,0.173600536059369,NA,NA,0,0.340524128424147,NA
"HCC","FGFR_AXIS",360,129,NA,NA,1.03213234682197,0.720603174717831,NA,NA,0,0.875018140728794,NA
"HCC","HGF_MET_AXIS",360,129,NA,NA,1.05525983271259,0.546272153135046,NA,NA,0,0.795996565996781,NA
"HCC","IGF_INSR_AXIS",360,129,NA,NA,0.827418099250063,0.024265236293579,NA,NA,0,0.103973541149352,NA
"HCC","JAK_STAT",360,129,NA,NA,0.836714168522527,0.0354648234083001,NA,NA,0,0.13012455109123,NA
"HCC","PDGFR_KIT_CSF1R",360,129,NA,NA,0.939234719380097,0.489301379356138,NA,NA,0,0.767826779912708,NA
"HCC","PI3K_AKT",360,129,NA,NA,0.996838511305363,0.968246345360711,NA,NA,0,0.994711382298051,NA
"HCC","RAS_MAPK",360,129,NA,NA,1.46345972679226,3.90675234610846e-05,NA,NA,0,0.00199244369651532,NA
"HCC","RET_ALK_NTRK",360,129,NA,NA,0.919392165563071,0.342280712086257,NA,NA,0,0.587664751768523,NA
"HCC","SRC_FAK",360,129,NA,NA,0.910812142252465,0.289209657348741,NA,NA,0,0.526774733028064,NA
"HCC","TAM_AXL_AXIS",360,129,NA,NA,1.25323960636432,0.0161441494252012,NA,NA,0,0.082335162068526,NA
"HCC","TGFB_SMAD",360,129,NA,NA,1.15433695518775,0.111808770889357,NA,NA,0,0.275057138078569,NA
"HCC","TIE_ANGPT_AXIS",360,129,NA,NA,1.04659380565768,0.603286597349308,NA,NA,0,0.809674117495123,NA
"HCC","VEGF_PDGF_AXIS",360,129,NA,NA,0.996582195515573,0.968063791012247,NA,NA,0,0.994711382298051,NA
"HCC","WNT_CTNNB1",360,129,NA,NA,1.02350438115908,0.799094796344706,NA,NA,0,0.926635437587383,NA
"ESCC","EPH_RECEPTORS",94,31,NA,NA,0.667573008052867,0.0244643626233769,0.625713069318095,0.0143044901662005,92,0.103973541149352,0.069478952235831
"ESCC","ERBB_LIGANDS",94,31,NA,NA,0.752800302688149,0.141700652719069,0.734204814231937,0.13447268183832,92,0.301113887028021,0.338671939444659
"ESCC","ERBB_RECEPTORS",94,31,NA,NA,0.659145635918505,0.0146760579233623,0.57662467456551,0.00128511902908094,92,0.0787872583254186,0.0162075302115092
"ESCC","FGFR_AXIS",94,31,NA,NA,0.866038590690339,0.409282115873475,0.95315270418541,0.802693725087935,92,0.664071260878914,0.925321772253619
"ESCC","HGF_MET_AXIS",94,31,NA,NA,1.08496681870913,0.684925374899669,1.10297733237566,0.620280719331979,92,0.862498620244027,0.910013509749965
"ESCC","IGF_INSR_AXIS",94,31,NA,NA,0.908272541165701,0.601398661564969,0.942405366253177,0.766504654601285,92,0.809674117495123,0.925321772253619
"ESCC","JAK_STAT",94,31,NA,NA,1.03312431988984,0.86172688272429,1.11865366669513,0.586553680761592,92,0.945578088653047,0.886347784261961
"ESCC","PDGFR_KIT_CSF1R",94,31,NA,NA,0.968685576192371,0.862144727889543,1.04948755332119,0.797090467935704,92,0.945578088653047,0.925321772253619
"ESCC","PI3K_AKT",94,31,NA,NA,0.893318828476901,0.524888454606152,0.934910586222986,0.72630914304931,92,0.782523274082955,0.925321772253619
"ESCC","RAS_MAPK",94,31,NA,NA,0.755424184582598,0.122449350458007,0.806272167394907,0.27862841910475,92,0.290461249923644,0.5572568382095
"ESCC","RET_ALK_NTRK",94,31,NA,NA,0.943473944940579,0.719239045683191,0.964040182495517,0.833992814011496,92,0.875018140728794,0.925321772253619
"ESCC","SRC_FAK",94,31,NA,NA,0.902608625965156,0.584282944012388,0.954031287537605,0.820791084462517,92,0.807477718076351,0.925321772253619
"ESCC","TAM_AXL_AXIS",94,31,NA,NA,0.718729911626118,0.0357204650054357,0.74726536026322,0.0778739843303422,92,0.13012455109123,0.252163377831584
"ESCC","TGFB_SMAD",94,31,NA,NA,0.85530648648988,0.410161661131094,0.92183233049678,0.683263162601257,92,0.664071260878914,0.925321772253619
"ESCC","TIE_ANGPT_AXIS",94,31,NA,NA,0.950090381443689,0.790809561752086,0.968239188640565,0.870812566565447,92,0.926635437587383,0.925321772253619
"ESCC","VEGF_PDGF_AXIS",94,31,NA,NA,1.00404307135012,0.984121645471888,1.03903575428803,0.860801303560595,92,0.994711382298051,0.925321772253619
"ESCC","WNT_CTNNB1",94,31,NA,NA,0.71188927025431,0.0761508558875575,0.703795503929019,0.0922241245805061,92,0.21576075834808,0.284755058377653
