"disease","feature","n","n_fdr_joint","pos_joint","neg_joint","median_d_adj","majority","joint_robust"
"IBD","RAS_MAPK",3,1,2,1,0.48008755817566,2,FALSE
"IBD","RET_ALK_NTRK",2,0,2,0,0.457996316395939,2,FALSE
"IBD","SRC_FAK",3,0,3,0,0.609703989216226,3,FALSE
"IBD","TAM_AXL_AXIS",3,0,1,2,-0.113674358533863,2,FALSE
"IBD","TGFB_SMAD",3,0,2,1,0.395159683876021,2,FALSE
"IBD","TIE_ANGPT_AXIS",3,0,2,1,0.0547269837762931,2,FALSE
"IBD","VEGF_PDGF_AXIS",3,1,1,2,-0.19088620721053,2,FALSE
"IBD","WNT_CTNNB1",3,1,2,1,0.2161528860388,2,FALSE
"NAFLD","EPH_RECEPTORS",2,1,0,2,-0.556737970652136,2,FALSE
"NAFLD","ERBB_LIGANDS",2,0,1,1,0.122519781642198,1,FALSE
"NAFLD","ERBB_RECEPTORS",2,0,1,1,-0.010750975573184,1,FALSE
"NAFLD","FGFR_AXIS",2,0,1,1,0.0922007412179525,1,FALSE
"NAFLD","HGF_MET_AXIS",2,0,0,2,-0.8018757507077,2,FALSE
"NAFLD","IGF_INSR_AXIS",2,0,0,2,-0.756816743551184,2,FALSE
"NAFLD","JAK_STAT",2,0,1,1,-0.09663404526789,1,FALSE
"NAFLD","PDGFR_KIT_CSF1R",2,0,1,1,-0.129344339847922,1,FALSE
"NAFLD","PI3K_AKT",2,0,0,2,-0.346216416351499,2,FALSE
"NAFLD","RAS_MAPK",2,0,2,0,0.451084801158852,2,FALSE
"NAFLD","RET_ALK_NTRK",1,0,0,1,-0.416344823884448,1,FALSE
"NAFLD","SRC_FAK",2,0,1,1,-0.182999794964111,1,FALSE
"NAFLD","TAM_AXL_AXIS",2,0,0,2,-0.289248358347474,2,FALSE
"NAFLD","TGFB_SMAD",2,0,0,2,-0.687550869567052,2,FALSE
"NAFLD","TIE_ANGPT_AXIS",2,0,1,1,0.167991543517218,1,FALSE
"NAFLD","VEGF_PDGF_AXIS",2,0,1,1,-0.0031243604905985,1,FALSE
"NAFLD","WNT_CTNNB1",2,0,1,1,0.0500684614294856,1,FALSE
"STAD","EPH_RECEPTORS",1,1,1,0,1.89471289004866,1,FALSE
"STAD","ERBB_LIGANDS",1,1,0,1,-0.924538422644179,1,FALSE
"STAD","ERBB_RECEPTORS",1,1,0,1,-0.902416673598841,1,FALSE
"STAD","FGFR_AXIS",1,0,0,1,-0.419956400267249,1,FALSE
"STAD","HGF_MET_AXIS",1,1,1,0,0.72387886385768,1,FALSE
"STAD","IGF_INSR_AXIS",1,0,0,1,-0.349055149859623,1,FALSE
"STAD","JAK_STAT",1,1,1,0,1.1167253540619,1,FALSE
"STAD","PDGFR_KIT_CSF1R",1,1,0,1,-1.61785164716527,1,FALSE
"STAD","PI3K_AKT",1,1,1,0,0.602189128864643,1,FALSE
"STAD","RAS_MAPK",1,1,1,0,1.05491351896611,1,FALSE
"STAD","RET_ALK_NTRK",1,1,0,1,-0.744259106422914,1,FALSE
"STAD","SRC_FAK",1,0,0,1,-0.126433694424135,1,FALSE
"STAD","TAM_AXL_AXIS",1,0,0,1,-0.483837332218145,1,FALSE
"STAD","TGFB_SMAD",1,0,1,0,0.315888392581275,1,FALSE
"STAD","TIE_ANGPT_AXIS",1,0,0,1,-0.0623345372637895,1,FALSE
"STAD","VEGF_PDGF_AXIS",1,1,1,0,0.6522185234755,1,FALSE
"STAD","WNT_CTNNB1",1,1,1,0,1.55334773786637,1,FALSE
