"accession","disease","sample","epic_cancer","epic_caf","epic_endo","epic_immune"
"GSE32863","LUAD","GSM813453",1.25561704453978e-06,0.0186542937427629,0.960568893201204,0.0207755574389885
"GSE32863","LUAD","GSM813454",0.570181396585427,0.0785253595391344,0.193003355079911,0.158289888795527
"GSE32863","LUAD","GSM813455",0.395915160651608,0.0035069640618677,0.392087728794958,0.208490146491566
"GSE32863","LUAD","GSM813456",0.634995514196906,0.0372327924255091,0.209374413721623,0.118397279655961
"GSE32863","LUAD","GSM813457",0.416117628484926,0.0113879875551821,0.384484297288581,0.188010086671312
"GSE32863","LUAD","GSM813458",0.767585446069149,0.0122645025591299,0.108999843938917,0.111150207432804
"GSE32863","LUAD","GSM813459",2.33942210439015e-09,0.0108773236684037,0.949662627932432,0.0394600460597421
"GSE32863","LUAD","GSM813460",0.654356938933569,0.0311259620839662,0.188919437136521,0.125597661845944
"GSE32863","LUAD","GSM813461",8.56742488131132e-08,0.0207395391895019,0.935103099029539,0.04415727610671
"GSE32863","LUAD","GSM813462",0.567966608909647,0.105563249954726,0.221259222668783,0.105210918466844
"GSE32863","LUAD","GSM813463",3.20889153607737e-08,0.00649005216890899,0.838891540524797,0.154618375217379
"GSE32863","LUAD","GSM813464",0.75938103563695,0.0394671665729679,0.0991550689546494,0.101996728835433
"GSE32863","LUAD","GSM813465",9.47931016732538e-07,0.0169605519920677,0.814061167504911,0.168977332572004
"GSE32863","LUAD","GSM813466",0.625437395934525,0.0328701388255116,0.20208129805765,0.139611167182313
"GSE32863","LUAD","GSM813467",3.63631406316422e-08,0.0192749621595691,0.949531939862629,0.0311930616146609
"GSE32863","LUAD","GSM813468",0.326749911273706,0.10887591443503,0.425156475329624,0.13921769896164
"GSE32863","LUAD","GSM813469",7.92896129630009e-09,0.0106260592880523,0.932808316161119,0.0565656166218671
"GSE32863","LUAD","GSM813470",0.523240007180691,0.032290353426275,0.35992892030684,0.084540719086194
"GSE32863","LUAD","GSM813471",4.94529091279e-08,0.00788886154475472,0.962742202291103,0.0293688867112335
"GSE32863","LUAD","GSM813472",0.560303631553002,0.0301463432940863,0.231278320255668,0.178271704897244
"GSE32863","LUAD","GSM813473",2.6458317007671e-05,0.0269791119902842,0.790330042894322,0.182664386798386
"GSE32863","LUAD","GSM813474",0.6482176457015,0.121454983373495,0.123607404196065,0.10671996672894
"GSE32863","LUAD","GSM813475",1.59338622235448e-05,0.0237582981673517,0.882723971867429,0.0935017961029958
"GSE32863","LUAD","GSM813476",0.555113718365856,0.0354301312965876,0.290672282310009,0.118783868027547
"GSE32863","LUAD","GSM813477",0.00719294997186485,0.0104874818509385,0.81513997747004,0.167179590707157
"GSE32863","LUAD","GSM813478",0.501810227742122,0.11935792719898,0.272558920280825,0.106272924778073
"GSE32863","LUAD","GSM813479",0.181447273364335,0.0110467947094268,0.604813088028919,0.20269284389732
"GSE32863","LUAD","GSM813480",0.677577070533319,0.0454321470131125,0.103746521261406,0.173244261192162
"GSE32863","LUAD","GSM813481",1.80953624310663e-08,0.00919255174179678,0.961622865840184,0.0291845643226571
"GSE32863","LUAD","GSM813482",0.51219597059474,0.0477052160227384,0.291321158414222,0.1487776549683
"GSE32863","LUAD","GSM813483",2.94506579746943e-08,0.0243694163197732,0.831901968775393,0.143728585454176
"GSE32863","LUAD","GSM813484",0.590063533434334,0.112730303420578,0.159354797660272,0.137851365484816
"GSE32863","LUAD","GSM813485",0.038472640067384,0.00513865586771669,0.698474286576601,0.257914417488299
"GSE32863","LUAD","GSM813486",0.572739967722434,0.15140218290444,0.196531956141097,0.0793258932320294
"GSE32863","LUAD","GSM813487",3.1866974765486e-08,0.0444988197226161,0.82233712055341,0.133164027856999
"GSE32863","LUAD","GSM813488",0.588690986870906,0.0218805989047033,0.29217052719361,0.0972578870307803
"GSE32863","LUAD","GSM813489",2.86283849340735e-09,0.00753860633465371,0.839989681751922,0.152471709050585
