"disease","feature","n_cohorts","positive","negative","consistency","n_fdr_raw","median_smd","median_p","direction","robust_consistent","n_fdr_adj","n_up_adj","n_down_adj","composition_robust","direction_preserved"
"CRC","TGFB_SMAD",3,0,3,1,2,-0.437940148074081,0.00175180760659643,"down",TRUE,1,0,3,FALSE,TRUE
"CRC","TIE_ANGPT_AXIS",3,0,3,1,0,-0.221915535544863,0.137038481316968,"down",FALSE,0,1,2,FALSE,TRUE
"CRC","VEGF_PDGF_AXIS",3,3,0,1,2,0.646035018723919,4.3031782186758e-06,"up",TRUE,2,3,0,TRUE,TRUE
"CRC","WNT_CTNNB1",3,3,0,1,2,2.59042072981352,1.0348345894647e-44,"up",TRUE,2,3,0,TRUE,TRUE
"ESCC","EPH_RECEPTORS",2,0,2,1,0,-0.33516892827644,0.156806994949352,"down",FALSE,0,1,1,FALSE,FALSE
"ESCC","ERBB_LIGANDS",2,0,2,1,1,-0.365634641662606,0.0384921703768884,"down",FALSE,0,0,2,FALSE,TRUE
"ESCC","ERBB_RECEPTORS",2,0,2,1,1,-0.647152270869051,0.0593447532444301,"down",FALSE,0,0,2,FALSE,TRUE
"ESCC","FGFR_AXIS",2,1,1,0.5,1,-0.201006711774425,0.111291819425885,"mixed",FALSE,0,1,1,FALSE,TRUE
"ESCC","HGF_MET_AXIS",2,2,0,1,1,0.475783138583543,0.129228712727013,"up",FALSE,0,2,0,FALSE,TRUE
"ESCC","IGF_INSR_AXIS",2,2,0,1,2,0.670345009906601,0.00026767893153366,"up",TRUE,0,2,0,FALSE,TRUE
"ESCC","JAK_STAT",2,1,1,0.5,0,-0.156702045644944,0.343956464466505,"mixed",FALSE,0,1,1,FALSE,TRUE
"ESCC","PDGFR_KIT_CSF1R",2,0,2,1,0,-0.258032862151108,0.151568357188586,"down",FALSE,0,0,2,FALSE,TRUE
"ESCC","PI3K_AKT",2,1,1,0.5,1,0.238328026624357,0.458493208174074,"mixed",FALSE,0,1,1,FALSE,TRUE
"ESCC","RAS_MAPK",2,0,2,1,1,-0.520585130475861,0.340874411713256,"down",FALSE,0,1,1,FALSE,FALSE
"ESCC","RET_ALK_NTRK",2,0,2,1,1,-0.314144478987989,0.469034241039873,"down",FALSE,0,1,1,FALSE,FALSE
"ESCC","SRC_FAK",2,2,0,1,2,1.23311982680747,2.78109384319045e-08,"up",TRUE,0,2,0,FALSE,TRUE
"ESCC","TAM_AXL_AXIS",2,0,2,1,2,-0.58024192775737,0.00147881489191128,"down",TRUE,0,0,2,FALSE,TRUE
"ESCC","TGFB_SMAD",2,2,0,1,1,0.367405824054082,0.425723922172669,"up",FALSE,0,1,1,FALSE,TRUE
"ESCC","TIE_ANGPT_AXIS",2,2,0,1,1,0.377214670100685,0.0998265457183787,"up",FALSE,0,2,0,FALSE,TRUE
"ESCC","VEGF_PDGF_AXIS",2,2,0,1,2,0.840525891340547,0.000331935523423836,"up",TRUE,0,2,0,FALSE,TRUE
"ESCC","WNT_CTNNB1",2,2,0,1,1,0.47203166718792,0.0631053249585538,"up",FALSE,0,1,1,FALSE,TRUE
"HCC","EPH_RECEPTORS",2,0,2,1,0,-0.292423955508672,0.437360006687998,"down",FALSE,0,0,2,FALSE,TRUE
"HCC","ERBB_LIGANDS",2,0,2,1,0,-0.750779992257517,0.198989376511292,"down",FALSE,0,0,2,FALSE,TRUE
"HCC","ERBB_RECEPTORS",2,0,2,1,1,-0.399700391781099,0.00911248273373625,"down",FALSE,0,0,2,FALSE,TRUE
"HCC","FGFR_AXIS",2,0,2,1,0,-0.427812762142732,0.155586102266152,"down",FALSE,0,0,2,FALSE,TRUE
"HCC","HGF_MET_AXIS",2,0,2,1,0,-0.58689924405474,0.0399649913820898,"down",FALSE,0,0,2,FALSE,TRUE
"HCC","IGF_INSR_AXIS",2,0,2,1,1,-0.819117879276161,2.02722799853715e-05,"down",FALSE,1,0,2,FALSE,TRUE
"HCC","JAK_STAT",2,2,0,1,0,0.604016919930541,0.162633384778022,"up",FALSE,0,1,1,FALSE,TRUE
"HCC","PDGFR_KIT_CSF1R",2,1,1,0.5,0,-0.0371065295628991,0.4804968936674,"mixed",FALSE,0,0,2,FALSE,FALSE
"HCC","PI3K_AKT",2,2,0,1,0,0.758636792607565,0.601115616307355,"up",FALSE,0,1,1,FALSE,TRUE
"HCC","RAS_MAPK",2,2,0,1,1,0.712590257871711,0.000613274463867016,"up",FALSE,1,2,0,FALSE,TRUE
"HCC","RET_ALK_NTRK",2,0,2,1,1,-0.952331319618123,0.0105268119698442,"down",FALSE,1,0,2,FALSE,TRUE
"HCC","SRC_FAK",2,0,2,1,1,-0.756573096624678,0.01038715429083,"down",FALSE,1,0,2,FALSE,TRUE
"HCC","TAM_AXL_AXIS",2,0,2,1,0,-0.466368144797463,0.224528103273457,"down",FALSE,1,0,2,FALSE,TRUE
"HCC","TGFB_SMAD",2,2,0,1,0,0.834128840542954,0.115992188904663,"up",FALSE,0,2,0,FALSE,TRUE
"HCC","TIE_ANGPT_AXIS",2,2,0,1,0,0.230962386946569,0.0873723771847932,"up",FALSE,0,1,1,FALSE,TRUE
"HCC","VEGF_PDGF_AXIS",2,2,0,1,1,0.529248616367045,5.72398652660272e-05,"up",FALSE,1,2,0,FALSE,TRUE
"HCC","WNT_CTNNB1",2,1,1,0.5,0,0.371707642160205,0.904523370808637,"mixed",FALSE,0,1,1,FALSE,TRUE
"IBD","EPH_RECEPTORS",3,2,1,0.666666666666667,0,0.208422214130411,0.513988089497401,"up",FALSE,0,2,1,FALSE,TRUE
"IBD","ERBB_LIGANDS",3,3,0,1,1,0.583856193547061,0.192571523915763,"up",FALSE,1,3,0,FALSE,TRUE
"IBD","ERBB_RECEPTORS",3,0,3,1,2,-1.30727534685935,8.34467424038015e-07,"down",TRUE,0,1,2,FALSE,TRUE
"IBD","FGFR_AXIS",3,1,2,0.666666666666667,0,-0.0299528588122807,0.397361330782143,"down",FALSE,0,0,3,FALSE,TRUE
"IBD","HGF_MET_AXIS",3,3,0,1,2,1.39293035037872,1.58900348368932e-06,"up",TRUE,1,3,0,FALSE,TRUE
"IBD","IGF_INSR_AXIS",3,0,3,1,0,-0.477022038247529,0.0384649322372016,"down",FALSE,0,0,3,FALSE,TRUE
"IBD","JAK_STAT",3,3,0,1,2,1.90121920225641,9.13522442810681e-10,"up",TRUE,0,3,0,FALSE,TRUE
"IBD","PDGFR_KIT_CSF1R",3,3,0,1,2,1.40396626350664,8.24148981096593e-06,"up",TRUE,0,1,2,FALSE,FALSE
"IBD","PI3K_AKT",3,2,1,0.666666666666667,1,0.103036096195405,0.183741603031154,"up",FALSE,1,1,2,FALSE,FALSE
"IBD","RAS_MAPK",3,3,0,1,0,0.0841968675104843,0.640282251029215,"up",FALSE,0,3,0,FALSE,TRUE
"IBD","RET_ALK_NTRK",2,1,1,0.5,0,-0.125277179761791,0.49040559744481,"mixed",FALSE,0,2,0,FALSE,TRUE
"IBD","SRC_FAK",3,3,0,1,0,0.459108946103926,0.063095434502881,"up",FALSE,0,3,0,FALSE,TRUE
"IBD","TAM_AXL_AXIS",3,3,0,1,1,0.583532190363733,0.0153660476792725,"up",FALSE,0,0,3,FALSE,FALSE
"IBD","TGFB_SMAD",3,3,0,1,1,0.933028350307032,0.0165575829927472,"up",FALSE,0,2,1,FALSE,TRUE
"IBD","TIE_ANGPT_AXIS",3,3,0,1,2,1.08249678539463,2.47901376114715e-05,"up",TRUE,0,2,1,FALSE,TRUE
"IBD","VEGF_PDGF_AXIS",3,3,0,1,2,1.31504804408233,1.70440554471558e-06,"up",TRUE,0,2,1,FALSE,TRUE
"IBD","WNT_CTNNB1",3,2,1,0.666666666666667,1,0.174621164566006,0.491620940798254,"up",FALSE,1,2,1,FALSE,TRUE
"LUAD","EPH_RECEPTORS",3,3,0,1,3,1.06055641326874,2.77591074784834e-10,"up",TRUE,0,3,0,FALSE,TRUE
"LUAD","ERBB_LIGANDS",3,1,2,0.666666666666667,1,-0.0684044897865833,0.131118678267851,"down",FALSE,0,1,2,FALSE,TRUE
"LUAD","ERBB_RECEPTORS",3,3,0,1,3,0.416778220259774,0.000760022078742658,"up",TRUE,0,3,0,FALSE,TRUE
"LUAD","FGFR_AXIS",3,0,3,1,3,-1.50826865568403,1.65666492629442e-21,"down",TRUE,0,1,2,FALSE,TRUE
"LUAD","HGF_MET_AXIS",3,3,0,1,3,0.508169534457828,0.00733936983316271,"up",TRUE,0,2,1,FALSE,TRUE
"LUAD","IGF_INSR_AXIS",3,0,3,1,2,-0.421745849252184,0.00456330668530721,"down",TRUE,0,3,0,FALSE,FALSE
"LUAD","JAK_STAT",3,0,3,1,3,-0.891604501602784,3.81601432353696e-07,"down",TRUE,0,1,2,FALSE,TRUE
"LUAD","PDGFR_KIT_CSF1R",3,0,3,1,3,-0.853144390478418,1.16158230497108e-05,"down",TRUE,0,2,1,FALSE,FALSE
"LUAD","PI3K_AKT",3,2,1,0.666666666666667,2,0.471986081175527,0.0283772971817912,"up",TRUE,0,3,0,FALSE,TRUE
"LUAD","RAS_MAPK",3,2,1,0.666666666666667,1,0.201811160843705,0.113288174708615,"up",FALSE,0,2,1,FALSE,TRUE
"LUAD","RET_ALK_NTRK",3,0,3,1,3,-0.905757138069468,2.31848136192674e-07,"down",TRUE,0,0,3,FALSE,TRUE
"LUAD","SRC_FAK",3,1,2,0.666666666666667,3,-0.3680038419394,0.00828900456020029,"down",TRUE,0,3,0,FALSE,FALSE
"LUAD","TAM_AXL_AXIS",3,0,3,1,1,-0.291241550479282,0.0659282572550725,"down",FALSE,0,3,0,FALSE,FALSE
"LUAD","TGFB_SMAD",3,0,3,1,3,-0.66899388051441,5.50124036508667e-06,"down",TRUE,0,1,2,FALSE,TRUE
"LUAD","TIE_ANGPT_AXIS",3,0,3,1,3,-1.44713885089568,2.88996862560453e-24,"down",TRUE,0,1,2,FALSE,TRUE
"LUAD","VEGF_PDGF_AXIS",3,0,3,1,3,-0.854972956377804,9.93136552847325e-09,"down",TRUE,0,1,2,FALSE,TRUE
"LUAD","WNT_CTNNB1",3,1,2,0.666666666666667,2,-0.907237442779781,5.19499707700488e-10,"down",TRUE,0,0,3,FALSE,TRUE
"NAFLD","EPH_RECEPTORS",2,1,1,0.5,0,-0.106906742583659,NA,"mixed",FALSE,0,0,2,FALSE,FALSE
"NAFLD","ERBB_LIGANDS",2,1,1,0.5,0,0.186926423172854,NA,"mixed",FALSE,0,1,1,FALSE,TRUE
"NAFLD","ERBB_RECEPTORS",2,1,1,0.5,0,-0.0826902347465369,NA,"mixed",FALSE,0,1,1,FALSE,TRUE
"NAFLD","FGFR_AXIS",2,1,1,0.5,0,-0.0475682698290193,NA,"mixed",FALSE,0,2,0,FALSE,TRUE
"NAFLD","HGF_MET_AXIS",2,0,2,1,0,-0.197509659394474,NA,"down",FALSE,0,0,2,FALSE,TRUE
"NAFLD","IGF_INSR_AXIS",2,0,2,1,0,-0.958277763345376,NA,"down",FALSE,0,0,2,FALSE,TRUE
"NAFLD","JAK_STAT",2,1,1,0.5,0,0.00572738577939563,NA,"mixed",FALSE,0,1,1,FALSE,TRUE
"NAFLD","PDGFR_KIT_CSF1R",2,1,1,0.5,0,0.166257177355202,NA,"mixed",FALSE,0,1,1,FALSE,TRUE
"NAFLD","PI3K_AKT",2,0,2,1,0,-0.29783298892507,NA,"down",FALSE,0,0,2,FALSE,TRUE
"NAFLD","RAS_MAPK",2,1,1,0.5,0,0.486264876359683,NA,"mixed",FALSE,0,2,0,FALSE,TRUE
"NAFLD","RET_ALK_NTRK",1,0,1,1,0,-0.377765152161321,NA,"down",FALSE,0,0,1,FALSE,TRUE
"NAFLD","SRC_FAK",2,1,1,0.5,0,-0.0421395246008969,NA,"mixed",FALSE,0,1,1,FALSE,TRUE
"NAFLD","TAM_AXL_AXIS",2,0,2,1,0,-0.41527649718036,NA,"down",FALSE,0,0,2,FALSE,TRUE
"NAFLD","TGFB_SMAD",2,0,2,1,0,-0.645659818007773,NA,"down",FALSE,0,0,2,FALSE,TRUE
"NAFLD","TIE_ANGPT_AXIS",2,1,1,0.5,0,0.15587965753012,NA,"mixed",FALSE,0,1,1,FALSE,TRUE
"NAFLD","VEGF_PDGF_AXIS",2,1,1,0.5,0,0.17254193797752,NA,"mixed",FALSE,0,2,0,FALSE,TRUE
"NAFLD","WNT_CTNNB1",2,2,0,1,0,0.0851418028162608,NA,"up",FALSE,0,1,1,FALSE,TRUE
"PAAD","EPH_RECEPTORS",3,3,0,1,2,1.03764971391043,1.02497659372913e-09,"up",TRUE,0,3,0,FALSE,TRUE
"PAAD","ERBB_LIGANDS",3,3,0,1,2,0.41818426408867,0.0081752168278914,"up",TRUE,0,1,2,FALSE,FALSE
"PAAD","ERBB_RECEPTORS",3,2,1,0.666666666666667,0,0.182956879344666,0.240701710814105,"up",FALSE,0,0,3,FALSE,FALSE
"PAAD","FGFR_AXIS",3,1,2,0.666666666666667,2,-0.404060016329128,0.0128108949937435,"down",TRUE,0,0,3,FALSE,TRUE
"PAAD","HGF_MET_AXIS",3,3,0,1,3,1.19293063822664,6.61842810163605e-10,"up",TRUE,0,2,1,FALSE,TRUE
"PAAD","IGF_INSR_AXIS",3,1,2,0.666666666666667,2,-0.629749855606748,4.79961901805621e-05,"down",TRUE,1,0,3,FALSE,TRUE
"PAAD","JAK_STAT",3,3,0,1,3,0.398642829903344,0.00937766415352362,"up",TRUE,0,1,2,FALSE,FALSE
"PAAD","PDGFR_KIT_CSF1R",3,1,2,0.666666666666667,1,-0.169979199500337,0.199751416202248,"down",FALSE,2,0,3,TRUE,TRUE
"PAAD","PI3K_AKT",3,3,0,1,1,0.223306638610735,0.159105044407689,"up",FALSE,0,1,2,FALSE,FALSE
