"accession","disease","role","feature","paired","n_case","n_control","npair","r_emp","measure","yi","vi","beta_base","se_base","p_base","beta_adj","se_adj","p_adj","d_base","d_adj","sd_ref","sigma_adj","joint_fallback","rank_adj","mean_case","sd_case","mean_ctrl","sd_ctrl"
"GSE32863","LUAD","discovery","EPH_RECEPTORS",TRUE,57,57,57,0.270137061011305,"SMCRPH",1.86949985059834,0.0442104652048406,0.688105152308929,0.0588748824300435,1.19234916462839e-16,0.763705356184395,0.239982865250353,0.00246592680567381,1.37137053483506,1.52203921050832,0.501764574073842,0.292160395410042,FALSE,TRUE,0.288267498242824,0.411646031901192,-0.399837654066105,0.312420939723168
"GSE32863","LUAD","discovery","ERBB_LIGANDS",TRUE,57,57,57,-0.0741089895442258,"SMCRPH",-0.099544661100407,0.038377512804404,-0.0307081152133881,0.0594608516948421,0.607578815905398,-0.208577472032417,0.234991444963228,0.378845219901678,-0.100539262549703,-0.682888711238064,0.305434060630861,0.286083731048097,FALSE,TRUE,0.00429325996902495,0.28290067274155,0.0350013751824129,0.328227236346606
"GSE32863","LUAD","discovery","ERBB_RECEPTORS",TRUE,57,57,57,-0.12689354896793,"SMCRPH",1.87087848810427,0.0562810568033136,0.650291573933639,0.0686216445878577,3.09271206818521e-13,0.440546556824273,0.293229587311679,0.139044157535983,1.37162393892603,0.92922041092489,0.474103400705306,0.356984120868511,FALSE,TRUE,0.299280016894733,0.363643397388895,-0.351011557038905,0.325745450634958
"GSE32863","LUAD","discovery","FGFR_AXIS",TRUE,57,57,57,0.140022369964693,"SMCRPH",-1.96775208368169,0.0491208190832267,-0.582860086792764,0.0511856453218298,3.35211889168818e-16,-0.327432218864034,0.228442380210444,0.157750442847779,-1.40761972227641,-0.790755893953696,0.414074964685888,0.278110756203651,FALSE,TRUE,-0.254930287822006,0.322317566644785,0.327929798970758,0.263045781518479
"GSE32863","LUAD","discovery","HGF_MET_AXIS",TRUE,57,57,57,0.323857358865771,"SMCRPH",1.18381911719081,0.0320276433394432,0.464903637067248,0.0606540683570023,2.7581701806455e-10,0.226266796350796,0.243233060898361,0.356541920221984,1.02651929852375,0.499602959732576,0.452893226397038,0.296117254766195,FALSE,TRUE,0.190349642155905,0.442706262013662,-0.274553994911342,0.328482811774964
"GSE32863","LUAD","discovery","IGF_INSR_AXIS",TRUE,57,57,57,0.152022019584851,"SMCRPH",-0.302747607081672,0.0307211596028761,-0.13324789976037,0.0754164002763168,0.0827062037312949,0.420206216158281,0.286965567408866,0.149129340956551,-0.302642212709736,0.954402578061128,0.440281937431405,0.349358165866462,FALSE,TRUE,-0.0256013602372857,0.420367074344829,0.107646539523084,0.453225593032324
"GSE32863","LUAD","discovery","JAK_STAT",TRUE,57,57,57,0.288843890913637,"SMCRPH",-0.91028158534264,0.0294296260514863,-0.301667900713871,0.051983175319287,3.17025795124033e-07,0.177552151543058,0.215509279600535,0.413774925899443,-0.835941961003548,0.492008905787032,0.360871824584232,0.26236571630621,FALSE,TRUE,-0.13716824451369,0.320268235030797,0.164499656200181,0.337485438261038
"GSE32863","LUAD","discovery","PDGFR_KIT_CSF1R",TRUE,57,57,57,0.093575692875179,"SMCRPH",-1.64627691819891,0.0448174269585132,-0.574124353792493,0.0618005736489154,6.1520575413373e-13,0.0632158956128096,0.251501758934287,0.80253133887838,-1.2772497974271,0.140635890695584,0.449500446153143,0.306183748826852,FALSE,TRUE,-0.253316661467227,0.322619946381994,0.320807692325266,0.368609967510223
"GSE32863","LUAD","discovery","PI3K_AKT",TRUE,57,57,57,0.00181905575781646,"SMCRPH",1.3860385099865,0.0442778689964915,0.368391865733095,0.0494074550571796,6.09793040402183e-10,0.659595429801006,0.21171199205139,0.00298655699594508,1.14614727912121,2.05214495081967,0.321417563382913,0.257742815289146,FALSE,TRUE,0.165055764291786,0.253519174530138,-0.203336101441308,0.274086361516159
"GSE32863","LUAD","discovery","RAS_MAPK",TRUE,57,57,57,0.0614688739396112,"SMCRPH",0.275655952137415,0.0341832587736547,0.0626865965763892,0.0411426331292024,0.133226177103339,0.0614898032814456,0.17706236164938,0.729784392122057,0.276070271979475,0.27079962293354,0.22706753656203,0.215559596464326,FALSE,TRUE,0.0182147004716104,0.273326324029715,-0.0444718961047788,0.165326557891041
