"accession","disease","role","feature","n_case","n_control","paired","npair","r_emp","effect_scale","yi","vi","mean_case","sd_case","mean_ctrl","sd_ctrl","beta_adj","se_beta_adj","p_adj","d_adj","se_d_adj","beta_unadj","d_unadj_same_den","sigma_full","joint_fallback","rank_full"
"GSE32863","LUAD","discovery","TAM_AXL_AXIS",57,57,TRUE,57,0.99,"SMCRH",0,0.000357142857142857,-0.100589543642628,0.415259394727359,-0.100589543642628,0.415259394727359,0.219789501922839,0.317580554863232,0.491969236042335,0.568475735576836,0.82140792872881,-0.185445039645099,-0.479645316992133,0.386629522014369,FALSE,TRUE
"GSE32863","LUAD","discovery","TGFB_SMAD",57,57,TRUE,57,0.99,"SMCRH",0,0.000357142857142856,-0.0513521017008837,0.386894785859509,-0.0513521017008837,0.386894785859509,-0.366276257605225,0.273386350592008,0.186144267338666,-1.100501987208,0.82140792872881,-0.287146736306616,-0.862751945735766,0.332826529949734,FALSE,TRUE
"GSE32863","LUAD","discovery","TIE_ANGPT_AXIS",57,57,TRUE,57,0.99,"SMCRH",0,0.000357142857142852,0.00757846557110209,0.561824636987787,0.00757846557110209,0.561824636987787,0.164854735972558,0.171876486536507,0.341923538271924,0.787850566095855,0.82140792872881,-0.894718439727122,-4.27591251823516,0.209246198539255,FALSE,TRUE
"GSE32863","LUAD","discovery","VEGF_PDGF_AXIS",57,57,TRUE,57,0.99,"SMCRH",0,0.000357142857142861,0.0929473160464287,0.383720262541542,0.0929473160464287,0.383720262541542,0.244785070325027,0.209455609370143,0.247865353525542,0.959957091643676,0.82140792872881,-0.361189946622304,-1.41645423975447,0.254995845601699,FALSE,TRUE
"GSE32863","LUAD","discovery","WNT_CTNNB1",57,57,TRUE,57,0.99,"SMCRH",0,0.000357142857142859,-0.0604509499990704,0.402744831766169,-0.0604509499990704,0.402744831766169,-0.071369227410034,0.222608299155599,0.749794989823197,-0.26334709660072,0.82140792872881,-0.373124988768087,-1.37680322496299,0.271008218170114,FALSE,TRUE
"GSE19804","LUAD","validation","EPH_RECEPTORS",60,60,TRUE,60,0.99,"SMCRH",0,0.000338983050847457,0.117557250655787,0.422123572767315,0.117557250655787,0.422123572767315,-0.122132830527167,0.102164171561145,0.237037747665876,-0.504230555469688,0.421789102512594,0.301023481277002,1.24278817184999,0.242216242554759,FALSE,TRUE
"GSE19804","LUAD","validation","ERBB_LIGANDS",60,60,TRUE,60,0.99,"SMCRH",0,0.000338983050847462,-0.135634806586005,0.375649355491823,-0.135634806586005,0.375649355491823,-0.29323524023761,0.119361266901561,0.0172057026357647,-1.03621075760607,0.421789102512594,-0.278125095815453,-0.982815762562043,0.282988029303097,FALSE,TRUE
"GSE19804","LUAD","validation","ERBB_RECEPTORS",60,60,TRUE,60,0.99,"SMCRH",0,0.000338983050847457,0.114881152201392,0.430326502717689,0.114881152201392,0.430326502717689,-0.113693889920636,0.152144160359239,0.458079134187294,-0.315193456505731,0.421789102512594,0.228974428627064,0.634785577842118,0.360711453787966,FALSE,TRUE
"GSE19804","LUAD","validation","FGFR_AXIS",60,60,TRUE,60,0.99,"SMCRH",0,0.000338983050847455,-0.262517676313397,0.309227056062827,-0.262517676313397,0.309227056062827,-0.129638990411717,0.0987592422776866,0.19474308729378,-0.553672873093227,0.421789102512594,-0.604920982243176,-2.58354633254445,0.234143655417787,FALSE,TRUE
"GSE19804","LUAD","validation","HGF_MET_AXIS",60,60,TRUE,60,0.99,"SMCRH",0,0.000338983050847457,0.0999273111166715,0.352622721168783,0.0999273111166715,0.352622721168783,0.252356442105531,0.128273879749196,0.0541975327288957,0.829796350099334,0.421789102512594,0.139220443745722,0.457783503030604,0.304118525075848,FALSE,TRUE
"GSE19804","LUAD","validation","IGF_INSR_AXIS",60,60,TRUE,60,0.99,"SMCRH",0,0.000338983050847457,-0.111005027562577,0.439993934444797,-0.111005027562577,0.439993934444797,0.288512272186096,0.140398181942084,0.0446451310404312,0.866758605175117,0.421789102512594,-0.222076902604801,-0.667171156654264,0.332863464479601,FALSE,TRUE
"GSE19804","LUAD","validation","JAK_STAT",60,60,TRUE,60,0.99,"SMCRH",0,0.000338983050847457,-0.178126719573788,0.345624907636489,-0.178126719573788,0.345624907636489,-0.103766673330064,0.0854191752804932,0.229634465943888,-0.51238673132683,0.421789102512594,-0.367209393555242,-1.81323362152889,0.202516316262444,FALSE,TRUE
"GSE19804","LUAD","validation","PDGFR_KIT_CSF1R",60,60,TRUE,60,0.99,"SMCRH",0,0.000338983050847457,-0.1065765401409,0.469640643602136,-0.1065765401409,0.469640643602136,0.391008089515633,0.127789099397815,0.00342022426841926,1.29058700569247,0.421789102512594,-0.272169463495186,-0.898340424026276,0.30296918207838,FALSE,TRUE
"GSE19804","LUAD","validation","PI3K_AKT",60,60,TRUE,60,0.99,"SMCRH",0,0.000338983050847455,-0.010793497136578,0.213134844765101,-0.010793497136578,0.213134844765101,-0.0592736075973198,0.0779264946039807,0.450123911264407,-0.320827491063355,0.421789102512594,-0.00881753353453433,-0.0477262524742895,0.18475227107522,FALSE,TRUE
"GSE19804","LUAD","validation","RAS_MAPK",60,60,TRUE,60,0.99,"SMCRH",0,0.000338983050847461,-0.0958765816731161,0.262937177129638,-0.0958765816731161,0.262937177129638,-0.094293137458141,0.0968991557684828,0.334761144193951,-0.410445452348328,0.421789102512594,-0.181056442745522,-0.788114549441679,0.229733663556633,FALSE,TRUE
"GSE19804","LUAD","validation","RET_ALK_NTRK",60,60,TRUE,60,0.99,"SMCRH",0,0.000338983050847458,-0.0603299179922257,0.292247870200258,-0.0603299179922257,0.292247870200258,-0.0906785650472647,0.125371867792103,0.472574707502771,-0.305070278061414,0.421789102512594,-0.142492517955481,-0.47938817791935,0.297238281039657,FALSE,TRUE
