"disease","feature","k","est","se","p","ci_lo","ci_hi","I2","tau2","measures","cohorts","note","fdr"
"IBD","HGF_MET_AXIS",3,1.6683762766955,0.247588126494954,0.0213209636577679,0.603090548378428,2.73366200501257,59.1120639049401,0.100905969414818,"SMDH 3","GSE75214;GSE87473;GSE179285","",0.0615602933410572
"NAFLD","HGF_MET_AXIS",2,-0.149120404640072,0.17362501378168,0.548243118217893,-2.35523537707126,2.05699456779111,0,0,"SMDH 2","GSE33814;GSE66676","",0.919661679056586
"STAD","HGF_MET_AXIS",1,0.505955309737661,0.249118610558313,0.0422568630048211,0.0176918051647071,0.994218814310615,0,0,"SMDH 1","GSE13911","",NA
"Asthma","IGF_INSR_AXIS",3,-0.818296397539505,0.23007314640754,0.0707632555645177,-1.80822124897195,0.171628453892944,63.838867104291,0.101814016687201,"SMDH 3","GSE4302;GSE43696;GSE67472","",0.238988416282864
"COPD","IGF_INSR_AXIS",2,-0.210949165213156,0.294657119039042,0.604451033210723,-3.95492284669463,3.53302451626832,85.3109223126387,0.148391414952653,"SMDH 2","GSE76925;GSE47460","",0.647626107011489
"CRC","IGF_INSR_AXIS",2,-0.881680218803692,0.103526022164469,0.0744105427768613,-2.19710305194719,0.433742614339808,0,0,"SMDH 2","GSE41258;GSE23878","",0.180711318172377
"HCC","IGF_INSR_AXIS",1,-1.24903152251853,0.329739800410413,0.000151907186150678,-1.89530965559237,-0.602753389444695,0,0,"SMDH 1","GSE62232","",NA
"IBD","IGF_INSR_AXIS",3,-0.558625769471262,0.112326891073282,0.0381342473710257,-1.04192937397199,-0.0753221649705336,0,0,"SMDH 3","GSE75214;GSE87473;GSE179285","",0.0899691219878595
"NAFLD","IGF_INSR_AXIS",2,-1.03181476798273,0.654757935115315,0.359977291053871,-9.35130314419292,7.28767360822746,89.0932390754664,0.764719933501992,"SMDH 2","GSE33814;GSE66676","",0.919661679056586
"STAD","IGF_INSR_AXIS",1,-0.141579102515152,0.242797738696896,0.559815611813467,-0.617453925888835,0.334295720858531,0,0,"SMDH 1","GSE13911","",NA
"Asthma","JAK_STAT",3,-0.164145345595669,0.0991379741869869,0.239614391371129,-0.59070162085314,0.262410929661802,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472","",0.370313150300835
"COPD","JAK_STAT",2,0.281843560148177,0.0533834187373329,0.119169166834585,-0.39645708784532,0.960144208141674,0,0,"SMDH 2","GSE76925;GSE47460","",0.415475115455989
"CRC","JAK_STAT",2,-0.0451470899773934,0.0096781210770124,0.134436674098507,-0.168119277843401,0.0778250978886138,0,0,"SMDH 2","GSE41258;GSE23878","",0.207765769061329
"HCC","JAK_STAT",1,1.34484686336036,0.260548676033312,2.44853975063605e-07,0.834180842115474,1.85551288460525,0,0,"SMDH 1","GSE62232","",NA
"IBD","JAK_STAT",3,2.03673486748146,0.305213756447019,0.0217271623556673,0.723506065147608,3.34996366981531,73.9252236839189,0.196658072829048,"SMDH 3","GSE75214;GSE87473;GSE179285","",0.0615602933410572
"NAFLD","JAK_STAT",2,-0.0269141727452973,0.343565585686934,0.950230249583168,-4.39232884478726,4.33850049929666,62.630781276765,0.149461298955351,"SMDH 2","GSE33814;GSE66676","",0.950230249583168
"STAD","JAK_STAT",1,0.801883732120429,0.254031132719672,0.00159600627914489,0.303991861037957,1.2997756032029,0,0,"SMDH 1","GSE13911","",NA
"Asthma","PDGFR_KIT_CSF1R",3,0.355941293080135,0.110492076213691,0.0843488528057166,-0.119467740256388,0.831350326416659,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472","",0.238988416282864
"COPD","PDGFR_KIT_CSF1R",2,0.371803118091228,0.236940059267668,0.361202874199515,-2.63880578516514,3.38241202134759,77.6630378048515,0.0874888991755961,"SMDH 2","GSE76925;GSE47460","",0.593654657869055
"CRC","PDGFR_KIT_CSF1R",2,-1.14391205489752,0.0295787322598277,0.0164577431092151,-1.51974548282739,-0.768078626967655,0,0,"SMDH 2","GSE41258;GSE23878","",0.100573877542641
"HCC","PDGFR_KIT_CSF1R",1,0.0330373690436828,0.44068269133242,0.94023968677479,-0.830684834578042,0.896759572665408,0,0,"SMDH 1","GSE62232","",NA
"IBD","PDGFR_KIT_CSF1R",3,1.53187469773335,0.3256358865021,0.042338410347228,0.130776561770702,2.932972833696,80.2487854051153,0.249700223475359,"SMDH 3","GSE75214;GSE87473;GSE179285","",0.0899691219878595
"NAFLD","PDGFR_KIT_CSF1R",2,0.120762063282959,0.179956487878592,0.623732408875087,-2.16580191530537,2.40732604187129,0,0,"SMDH 2","GSE33814;GSE66676","",0.919661679056586
"STAD","PDGFR_KIT_CSF1R",1,-0.771847134775021,0.251268696804476,0.00212772371425671,-1.26432473095411,-0.279369538595933,0,0,"SMDH 1","GSE13911","",NA
"Asthma","PI3K_AKT",3,0.304545478307904,0.0415277592685394,0.0180909545526304,0.125865951530744,0.483225005085063,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472","",0.208457116511432
"COPD","PI3K_AKT",2,0.0802568755174248,0.020022389073766,0.15564593484738,-0.174151699361193,0.334665450396043,0,0,"SMDH 2","GSE76925;GSE47460","",0.415475115455989
"CRC","PI3K_AKT",2,0.0219989981699106,0.127122769067262,0.890911341484018,-1.59324893222818,1.637246928568,0,0,"SMDH 2","GSE41258;GSE23878","",0.890911341484018
"HCC","PI3K_AKT",1,1.89524918958704,0.297180873958547,1.80088395221211e-10,1.31278537973415,2.47771299943993,0,0,"SMDH 1","GSE62232","",NA
"IBD","PI3K_AKT",3,0.208406096907188,0.177588068996172,0.361414565987533,-0.55569369293013,0.972505886744505,29.1901542473435,0.0264880972356674,"SMDH 3","GSE75214;GSE87473;GSE179285","",0.47261904782985
"NAFLD","PI3K_AKT",2,-0.29350259521451,0.0802483104127695,0.169909359954244,-1.31315405705126,0.72614886662224,0,0,"SMDH 2","GSE33814;GSE66676","",0.906183253089301
"STAD","PI3K_AKT",1,0.727289051452475,0.251819095303511,0.00387526125677634,0.233732694038134,1.22084540886682,0,0,"SMDH 1","GSE13911","",NA
"Asthma","RAS_MAPK",3,0.296147768171427,0.0710657530061802,0.0530441113357885,-0.00962348799231588,0.601919024335169,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472","",0.238988416282864
"COPD","RAS_MAPK",2,-0.237101474889345,0.105417207305615,0.266336808287633,-1.57655409363027,1.10235114385158,0,0,"SMDH 2","GSE76925;GSE47460","",0.499381515539311
"CRC","RAS_MAPK",2,-0.172656259603726,0.207063972548778,0.557529124948905,-2.80365348829416,2.4583409690867,51.0609741720401,0.0470507553281214,"SMDH 2","GSE41258;GSE23878","",0.622688561367704
"HCC","RAS_MAPK",1,1.04786191864435,0.327167545727082,0.00136084448625415,0.406625312108909,1.68909852517979,0,0,"SMDH 1","GSE62232","",NA
"IBD","RAS_MAPK",3,0.243158977718673,0.147333036925488,0.240648350271795,-0.390763915791055,0.877081871228401,9.5199482630596,0.00674012424712101,"SMDH 3","GSE75214;GSE87473;GSE179285","",0.340918496218377
