gene	n	spearman
MET	94	0.6957
SRC	96	0.4901
ERBB2	94	0.4343
ERBB3	77	0.3945
STAT3	96	0.3658
AKT1	96	0.3533
CTNNB1	96	0.3386
PIK3CA	53	-0.1932
MTOR	96	0.1454
KRAS	91	0.0776
EGFR	96	-0.0215
