"module","accession","n_members","n_full","n_common","effect_full","effect_common","sign_agree"
"ERBB_RECEPTORS","GSE28735",4,4,3,0.315365263867457,0.920872020064312,TRUE
"ERBB_RECEPTORS","GSE33814",4,4,3,0.183954511899443,0.0430555568348826,TRUE
"ERBB_RECEPTORS","GSE47460",4,4,3,-0.528605837758487,-0.720360455043245,TRUE
"ERBB_RECEPTORS","GSE57957",4,4,3,-0.338070870293371,-0.276364583003914,TRUE
"ERBB_RECEPTORS","GSE62232",4,4,3,-0.2590245632619,0.00869127291159084,FALSE
"ERBB_RECEPTORS","GSE62452",4,4,3,0.280534669814456,0.905766793974447,TRUE
"ERBB_RECEPTORS","GSE66676",4,4,3,-0.450167888292266,-0.410455014166802,TRUE
"ERBB_RECEPTORS","GSE76925",4,3,3,0.232815747911793,0.232815747911793,TRUE
"ERBB_RECEPTORS","GSE10072",4,4,3,0.923923615680265,1.29223670934755,TRUE
"ERBB_RECEPTORS","GSE179285",4,4,3,-0.931555648366675,-0.876555666973373,TRUE
"ERBB_RECEPTORS","GSE19804",4,4,3,0.833322492414945,0.987596981589632,TRUE
"ERBB_RECEPTORS","GSE23878",4,4,3,-0.0416729643505761,0.073665174217446,FALSE
"ERBB_RECEPTORS","GSE32863",4,4,3,1.52544374692649,1.53964471808488,TRUE
"ERBB_RECEPTORS","GSE41258",4,4,3,0.407047387104679,0.385160240727456,TRUE
"ERBB_RECEPTORS","GSE4302",4,4,3,-0.173180592147375,-0.0959765660308746,TRUE
"ERBB_RECEPTORS","GSE43696",4,4,3,-0.19067560891305,-0.484252939512496,TRUE
"ERBB_RECEPTORS","GSE44076",4,4,3,-0.569000257346392,-0.486687127995274,TRUE
"ERBB_RECEPTORS","GSE67472",4,4,3,-0.372338227507838,-0.432779896257637,TRUE
"ERBB_RECEPTORS","GSE75214",4,4,3,-1.22816569059697,-1.21069108952483,TRUE
"ERBB_RECEPTORS","GSE87473",4,4,3,-0.88589940655605,-0.763952454687369,TRUE
"FGFR_AXIS","GSE13911",8,8,4,-0.457819457407022,0.243322951799602,FALSE
"FGFR_AXIS","GSE27342",8,5,4,0.232887555820736,0.370717715516754,TRUE
"FGFR_AXIS","GSE63089",8,5,4,0.250123951411162,0.305455340458565,TRUE
"FGFR_AXIS","GSE15471",8,8,4,-0.272349987782187,-0.391043335218307,TRUE
"FGFR_AXIS","GSE20347",8,7,4,0.303106260636649,-0.021104020473162,FALSE
"FGFR_AXIS","GSE23400",8,7,4,-0.893490728810476,-0.632114057221072,TRUE
"FGFR_AXIS","GSE28735",8,8,4,-0.844260360549733,-0.700830517103991,TRUE
"FGFR_AXIS","GSE33814",8,7,4,0.319539009634946,0.343182185250095,TRUE
"FGFR_AXIS","GSE47460",8,7,4,-0.0121391960831052,0.224055495815888,FALSE
"FGFR_AXIS","GSE57957",8,8,4,0.0546572242468223,0.0549123981300389,TRUE
"FGFR_AXIS","GSE62232",8,8,4,-0.0565163482817286,-0.140609503936181,TRUE
"FGFR_AXIS","GSE62452",8,8,4,-0.743983118309532,-0.643750987332737,TRUE
"FGFR_AXIS","GSE66676",8,8,4,-0.470435636050519,-0.333793602142477,TRUE
"FGFR_AXIS","GSE76925",8,8,4,-0.243665919925469,0.106428514997363,FALSE
"FGFR_AXIS","GSE10072",8,7,4,-1.65309313654216,-1.48564100589887,TRUE
"FGFR_AXIS","GSE179285",8,8,4,-0.961533574880678,-1.08568153189883,TRUE
"FGFR_AXIS","GSE19804",8,8,4,-1.29372466451826,-0.756705412365578,TRUE
"FGFR_AXIS","GSE23878",8,8,4,-1.44275866454241,-0.737068579917543,TRUE
"FGFR_AXIS","GSE32863",8,7,4,-1.36375983922309,-1.12524450885537,TRUE
