"feature","estimate","ci_low","ci_high","p_value","fdr","smd","accession","disease","role"
"IGF_INSR_AXIS",-0.410254373411046,-0.514503638093039,-0.306005108729052,1.69113286486504e-12,4.79154311711762e-12,-0.794682739098584,"GSE44076","CRC","discovery"
"JAK_STAT",-0.0254446458755766,-0.125341195500234,0.0744519037490806,0.615252086104544,0.616268152574966,-0.0508655811630436,"GSE44076","CRC","discovery"
"PDGFR_KIT_CSF1R",-0.436637954825643,-0.559931108402239,-0.313344801249046,2.3565788601003e-10,5.72312008881502e-10,-0.69764050290857,"GSE44076","CRC","discovery"
"PI3K_AKT",-0.0370600740628851,-0.124225939644233,0.0501057915184632,0.401901928393896,0.455488852179749,-0.0873476646631865,"GSE44076","CRC","discovery"
"RAS_MAPK",-0.21988971165807,-0.308192872983769,-0.13158655033237,2.43776609829899e-06,4.60466929678699e-06,-0.530602005411818,"GSE44076","CRC","discovery"
"RET_ALK_NTRK",-0.497342906618389,-0.591010682998449,-0.403675130238328,3.373287420501e-19,1.43364715371292e-18,-1.08095219025095,"GSE44076","CRC","discovery"
"SRC_FAK",-0.124195617091527,-0.207411513878879,-0.040979720304175,0.00373057520142908,0.00487844449417649,-0.2980588060605,"GSE44076","CRC","discovery"
"TAM_AXL_AXIS",0.034556967643663,-0.101509047209466,0.170622982496792,0.616268152574966,0.616268152574966,0.0488589917271779,"GSE44076","CRC","discovery"
"TGFB_SMAD",-0.203460653021372,-0.312636606551046,-0.0942846994916983,0.000329801336311039,0.000467218559773972,-0.384939578928097,"GSE44076","CRC","discovery"
"TIE_ANGPT_AXIS",-0.10443479867754,-0.239934997347238,0.0310653999921582,0.129442269725309,0.157179898952161,-0.151826539370323,"GSE44076","CRC","discovery"
"VEGF_PDGF_AXIS",0.235910693272158,0.135092046506759,0.336729340037557,8.6063542162168e-06,1.46308021675686e-05,0.461966288282642,"GSE44076","CRC","discovery"
"WNT_CTNNB1",0.954363514951821,0.880746542024841,1.0279804878788,1.45585166710905e-53,2.47494783408539e-52,2.60870062762088,"GSE44076","CRC","discovery"
"EPH_RECEPTORS",0.690140503413232,0.579524836713224,0.800756170113239,7.18313298964769e-28,6.10566304120054e-27,1.86578495859881,"GSE41258","CRC","validation"
"ERBB_LIGANDS",-0.137295106708462,-0.254204698684567,-0.0203855147323564,0.0215247530132674,0.0332655273841405,-0.368326155568458,"GSE41258","CRC","validation"
"ERBB_RECEPTORS",0.145416290327039,0.00623935797916086,0.284593222674918,0.0406424627477535,0.0531478359009084,0.290399460074704,"GSE41258","CRC","validation"
"FGFR_AXIS",-0.420553257672336,-0.520509851470691,-0.320596663873981,5.55028568240821e-15,3.14516188669799e-14,-1.29817190884205,"GSE41258","CRC","validation"
"HGF_MET_AXIS",0.402787908065625,0.27749275277021,0.528083063361041,1.01693524987809e-09,2.46969989256108e-09,0.955544828851422,"GSE41258","CRC","validation"
