"context","driver","feature","n","events","n_plus","n_minus","HR_module","p_module","HR_interaction","p_interaction","fdr_interaction"
"PAAD","KRAS_mut","EPH_RECEPTORS",164,86,98,66,1.67171561863982,0.0155174371323655,0.583539968600672,0.0732118475412371,0.652002422378921
"PAAD","KRAS_mut","ERBB_LIGANDS",164,86,98,66,1.55513019854236,0.0130421309019815,0.855956803933686,0.501142551366268,0.883031253317198
"PAAD","KRAS_mut","ERBB_RECEPTORS",164,86,98,66,1.62110919832149,0.00461057394071131,0.773973681353466,0.380712994062651,0.883031253317198
"PAAD","KRAS_mut","FGFR_AXIS",164,86,98,66,1.31290341099475,0.141459398738606,0.81879262269358,0.400116224602914,0.883031253317198
"PAAD","KRAS_mut","HGF_MET_AXIS",164,86,98,66,1.75787439176667,0.00621758482670819,0.807582006720002,0.480973233298046,0.883031253317198
"PAAD","KRAS_mut","IGF_INSR_AXIS",164,86,98,66,1.11493611325724,0.558075131073185,0.900774892433498,0.667429146921305,0.953026550813796
"PAAD","KRAS_mut","JAK_STAT",164,86,98,66,1.15582263919143,0.42335569401493,0.881916885400007,0.610919733316373,0.918553533873976
"PAAD","KRAS_mut","PDGFR_KIT_CSF1R",164,86,98,66,1.33112909186454,0.0901739683787295,0.799346273706667,0.318230472003387,0.883031253317198
"PAAD","KRAS_mut","PI3K_AKT",164,86,98,66,1.16311040915134,0.457026326299934,0.910557260271753,0.711094665441624,0.953026550813796
"PAAD","KRAS_mut","RAS_MAPK",164,86,98,66,1.15304101914293,0.48242917540559,1.05076297439723,0.861206955040728,0.953026550813796
"PAAD","KRAS_mut","RET_ALK_NTRK",164,86,98,66,0.989401189938789,0.947909848537456,0.823027709869523,0.429372770016285,0.883031253317198
"PAAD","KRAS_mut","SRC_FAK",164,86,98,66,1.26178280696212,0.262703462191242,0.737288751681698,0.234276675392237,0.883031253317198
"PAAD","KRAS_mut","TAM_AXL_AXIS",164,86,98,66,1.36965770996876,0.0610855449148454,0.777295360016842,0.268931174153615,0.883031253317198
"PAAD","KRAS_mut","TGFB_SMAD",164,86,98,66,1.29658638659815,0.186286941920667,0.992773489800288,0.978149124104976,0.992237170097578
"PAAD","KRAS_mut","TIE_ANGPT_AXIS",164,86,98,66,1.05557019156735,0.759357052270886,1.14762684457611,0.534918749929992,0.883031253317198
"PAAD","KRAS_mut","VEGF_PDGF_AXIS",164,86,98,66,0.782246683436572,0.0887460465720184,1.600415166165,0.0277529169251469,0.652002422378921
"PAAD","KRAS_mut","WNT_CTNNB1",164,86,98,66,1.67879448177359,0.0188343002515531,0.6130925111681,0.0767061673386966,0.652002422378921
"CRC","KRAS_mut","EPH_RECEPTORS",508,105,212,296,1.04914497677472,0.715754708680111,0.876793616709021,0.555899175237661,0.883031253317198
"CRC","KRAS_mut","ERBB_LIGANDS",508,105,212,296,0.785311586318671,0.0312118590345412,0.963124566012134,0.848509234921801,0.953026550813796
"CRC","KRAS_mut","ERBB_RECEPTORS",508,105,212,296,1.24812806724725,0.0631273272324081,0.761088875118358,0.191602755608376,0.883031253317198
"CRC","KRAS_mut","FGFR_AXIS",508,105,212,296,1.22396168367453,0.123421089547154,0.726354757317451,0.110404726404006,0.866252468708354
"CRC","KRAS_mut","HGF_MET_AXIS",508,105,212,296,0.97530898604206,0.841654949071625,1.1526858511783,0.487813434319704,0.883031253317198
"CRC","KRAS_mut","IGF_INSR_AXIS",508,105,212,296,1.26983495712921,0.049013840697007,0.89060066781182,0.559524442867984,0.883031253317198
"CRC","KRAS_mut","JAK_STAT",508,105,212,296,1.10585548571343,0.395677431188926,0.967082017892236,0.867697918059139,0.953026550813796
"CRC","KRAS_mut","PDGFR_KIT_CSF1R",508,105,212,296,0.979144883745299,0.869877562288104,0.951578050183554,0.791806437719085,0.953026550813796
"CRC","KRAS_mut","PI3K_AKT",508,105,212,296,1.05929821307861,0.660565148978689,0.962911089386569,0.855692432785886,0.953026550813796
"CRC","KRAS_mut","RAS_MAPK",508,105,212,296,1.13977720294536,0.333096563342646,0.644565567679487,0.0506667632138191,0.652002422378921
"CRC","KRAS_mut","RET_ALK_NTRK",508,105,212,296,1.33799918603267,0.0150232985682228,0.759537074334645,0.159186523278483,0.883031253317198
"CRC","KRAS_mut","SRC_FAK",508,105,212,296,1.08726352573078,0.491235161383074,0.822106558277261,0.32244229495,0.883031253317198
"CRC","KRAS_mut","TAM_AXL_AXIS",508,105,212,296,1.22036630141641,0.118818458238608,0.80830363062867,0.264101804922245,0.883031253317198
"CRC","KRAS_mut","TGFB_SMAD",508,105,212,296,1.10938115300672,0.425847460239907,1.02753106841015,0.895338181296867,0.953026550813796
"CRC","KRAS_mut","TIE_ANGPT_AXIS",508,105,212,296,1.02923668878607,0.813001259491552,0.945056994934687,0.769267987732222,0.953026550813796
"CRC","KRAS_mut","VEGF_PDGF_AXIS",508,105,212,296,1.23310364880255,0.114763021554511,1.20439127955705,0.356405966183758,0.883031253317198
"CRC","KRAS_mut","WNT_CTNNB1",508,105,212,296,0.882426210868976,0.308802922926201,0.763151099808104,0.193703138329969,0.883031253317198
"LUAD","EGFR_mut","EPH_RECEPTORS",492,179,69,423,1.11731960723804,0.191565064382668,1.73708595576595,0.0333472097145398,0.652002422378921
"LUAD","EGFR_mut","ERBB_LIGANDS",492,179,69,423,1.18884859297288,0.0327364030186932,1.02883392086986,0.906309563028806,0.953026550813796
"LUAD","EGFR_mut","ERBB_RECEPTORS",492,179,69,423,0.976907032147186,0.780083023130773,1.2337347877817,0.341394247107955,0.883031253317198
"LUAD","EGFR_mut","FGFR_AXIS",492,179,69,423,0.943361525715443,0.49538580634295,0.998084710285616,0.992237170097578,0.992237170097578
"LUAD","EGFR_mut","HGF_MET_AXIS",492,179,69,423,1.08746629582652,0.302519266370992,0.652832314819102,0.0711688139986627,0.652002422378921
"LUAD","EGFR_mut","IGF_INSR_AXIS",492,179,69,423,1.00451282298735,0.954506085668183,1.21475029435207,0.417221954252853,0.883031253317198
"LUAD","EGFR_mut","JAK_STAT",492,179,69,423,0.995953652768912,0.959758795339845,0.917050666092754,0.656999437501238,0.953026550813796
