threshold,context,module,cell_type,comparison_type,n_donors_a,n_donors_b,n_testable,test_used,p_used,fdr_family,fdr_celltype_family,fdr_global
0,CRC,VEGF_PDGF_AXIS,malignant cell vs early colonocyte,cell-identity,28,20,1,cell-identity unpaired,7.249412946708817e-08,2.899765178683527e-07,7.249412946708817e-08,3.866353571578036e-06
0,CRC,VEGF_PDGF_AXIS,malignant cell vs secretory cell,cell-identity,28,18,1,cell-identity unpaired,2.4134039921577795e-06,3.217871989543706e-06,2.4134039921577795e-06,7.722892774904894e-05
0,CRC,HGF_MET_AXIS,BEST4+ colonocyte,tumour-vs-adjacent,9,16,1,paired,0.1484375,0.333984375,0.1484375,0.3254191489485608
0,CRC,HGF_MET_AXIS,colon goblet cell,tumour-vs-adjacent,14,17,1,paired,0.064453125,0.193359375,0.064453125,0.1796875
0,CRC,HGF_MET_AXIS,colonocyte,tumour-vs-adjacent,14,20,1,paired,0.635498046875,0.8043757365241004,0.635498046875,0.79437255859375
0,CRC,HGF_MET_AXIS,early colonocyte,tumour-vs-adjacent,18,20,1,paired,0.0166015625,0.07470703125,0.0166015625,0.06478658536585366
0,CRC,HGF_MET_AXIS,enteroendocrine cell of colon,tumour-vs-adjacent,9,15,1,paired,0.7150006546880893,0.8043757365241004,0.7150006546880893,0.8800008057699561
0,CRC,HGF_MET_AXIS,intestinal crypt stem cell of colon,tumour-vs-adjacent,21,20,1,paired,0.979949951171875,0.979949951171875,0.979949951171875,1.0
0,CRC,HGF_MET_AXIS,malignant cell,tumour-vs-adjacent,28,20,1,paired,0.002399444580078125,0.021595001220703125,0.002399444580078125,0.01745050603693182
0,CRC,HGF_MET_AXIS,secretory cell,tumour-vs-adjacent,19,18,1,paired,0.497314453125,0.7459716796875,0.497314453125,0.6928105714942226
0,CRC,HGF_MET_AXIS,tuft cell of colon,tumour-vs-adjacent,16,18,1,paired,0.23672357063785732,0.42610242714814317,0.23672357063785732,0.4304064920688315
0,CRC,HGF_MET_AXIS,malignant cell vs BEST4+ colonocyte,cell-identity,28,16,1,cell-identity unpaired,0.014208482470532934,0.01894464329404391,0.014208482470532934,0.05829121013551973
0,CRC,HGF_MET_AXIS,malignant cell vs colonocyte,cell-identity,28,20,1,cell-identity unpaired,0.00022329188894647858,0.0007863933351138713,0.00022329188894647858,0.0032478820210396883
0,CRC,HGF_MET_AXIS,malignant cell vs early colonocyte,cell-identity,28,20,1,cell-identity unpaired,0.0003931966675569356,0.0007863933351138713,0.0003931966675569356,0.004831788696472215
0,CRC,HGF_MET_AXIS,malignant cell vs secretory cell,cell-identity,28,18,1,cell-identity unpaired,0.04638094131066185,0.04638094131066185,0.04638094131066185,0.1427105886481903
0,CRC,EPH_RECEPTORS,BEST4+ colonocyte,tumour-vs-adjacent,9,16,1,paired,0.0234375,0.052734375,0.0234375,0.0797872340425532
0,CRC,EPH_RECEPTORS,colon goblet cell,tumour-vs-adjacent,14,17,1,paired,0.013671875,0.052734375,0.013671875,0.05756578947368421
0,CRC,EPH_RECEPTORS,colonocyte,tumour-vs-adjacent,14,20,1,paired,0.5302845968336095,0.5965701714378107,0.5302845968336095,0.7070461291114793
0,CRC,EPH_RECEPTORS,early colonocyte,tumour-vs-adjacent,18,20,1,paired,0.5015869140625,0.5965701714378107,0.5015869140625,0.6928105714942226
0,CRC,EPH_RECEPTORS,enteroendocrine cell of colon,tumour-vs-adjacent,9,15,1,paired,0.5001842570707944,0.5965701714378107,0.5001842570707944,0.6928105714942226
0,CRC,EPH_RECEPTORS,intestinal crypt stem cell of colon,tumour-vs-adjacent,21,20,1,paired,0.01824951171875,0.052734375,0.01824951171875,0.06790515988372094
0,CRC,EPH_RECEPTORS,malignant cell,tumour-vs-adjacent,28,20,1,paired,3.814697265625e-06,3.4332275390625e-05,3.814697265625e-06,0.00010172526041666667
0,CRC,EPH_RECEPTORS,secretory cell,tumour-vs-adjacent,19,18,1,paired,0.0478515625,0.0861328125,0.0478515625,0.14445754716981132
0,CRC,EPH_RECEPTORS,tuft cell of colon,tumour-vs-adjacent,16,18,1,paired,0.7988593499960496,0.7988593499960496,0.7988593499960496,0.9502814797794118
0,CRC,EPH_RECEPTORS,malignant cell vs BEST4+ colonocyte,cell-identity,28,16,1,cell-identity unpaired,0.000867652370143851,0.001735304740287702,0.000867652370143851,0.00867652370143851
0,CRC,EPH_RECEPTORS,malignant cell vs colonocyte,cell-identity,28,20,1,cell-identity unpaired,5.10077001841921e-08,2.040308007367684e-07,5.10077001841921e-08,3.866353571578036e-06
0,CRC,EPH_RECEPTORS,malignant cell vs early colonocyte,cell-identity,28,20,1,cell-identity unpaired,0.009226058407522594,0.012301411210030125,0.009226058407522594,0.04595588235294118
0,CRC,EPH_RECEPTORS,malignant cell vs secretory cell,cell-identity,28,18,1,cell-identity unpaired,0.016527931992040976,0.016527931992040976,0.016527931992040976,0.06478658536585366
0,CRC,JAK_STAT,BEST4+ colonocyte,tumour-vs-adjacent,9,16,1,paired,0.84375,0.84375,0.84375,0.9507042253521126
0,CRC,JAK_STAT,colon goblet cell,tumour-vs-adjacent,14,17,1,paired,0.083984375,0.23531341552734375,0.083984375,0.21329365079365079
0,CRC,JAK_STAT,colonocyte,tumour-vs-adjacent,14,20,1,paired,0.039794921875,0.1790771484375,0.039794921875,0.12734375
0,CRC,JAK_STAT,early colonocyte,tumour-vs-adjacent,18,20,1,paired,0.0067138671875,0.0604248046875,0.0067138671875,0.035807291666666664
0,CRC,JAK_STAT,enteroendocrine cell of colon,tumour-vs-adjacent,9,15,1,paired,0.15625,0.28125,0.15625,0.33141416555337844
0,CRC,JAK_STAT,intestinal crypt stem cell of colon,tumour-vs-adjacent,21,20,1,paired,0.104583740234375,0.23531341552734375,0.104583740234375,0.25094658735036984
0,CRC,JAK_STAT,malignant cell,tumour-vs-adjacent,28,20,1,paired,0.5152778625488281,0.661376953125,0.5152778625488281,0.6928105714942226
0,CRC,JAK_STAT,secretory cell,tumour-vs-adjacent,19,18,1,paired,0.587890625,0.661376953125,0.587890625,0.7585685483870968
0,CRC,JAK_STAT,tuft cell of colon,tumour-vs-adjacent,16,18,1,paired,0.46484375,0.661376953125,0.46484375,0.6823394495412844
0,CRC,JAK_STAT,malignant cell vs BEST4+ colonocyte,cell-identity,28,16,1,cell-identity unpaired,0.0004227815109413188,0.0016911260437652753,0.0004227815109413188,0.004831788696472215
