threshold,context,module,cell_type,comparison_type,n_donors_a,n_donors_b,n_testable,test_used,p_used,fdr_family,fdr_celltype_family,fdr_global
0,STAD,VEGF_PDGF_AXIS,mucous neck cell of gastric gland,tumour-vs-adjacent,27,33,0,not testable,nan,nan,nan,nan
0,STAD,VEGF_PDGF_AXIS,parietal cell,tumour-vs-adjacent,19,30,0,not testable,nan,nan,nan,nan
0,STAD,VEGF_PDGF_AXIS,peptic cell,tumour-vs-adjacent,19,28,0,not testable,nan,nan,nan,nan
0,STAD,VEGF_PDGF_AXIS,type EC enteroendocrine cell,tumour-vs-adjacent,21,27,0,not testable,nan,nan,nan,nan
0,STAD,VEGF_PDGF_AXIS,type G enteroendocrine cell,tumour-vs-adjacent,13,24,1,unpaired,0.29769176632568695,0.29769176632568695,0.29769176632568695,0.5177248110011946
0,STAD,VEGF_PDGF_AXIS,type X enteroendocrine cell,tumour-vs-adjacent,13,25,0,not testable,nan,nan,nan,nan
0,STAD,HGF_MET_AXIS,BEST4+ enterocyte,tumour-vs-adjacent,5,7,1,unpaired,0.06639318527112506,0.13278637054225012,0.06639318527112506,0.1796875
0,STAD,HGF_MET_AXIS,enterocyte,tumour-vs-adjacent,19,19,0,not testable,nan,nan,nan,nan
0,STAD,HGF_MET_AXIS,enteroendocrine cell,tumour-vs-adjacent,23,24,0,not testable,nan,nan,nan,nan
0,STAD,HGF_MET_AXIS,epithelial cell,tumour-vs-adjacent,28,33,0,not testable,nan,nan,nan,nan
0,STAD,HGF_MET_AXIS,foveolar cell of stomach,tumour-vs-adjacent,28,33,0,not testable,nan,nan,nan,nan
0,STAD,HGF_MET_AXIS,intestine goblet cell,tumour-vs-adjacent,22,19,0,not testable,nan,nan,nan,nan
0,STAD,HGF_MET_AXIS,mucous neck cell of gastric gland,tumour-vs-adjacent,27,33,0,not testable,nan,nan,nan,nan
0,STAD,HGF_MET_AXIS,parietal cell,tumour-vs-adjacent,19,30,0,not testable,nan,nan,nan,nan
0,STAD,HGF_MET_AXIS,peptic cell,tumour-vs-adjacent,19,28,0,not testable,nan,nan,nan,nan
0,STAD,HGF_MET_AXIS,type EC enteroendocrine cell,tumour-vs-adjacent,21,27,0,not testable,nan,nan,nan,nan
0,STAD,HGF_MET_AXIS,type G enteroendocrine cell,tumour-vs-adjacent,13,24,1,unpaired,0.38863289978858195,0.38863289978858195,0.38863289978858195,0.6037015919045933
0,STAD,HGF_MET_AXIS,type X enteroendocrine cell,tumour-vs-adjacent,13,25,0,not testable,nan,nan,nan,nan
0,STAD,EPH_RECEPTORS,BEST4+ enterocyte,tumour-vs-adjacent,5,7,1,unpaired,0.06639318527112506,0.13278637054225012,0.06639318527112506,0.1796875
0,STAD,EPH_RECEPTORS,enterocyte,tumour-vs-adjacent,19,19,0,not testable,nan,nan,nan,nan
0,STAD,EPH_RECEPTORS,enteroendocrine cell,tumour-vs-adjacent,23,24,0,not testable,nan,nan,nan,nan
0,STAD,EPH_RECEPTORS,epithelial cell,tumour-vs-adjacent,28,33,0,not testable,nan,nan,nan,nan
0,STAD,EPH_RECEPTORS,foveolar cell of stomach,tumour-vs-adjacent,28,33,0,not testable,nan,nan,nan,nan
0,STAD,EPH_RECEPTORS,intestine goblet cell,tumour-vs-adjacent,22,19,0,not testable,nan,nan,nan,nan
0,STAD,EPH_RECEPTORS,mucous neck cell of gastric gland,tumour-vs-adjacent,27,33,0,not testable,nan,nan,nan,nan
0,STAD,EPH_RECEPTORS,parietal cell,tumour-vs-adjacent,19,30,0,not testable,nan,nan,nan,nan
0,STAD,EPH_RECEPTORS,peptic cell,tumour-vs-adjacent,19,28,0,not testable,nan,nan,nan,nan
0,STAD,EPH_RECEPTORS,type EC enteroendocrine cell,tumour-vs-adjacent,21,27,0,not testable,nan,nan,nan,nan
0,STAD,EPH_RECEPTORS,type G enteroendocrine cell,tumour-vs-adjacent,13,24,1,unpaired,0.6901624220695128,0.6901624220695128,0.6901624220695128,0.8560154072180004
0,STAD,EPH_RECEPTORS,type X enteroendocrine cell,tumour-vs-adjacent,13,25,0,not testable,nan,nan,nan,nan
0,STAD,JAK_STAT,BEST4+ enterocyte,tumour-vs-adjacent,5,7,1,unpaired,0.6236797393048898,0.7378177311481033,0.6236797393048898,0.7857382542423809
0,STAD,JAK_STAT,enterocyte,tumour-vs-adjacent,19,19,0,not testable,nan,nan,nan,nan
0,STAD,JAK_STAT,enteroendocrine cell,tumour-vs-adjacent,23,24,0,not testable,nan,nan,nan,nan
0,STAD,JAK_STAT,epithelial cell,tumour-vs-adjacent,28,33,0,not testable,nan,nan,nan,nan
0,STAD,JAK_STAT,foveolar cell of stomach,tumour-vs-adjacent,28,33,0,not testable,nan,nan,nan,nan
0,STAD,JAK_STAT,intestine goblet cell,tumour-vs-adjacent,22,19,0,not testable,nan,nan,nan,nan
0,STAD,JAK_STAT,mucous neck cell of gastric gland,tumour-vs-adjacent,27,33,0,not testable,nan,nan,nan,nan
0,STAD,JAK_STAT,parietal cell,tumour-vs-adjacent,19,30,0,not testable,nan,nan,nan,nan
0,STAD,JAK_STAT,peptic cell,tumour-vs-adjacent,19,28,0,not testable,nan,nan,nan,nan
0,STAD,JAK_STAT,type EC enteroendocrine cell,tumour-vs-adjacent,21,27,0,not testable,nan,nan,nan,nan
0,STAD,JAK_STAT,type G enteroendocrine cell,tumour-vs-adjacent,13,24,1,unpaired,0.7378177311481033,0.7378177311481033,0.7378177311481033,0.9011514273564621
0,STAD,JAK_STAT,type X enteroendocrine cell,tumour-vs-adjacent,13,25,0,not testable,nan,nan,nan,nan
0,STAD,SRC_FAK,BEST4+ enterocyte,tumour-vs-adjacent,5,7,1,unpaired,0.5005804129627163,0.9872172569425267,0.5005804129627163,0.6928105714942226
0,STAD,SRC_FAK,enterocyte,tumour-vs-adjacent,19,19,0,not testable,nan,nan,nan,nan
0,STAD,SRC_FAK,enteroendocrine cell,tumour-vs-adjacent,23,24,0,not testable,nan,nan,nan,nan
0,STAD,SRC_FAK,epithelial cell,tumour-vs-adjacent,28,33,0,not testable,nan,nan,nan,nan
0,STAD,SRC_FAK,foveolar cell of stomach,tumour-vs-adjacent,28,33,0,not testable,nan,nan,nan,nan
0,STAD,SRC_FAK,intestine goblet cell,tumour-vs-adjacent,22,19,0,not testable,nan,nan,nan,nan
0,STAD,SRC_FAK,mucous neck cell of gastric gland,tumour-vs-adjacent,27,33,0,not testable,nan,nan,nan,nan
0,STAD,SRC_FAK,parietal cell,tumour-vs-adjacent,19,30,0,not testable,nan,nan,nan,nan
0,STAD,SRC_FAK,peptic cell,tumour-vs-adjacent,19,28,0,not testable,nan,nan,nan,nan
0,STAD,SRC_FAK,type EC enteroendocrine cell,tumour-vs-adjacent,21,27,0,not testable,nan,nan,nan,nan
0,STAD,SRC_FAK,type G enteroendocrine cell,tumour-vs-adjacent,13,24,1,unpaired,0.9872172569425267,0.9872172569425267,0.9872172569425267,1.0
0,STAD,SRC_FAK,type X enteroendocrine cell,tumour-vs-adjacent,13,25,0,not testable,nan,nan,nan,nan
0,STAD,WNT_CTNNB1,BEST4+ enterocyte,tumour-vs-adjacent,5,7,1,unpaired,0.5129899106370105,0.5129899106370105,0.5129899106370105,0.6928105714942226
0,STAD,WNT_CTNNB1,enterocyte,tumour-vs-adjacent,19,19,0,not testable,nan,nan,nan,nan
0,STAD,WNT_CTNNB1,enteroendocrine cell,tumour-vs-adjacent,23,24,0,not testable,nan,nan,nan,nan
0,STAD,WNT_CTNNB1,epithelial cell,tumour-vs-adjacent,28,33,0,not testable,nan,nan,nan,nan
0,STAD,WNT_CTNNB1,foveolar cell of stomach,tumour-vs-adjacent,28,33,0,not testable,nan,nan,nan,nan
0,STAD,WNT_CTNNB1,intestine goblet cell,tumour-vs-adjacent,22,19,0,not testable,nan,nan,nan,nan
0,STAD,WNT_CTNNB1,mucous neck cell of gastric gland,tumour-vs-adjacent,27,33,0,not testable,nan,nan,nan,nan
0,STAD,WNT_CTNNB1,parietal cell,tumour-vs-adjacent,19,30,0,not testable,nan,nan,nan,nan
0,STAD,WNT_CTNNB1,peptic cell,tumour-vs-adjacent,19,28,0,not testable,nan,nan,nan,nan
0,STAD,WNT_CTNNB1,type EC enteroendocrine cell,tumour-vs-adjacent,21,27,0,not testable,nan,nan,nan,nan
0,STAD,WNT_CTNNB1,type G enteroendocrine cell,tumour-vs-adjacent,13,24,1,unpaired,0.45317731610358036,0.5129899106370105,0.45317731610358036,0.6823394495412844
0,STAD,WNT_CTNNB1,type X enteroendocrine cell,tumour-vs-adjacent,13,25,0,not testable,nan,nan,nan,nan
