disease,feature,k,est,se,p,ci_lo,ci_hi,I2,tau2,measures,cohorts,fdr,pi_low,pi_high,pi_note
CRC,RET_ALK_NTRK,3,-1.14327080475195,0.222246994004522,0.0357741777143776,-2.09952244018412,-0.187019169319781,68.0039010778241,0.101608697171086,SMCRPH 2|SMDH 1,GSE23878;GSE41258;GSE44076,0.0760201276430523,-2.8154,0.5288,95% prediction interval; uninformative when k is small
ESCC,RET_ALK_NTRK,2,-0.439919234041001,0.351617990959259,0.429273257390736,-4.90764941609177,4.02781094800977,71.7290530694654,0.181857302904978,SMCRPH 2,GSE20347;GSE23400,0.556341190807378,-7.4627,6.5829,95% prediction interval; uninformative when k is small
HCC,RET_ALK_NTRK,2,-1.16964025428324,0.513438571211655,0.263334426754963,-7.69349585954755,5.35421535098107,82.4638523418975,0.437442440045328,SMCRPH 1|SMDH 1,GSE57957;GSE62232,0.472001393376343,-11.8083,9.469,95% prediction interval; uninformative when k is small
IBD,RET_ALK_NTRK,2,-0.241989786764397,0.286289097216662,0.553259730746848,-3.87963766973393,3.39565809620513,43.8997521548127,0.0775898645176629,SMCRPH 1|SMDH 1,GSE179285;GSE87473,0.723493494053571,-5.3173,4.8333,95% prediction interval; uninformative when k is small
LUAD,RET_ALK_NTRK,3,-0.997745912743959,0.272326654632754,0.0670872777764993,-2.16947293668312,0.1739811111952,79.5521428100089,0.181876520560823,SMCRPH 3,GSE10072;GSE19804;GSE32863,0.114048372220049,-3.1751,1.1796,95% prediction interval; uninformative when k is small
NAFLD,RET_ALK_NTRK,1,-0.404519329702835,0.318617632302728,0.204224483112207,-1.02899841385561,0.219959754449938,0,0,SMDH 1,GSE33814,NA,-1.029,0.22,95% prediction interval; uninformative when k is small
PAAD,RET_ALK_NTRK,1,-1.07792776471148,0.262958456333568,4.14523045853878e-05,-1.59331686855552,-0.562538660867442,0,0,SMCRPH 1,GSE15471,NA,-1.5933,-0.5625,95% prediction interval; uninformative when k is small
STAD,RET_ALK_NTRK,3,-1.12946898455872,0.203611164517275,0.0309948725687247,-2.00553711737644,-0.253400851740995,65.3471707576679,0.0758230521214707,SMCRPH 3,GSE13911;GSE27342;GSE63089,0.123979490274899,-2.6031,0.3441,95% prediction interval; uninformative when k is small
Asthma,SRC_FAK,3,0.201997426293111,0.145758840671399,0.300096198516655,-0.4251522474068,0.829147099993022,10.5422075097811,0.00643923585573964,SMDH 3,GSE4302;GSE43696;GSE67472,0.392433490367934,-0.514,0.918,95% prediction interval; uninformative when k is small
COPD,SRC_FAK,2,-0.278477921330641,0.00613147092628296,0.014014701846603,-0.356385646253896,-0.200570196407387,0,0,SMDH 2,GSE47460;GSE76925,0.210220527699045,-0.3564,-0.2006,95% prediction interval; uninformative when k is small
CRC,SRC_FAK,3,-0.399527047486973,0.0377481940562503,0.00880910311158376,-0.561944417686211,-0.237109677287735,0,0,SMCRPH 2|SMDH 1,GSE23878;GSE41258;GSE44076,0.037438688224231,-0.562,-0.2371,95% prediction interval; uninformative when k is small
ESCC,SRC_FAK,2,1.36758553187531,0.188829229400422,0.0873489098384725,-1.03171731706055,3.76688838081117,6.31798254010306,0.00590724405437052,SMCRPH 2,GSE20347;GSE23400,0.39935853372914,-1.2228,3.958,95% prediction interval; uninformative when k is small
HCC,SRC_FAK,2,-0.938613061351046,0.357415759377275,0.231626686800527,-5.48001087593406,3.60278475323197,70.2699559475111,0.18143565002052,SMCRPH 1|SMDH 1,GSE57957;GSE62232,0.472001393376343,-8.0037,6.1264,95% prediction interval; uninformative when k is small
IBD,SRC_FAK,3,0.421332330581874,0.0629817659787891,0.0216228823638358,0.150343663268795,0.692320997894953,0,0,SMCRPH 1|SMDH 2,GSE179285;GSE75214;GSE87473,0.0735178000370416,0.1503,0.6923,95% prediction interval; uninformative when k is small
LUAD,SRC_FAK,3,-0.067692725475044,0.423087124448588,0.887582105872822,-1.88808969640561,1.75270424545552,93.064738246628,0.496265801060774,SMCRPH 3,GSE10072;GSE19804;GSE32863,0.928827589235475,-3.6037,3.4683,95% prediction interval; uninformative when k is small
NAFLD,SRC_FAK,2,-0.09039898697772,0.142893321125344,0.640902409007457,-1.9060307806283,1.72523280667286,0,0,SMDH 2,GSE33814;GSE66676,0.919661679056586,-1.906,1.7252,95% prediction interval; uninformative when k is small
PAAD,SRC_FAK,3,0.581730270794891,0.307746207211579,0.199287786463329,-0.742394787734055,1.90585532932384,84.8626250584255,0.238908032665085,SMCRPH 3,GSE15471;GSE28735;GSE62452,0.35428939815703,-1.9037,3.0671,95% prediction interval; uninformative when k is small
STAD,SRC_FAK,3,0.462248368962017,0.278997362648854,0.239402663037195,-0.738180395031974,1.66267713295601,82.7656201720086,0.182133139311167,SMCRPH 3,GSE13911;GSE27342;GSE63089,0.383044260859513,-1.7317,2.6562,95% prediction interval; uninformative when k is small
Asthma,TAM_AXL_AXIS,3,0.212577960225108,0.120341218577977,0.219356620588086,-0.305208512390801,0.730364432841017,0,0,SMDH 3,GSE4302;GSE43696;GSE67472,0.370313150300835,-0.3053,0.7304,95% prediction interval; uninformative when k is small
COPD,TAM_AXL_AXIS,1,0.261304594832462,0.174185101434425,0.133574340024779,-0.0800919306224667,0.602701120287391,0,0,SMDH 1,GSE76925,NA,-0.0801,0.6027,95% prediction interval; uninformative when k is small
CRC,TAM_AXL_AXIS,3,0.0439361597897653,0.12562048854993,0.759920299198594,-0.496565178182052,0.584437497761582,0.012284821668454,4.87119213240092e-06,SMCRPH 2|SMDH 1,GSE23878;GSE41258;GSE44076,0.807415317898506,-0.4967,0.5846,95% prediction interval; uninformative when k is small
ESCC,TAM_AXL_AXIS,2,-0.653262766244012,0.116510010290817,0.112360299706906,-2.13366281081295,0.827137278324928,0,0,SMCRPH 2,GSE20347;GSE23400,0.39935853372914,-2.1336,0.8271,95% prediction interval; uninformative when k is small
HCC,TAM_AXL_AXIS,2,-0.351924756101362,0.173850662799532,0.292103890106546,-2.56090687115189,1.85705735894917,0,0,SMCRPH 1|SMDH 1,GSE57957;GSE62232,0.472001393376343,-2.5609,1.857,95% prediction interval; uninformative when k is small
IBD,TAM_AXL_AXIS,3,0.806592649935283,0.107784910930027,0.0173924532757568,0.342831608696399,1.27035369117417,0,0,SMCRPH 1|SMDH 2,GSE179285;GSE75214;GSE87473,0.0735178000370416,0.3428,1.2704,95% prediction interval; uninformative when k is small
LUAD,TAM_AXL_AXIS,3,-0.298483693811025,0.0621941621754079,0.0407794742911313,-0.566083575469524,-0.0308838121525248,0,0,SMCRPH 3,GSE10072;GSE19804;GSE32863,0.0990358661356047,-0.5661,-0.0309,95% prediction interval; uninformative when k is small
NAFLD,TAM_AXL_AXIS,2,-0.399482018720574,0.0585690576607702,0.0926761491133088,-1.14367245656314,0.344708419121994,0,0,SMDH 2,GSE33814;GSE66676,0.741409192906471,-1.1437,0.3447,95% prediction interval; uninformative when k is small
PAAD,TAM_AXL_AXIS,3,-0.0219450125443655,0.265474325824744,0.941647742284711,-1.1641888452326,1.12029882014387,80.2015440273917,0.1663168422782,SMCRPH 3,GSE15471;GSE28735;GSE62452,0.941647742284711,-2.1158,2.072,95% prediction interval; uninformative when k is small
STAD,TAM_AXL_AXIS,1,-0.165962177108069,0.263380994580033,0.528614722039527,-0.682179440697273,0.350255086481135,0,0,SMCRPH 1,GSE13911,NA,-0.6822,0.3503,95% prediction interval; uninformative when k is small
Asthma,TGFB_SMAD,3,-0.136091509607866,0.162798387904647,0.49114456218525,-0.83655643772461,0.564373418508877,28.4034134435276,0.0221779197893957,SMDH 3,GSE4302;GSE43696;GSE67472,0.55663050380995,-1.0855,0.8133,95% prediction interval; uninformative when k is small
COPD,TGFB_SMAD,2,-0.19689401287086,0.0618914213403376,0.193888387212795,-0.983299083834041,0.589511058092322,0,0,SMDH 2,GSE47460;GSE76925,0.415475115455989,-0.9833,0.5895,95% prediction interval; uninformative when k is small
CRC,TGFB_SMAD,3,-0.604291851669304,0.0391356400206262,0.00416801777868616,-0.772678920034544,-0.435904783304064,0,0,SMCRPH 2|SMDH 1,GSE23878;GSE41258;GSE44076,0.0354281511188324,-0.7727,-0.4359,95% prediction interval; uninformative when k is small
ESCC,TGFB_SMAD,2,0.520444097681927,0.37550404639219,0.397896792023167,-4.25078719503928,5.29167539040314,68.9682200848294,0.203035246767218,SMCRPH 2,GSE20347;GSE23400,0.556341190807378,-6.9322,7.9731,95% prediction interval; uninformative when k is small
HCC,TGFB_SMAD,2,1.13660913768509,0.767575221533241,0.378132839654496,-8.61635877753092,10.8895770529011,95.4214293924735,1.12439468651963,SMCRPH 1|SMDH 1,GSE57957;GSE62232,0.472001393376343,-15.496,17.7692,95% prediction interval; uninformative when k is small
IBD,TGFB_SMAD,3,1.13973130364381,0.278087666678166,0.0546946617418816,-0.0567833544986571,2.33624596178628,68.6950949427955,0.154909922230362,SMCRPH 1|SMDH 2,GSE179285;GSE75214;GSE87473,0.10083199989385,-0.934,3.2134,95% prediction interval; uninformative when k is small
LUAD,TGFB_SMAD,3,-0.846803461177225,0.0909410724096362,0.0113375674469649,-1.23809131462689,-0.45551560772756,0,0,SMCRPH 3,GSE10072;GSE19804;GSE32863,0.0642462155328012,-1.2381,-0.4555,95% prediction interval; uninformative when k is small
NAFLD,TGFB_SMAD,2,-0.61844846644947,0.295029790806223,0.283371072531065,-4.36715739170414,3.1302604588052,48.4543352731587,0.0863616961141696,SMDH 2,GSE33814;GSE66676,0.919661679056586,-5.9095,4.6726,95% prediction interval; uninformative when k is small
PAAD,TGFB_SMAD,3,0.964782472633737,0.208224129293443,0.0435594699952226,0.0688663543296013,1.86069859093787,51.5667179329183,0.0628106838951413,SMCRPH 3,GSE15471;GSE28735;GSE62452,0.139390303984712,-0.4373,2.3668,95% prediction interval; uninformative when k is small
STAD,TGFB_SMAD,3,0.663591247774154,0.226896540628536,0.0997278140244227,-0.312665772131925,1.63984826768023,70.933890379756,0.103226728833533,SMCRPH 3,GSE13911;GSE27342;GSE63089,0.177293891598974,-1.0289,2.3561,95% prediction interval; uninformative when k is small
Asthma,TIE_ANGPT_AXIS,3,-0.225075922356608,0.25762242739611,0.474428294668652,-1.33353576283716,0.883383918123948,72.27396366615,0.143998924364852,SMDH 3,GSE4302;GSE43696;GSE67472,0.55663050380995,-2.1987,1.7485,95% prediction interval; uninformative when k is small
COPD,TIE_ANGPT_AXIS,2,0.107227125265384,0.076821669292446,0.395769771912703,-0.868884732939141,1.08333898346991,0,0,SMDH 2,GSE47460;GSE76925,0.593654657869055,-0.8689,1.0833,95% prediction interval; uninformative when k is small
CRC,TIE_ANGPT_AXIS,3,-0.157327325601436,0.0549948851871823,0.103555455685207,-0.393951218474324,0.0792965672714526,0,0,SMCRPH 2|SMDH 1,GSE23878;GSE41258;GSE44076,0.140460968031592,-0.394,0.0793,95% prediction interval; uninformative when k is small
ESCC,TIE_ANGPT_AXIS,2,0.401362448332206,0.294178880800921,0.402661978362081,-3.33653464018303,4.13925953684744,58.832107454035,0.111303830699307,SMCRPH 2,GSE20347;GSE23400,0.556341190807378,-5.2502,6.053,95% prediction interval; uninformative when k is small
HCC,TIE_ANGPT_AXIS,2,0.367886121008346,0.0934682493950614,0.158393605418228,-0.819740592137142,1.55551283415383,0,0,SMCRPH 1|SMDH 1,GSE57957;GSE62232,0.472001393376343,-0.8197,1.5555,95% prediction interval; uninformative when k is small
IBD,TIE_ANGPT_AXIS,3,1.49988361949914,0.25118017225746,0.0269177937714959,0.419142565676644,2.58062467332165,47.6558831017753,0.0681099110156023,SMCRPH 1|SMDH 2,GSE179285;GSE75214;GSE87473,0.0762670823525718,-0.0587,3.0585,95% prediction interval; uninformative when k is small
LUAD,TIE_ANGPT_AXIS,3,-2.21722538485613,0.328260944415213,0.0212235973992209,-3.62961823341439,-0.804832536297883,79.4185011962824,0.252550664618891,SMCRPH 3,GSE10072;GSE19804;GSE32863,0.072160231157351,-4.8001,0.3657,95% prediction interval; uninformative when k is small
NAFLD,TIE_ANGPT_AXIS,2,0.190482551112248,0.359710927958487,0.68996486500606,-4.38007814536768,4.76104324759218,64.8645480370307,0.169483183338911,SMDH 2,GSE33814;GSE66676,0.919661679056586,-6.7558,7.1368,95% prediction interval; uninformative when k is small
PAAD,TIE_ANGPT_AXIS,3,0.364417623211455,0.272656194739867,0.313132003241722,-0.808727297369134,1.53756254379204,77.6623222366675,0.171551954194776,SMCRPH 3,GSE15471;GSE28735;GSE62452,0.41750933765563,-1.7693,2.4982,95% prediction interval; uninformative when k is small
STAD,TIE_ANGPT_AXIS,3,0.0508914738612975,0.0440819359994777,0.367618739311361,-0.138777788399497,0.240560736122092,0,0,SMCRPH 3,GSE13911;GSE27342;GSE63089,0.452453832998598,-0.1388,0.2406,95% prediction interval; uninformative when k is small
Asthma,VEGF_PDGF_AXIS,3,-0.318548975658325,0.155748416608669,0.177478793468043,-0.988680325533773,0.351582374217124,16.8162566751294,0.0110686096418005,SMDH 3,GSE4302;GSE43696;GSE67472,0.364933265639017,-1.1273,0.4902,95% prediction interval; uninformative when k is small
COPD,VEGF_PDGF_AXIS,2,-0.385987812246985,0.0240181291285549,0.0395627180303116,-0.691167078334285,-0.0808085461596843,0,0,SMDH 2,GSE47460;GSE76925,0.296720385227337,-0.6912,-0.0808,95% prediction interval; uninformative when k is small
CRC,VEGF_PDGF_AXIS,3,0.91032876552968,0.26373077858511,0.0746542345119264,-0.224413188868494,2.04507071992785,76.3716983495279,0.155561343454245,SMCRPH 2|SMDH 1,GSE23878;GSE41258;GSE44076,0.115374726063886,-1.1313,2.9519,95% prediction interval; uninformative when k is small
ESCC,VEGF_PDGF_AXIS,2,1.02375456397169,0.231557627906586,0.141610834529228,-1.91846406443235,3.96597319237574,27.9664626232749,0.0358844550628355,SMCRPH 2,GSE20347;GSE23400,0.39935853372914,-2.7775,4.825,95% prediction interval; uninformative when k is small
HCC,VEGF_PDGF_AXIS,2,0.808570398833123,0.192125976477467,0.148514324626323,-1.63262159342706,3.24976239109331,0,0,SMCRPH 1|SMDH 1,GSE57957;GSE62232,0.472001393376343,-1.6326,3.2497,95% prediction interval; uninformative when k is small
IBD,VEGF_PDGF_AXIS,3,1.75352818011205,0.447203369471015,0.0593129411140291,-0.170632618295574,3.67768897851967,81.3760933279775,0.355083753674343,SMCRPH 1|SMDH 2,GSE179285;GSE75214;GSE87473,0.10083199989385,-1.4524,4.9594,95% prediction interval; uninformative when k is small
LUAD,VEGF_PDGF_AXIS,3,-1.20781509815084,0.170654517529151,0.0193848205974983,-1.94208222384172,-0.473547972459961,51.7580710436358,0.0470797395296296,SMCRPH 3,GSE10072;GSE19804;GSE32863,0.072160231157351,-2.3957,-0.02,95% prediction interval; uninformative when k is small
NAFLD,VEGF_PDGF_AXIS,2,0.169082315942198,0.503395278659502,0.793707048941931,-6.22716115792916,6.56532578981355,82.8861686400807,0.420888706705242,SMDH 2,GSE33814;GSE66676,0.919661679056586,-10.2645,10.6027,95% prediction interval; uninformative when k is small
PAAD,VEGF_PDGF_AXIS,3,0.289969923023666,0.268833011311381,0.393555364906378,-0.866725166942015,1.44666501298935,75.6908157735679,0.160501257454901,SMCRPH 3,GSE15471;GSE28735;GSE62452,0.484375833730927,-1.7861,2.366,95% prediction interval; uninformative when k is small
STAD,VEGF_PDGF_AXIS,3,0.623597442170167,0.154726350866133,0.0564047375926843,-0.0421363137481739,1.28933119808851,47.9199523287385,0.0394443455932146,SMCRPH 3,GSE13911;GSE27342;GSE63089,0.150412633580491,-0.4597,1.7069,95% prediction interval; uninformative when k is small
Asthma,WNT_CTNNB1,3,-0.550793369418939,0.0878803987684041,0.0245243666484038,-0.928912207071285,-0.172674531766594,0,0,SMDH 3,GSE4302;GSE43696;GSE67472,0.208457116511432,-0.9289,-0.1726,95% prediction interval; uninformative when k is small
COPD,WNT_CTNNB1,2,-0.525496294100539,0.160892245939018,0.189145787155745,-2.56982611146468,1.5188335232636,50.2778810248771,0.0266550169858496,SMDH 2,GSE47460;GSE76925,0.415475115455989,-3.438,2.387,95% prediction interval; uninformative when k is small
CRC,WNT_CTNNB1,3,2.80345878009869,0.330258260877572,0.0135953846858032,1.38247217241149,4.22444538778588,76.2333586103483,0.262942940999249,SMCRPH 2|SMDH 1,GSE23878;GSE41258;GSE44076,0.0461435789931029,0.1789,5.428,95% prediction interval; uninformative when k is small
ESCC,WNT_CTNNB1,2,0.585422817470789,0.0750047006012695,0.0811221396547784,-0.367602264544427,1.53844789948601,0,0,SMCRPH 2,GSE20347;GSE23400,0.39935853372914,-0.3676,1.5384,95% prediction interval; uninformative when k is small
HCC,WNT_CTNNB1,2,0.354175326184387,0.44757555762082,0.573830440507998,-5.33281134385331,6.04116199622208,72.2894198153329,0.298002031404737,SMCRPH 1|SMDH 1,GSE57957;GSE62232,0.573830440507998,-8.6153,9.3236,95% prediction interval; uninformative when k is small
IBD,WNT_CTNNB1,3,0.150530699501349,0.380004888306873,0.730276296397272,-1.48449837049036,1.78555976949306,86.9145467109226,0.38201697719169,SMCRPH 1|SMDH 2,GSE179285;GSE75214;GSE87473,0.770608934586456,-2.9715,3.2726,95% prediction interval; uninformative when k is small
LUAD,WNT_CTNNB1,3,-0.760932852582998,0.481440149100216,0.254770624927573,-2.83240262432003,1.31053691915403,93.9578122063983,0.643012488792998,SMCRPH 3,GSE10072;GSE19804;GSE32863,0.314658572613101,-4.7856,3.2637,95% prediction interval; uninformative when k is small
NAFLD,WNT_CTNNB1,2,0.0828365990399739,0.00249103341241566,0.0191384409054685,0.0511850184971686,0.114488179582779,0,0,SMDH 2,GSE33814;GSE66676,0.306215054487496,0.0512,0.1145,95% prediction interval; uninformative when k is small
PAAD,WNT_CTNNB1,3,1.02803593813988,0.210241738769864,0.0393702145516888,0.123438746914447,1.9326331293653,49.9512391416229,0.0623559071409912,SMCRPH 3,GSE15471;GSE28735;GSE62452,0.139390303984712,-0.3766,2.4327,95% prediction interval; uninformative when k is small
STAD,WNT_CTNNB1,3,0.836244745364087,0.257935037468535,0.0834077668900994,-0.273560147697935,1.94604963842611,78.5358156452933,0.150849465299944,SMCRPH 3,GSE13911;GSE27342;GSE63089,0.166815533780199,-1.17,2.8425,95% prediction interval; uninformative when k is small
