disease,feature,k,est,se,p,ci_lo,ci_hi,I2,tau2,measures,cohorts,fdr,pi_low,pi_high,pi_note
Asthma,ERBB_RECEPTORS,3,-0.441141421988087,0.109574564457229,0.05651725483678,-0.912602720861091,0.0303198768849164,0,0,SMDH 3,GSE4302;GSE43696;GSE67472,0.238988416282864,-0.9126,0.0304,95% prediction interval; uninformative when k is small
COPD,ERBB_RECEPTORS,2,-0.225703474427274,0.306585673247423,0.596001036033779,-4.12124380788699,3.66983685903245,86.0458977519654,0.162054795375588,SMDH 2,GSE47460;GSE76925,0.647626107011489,-6.6551,6.2037,95% prediction interval; uninformative when k is small
CRC,ERBB_RECEPTORS,3,-0.0867944633426476,0.449710807419628,0.864781343818,-2.02174389648455,1.84815496979925,91.3532931679881,0.564363393013598,SMCRPH 2|SMDH 1,GSE23878;GSE41258;GSE44076,0.864781343818,-3.8543,3.6807,95% prediction interval; uninformative when k is small
ESCC,ERBB_RECEPTORS,2,-0.923873043282417,0.217001515013665,0.146868505716177,-3.68113872110613,1.8333926345413,27.087359494123,0.0317927373731946,SMCRPH 2,GSE20347;GSE23400,0.39935853372914,-4.4925,2.6447,95% prediction interval; uninformative when k is small
HCC,ERBB_RECEPTORS,2,-0.528332352667163,0.0550840513996153,0.0661351790414989,-1.22824158744865,0.17157688211432,0,0,SMCRPH 1|SMDH 1,GSE57957;GSE62232,0.472001393376343,-1.2282,0.1716,95% prediction interval; uninformative when k is small
IBD,ERBB_RECEPTORS,3,-1.49362404801439,0.0116717658956777,6.10591513492859e-05,-1.54384360340642,-1.44340449262235,0,0,SMCRPH 1|SMDH 2,GSE179285;GSE75214;GSE87473,0.00103800557293786,-1.5438,-1.4434,95% prediction interval; uninformative when k is small
LUAD,ERBB_RECEPTORS,3,0.985669803446403,0.439030645219391,0.153874072552124,-0.903326600650478,2.87466620754328,91.5675072873248,0.525862139889046,SMCRPH 3,GSE10072;GSE19804;GSE32863,0.217988269448843,-2.662,4.6334,95% prediction interval; uninformative when k is small
NAFLD,ERBB_RECEPTORS,2,-0.120306341764649,0.276801451063247,0.738986292502121,-3.63740225024451,3.39678956671521,43.6229510875822,0.06831211176478,SMDH 2,GSE33814;GSE66676,0.919661679056586,-4.9575,4.7168,95% prediction interval; uninformative when k is small
PAAD,ERBB_RECEPTORS,3,0.158143050431547,0.113720521238948,0.298863732713721,-0.331156860705743,0.647442961568838,0,0,SMCRPH 3,GSE15471;GSE28735;GSE62452,0.41750933765563,-0.3312,0.6475,95% prediction interval; uninformative when k is small
STAD,ERBB_RECEPTORS,3,-0.250765903707943,0.274147447111925,0.456902562385869,-1.43032716537791,0.928795357962026,85.2234757485895,0.193313458547888,SMCRPH 3,GSE13911;GSE27342;GSE63089,0.487362733211594,-2.4803,1.9788,95% prediction interval; uninformative when k is small
Asthma,FGFR_AXIS,3,-0.158563111336145,0.209513158805046,0.528164936104842,-1.06002547598711,0.742899253314821,59.8210412191411,0.0816120758065163,SMDH 3,GSE4302;GSE43696;GSE67472,0.561175244611395,-1.683,1.3659,95% prediction interval; uninformative when k is small
COPD,FGFR_AXIS,2,-0.192455350788257,0.225571201578381,0.550327589323342,-3.0586092206281,2.67369851905158,73.4534218792607,0.0752930059604945,SMDH 2,GSE47460;GSE76925,0.647626107011489,-4.7058,4.3209,95% prediction interval; uninformative when k is small
CRC,FGFR_AXIS,3,-1.61486384771969,0.232808763743966,0.0201575925298151,-2.61655911055227,-0.613168584887121,68.5349465334073,0.12078468878746,SMCRPH 2|SMDH 1,GSE23878;GSE41258;GSE44076,0.0489541532866938,-3.4149,0.1851,95% prediction interval; uninformative when k is small
ESCC,FGFR_AXIS,2,-0.338543918548956,0.690202371041552,0.709689692552472,-9.10839655439614,8.43130871729823,91.5940605672606,0.8737803942698,SMCRPH 2,GSE20347;GSE23400,0.742282569290281,-15.1025,14.4254,95% prediction interval; uninformative when k is small
HCC,FGFR_AXIS,2,-0.558215245569507,0.223850804483532,0.2427928812319,-3.40250939769468,2.28607890655567,58.0870873676521,0.0582151813247432,SMCRPH 1|SMDH 1,GSE57957;GSE62232,0.472001393376343,-4.7401,3.6237,95% prediction interval; uninformative when k is small
IBD,FGFR_AXIS,3,-0.152114907038824,0.200868655095172,0.527937934888739,-1.01638297420517,0.712153160127521,44.2215093996578,0.0491360496910822,SMCRPH 1|SMDH 2,GSE179285;GSE75214;GSE87473,0.723493494053571,-1.4393,1.1351,95% prediction interval; uninformative when k is small
LUAD,FGFR_AXIS,3,-2.0083442487795,0.108649255501974,0.00291390723339682,-2.47582426455032,-1.54086423300869,0,0,SMCRPH 3,GSE10072;GSE19804;GSE32863,0.0294364755141445,-2.4759,-1.5408,95% prediction interval; uninformative when k is small
NAFLD,FGFR_AXIS,2,-0.0795298757752889,0.295455174579237,0.832603993498375,-3.83364381434132,3.67458406279074,51.146066843351,0.0906792385943491,SMDH 2,GSE33814;GSE66676,0.919661679056586,-5.4398,5.2807,95% prediction interval; uninformative when k is small
PAAD,FGFR_AXIS,3,-0.290097404478526,0.333195898464193,0.475742769671553,-1.72372364654681,1.14352883758976,83.3702718791641,0.273372133348813,SMCRPH 3,GSE15471;GSE28735;GSE62452,0.543706022481775,-2.9579,2.3777,95% prediction interval; uninformative when k is small
STAD,FGFR_AXIS,3,-0.0308673640967854,0.19552856927502,0.889060756786146,-0.872158896431956,0.810424168238385,65.6234112595093,0.0809797202027702,SMCRPH 3,GSE13911;GSE27342;GSE63089,0.889060756786146,-1.5166,1.4548,95% prediction interval; uninformative when k is small
Asthma,HGF_MET_AXIS,3,-0.265868861925229,0.137671846033415,0.193199964161833,-0.858223006070552,0.326485282220093,0.00303602090374848,1.60970050530432e-06,SMDH 3,GSE4302;GSE43696;GSE67472,0.364933265639017,-0.8583,0.3266,95% prediction interval; uninformative when k is small
COPD,HGF_MET_AXIS,1,-0.742495016858115,0.176627021302349,2.62534304985598e-05,-1.08867761730731,-0.396312416408922,0,0,SMDH 1,GSE76925,NA,-1.0887,-0.3963,95% prediction interval; uninformative when k is small
CRC,HGF_MET_AXIS,3,0.945421350106087,0.200589258155753,0.0421875585447103,0.0823554309438176,1.80848726926836,56.7197901138827,0.0587263087618859,SMCRPH 2|SMDH 1,GSE23878;GSE41258;GSE44076,0.0796876105844529,-0.4082,2.2991,95% prediction interval; uninformative when k is small
ESCC,HGF_MET_AXIS,2,0.768043668852382,0.202922411870064,0.164441749182587,-1.81033004192702,3.34641737963178,15.7875814582173,0.0190188924909257,SMCRPH 2,GSE20347;GSE23400,0.39935853372914,-2.3494,3.8855,95% prediction interval; uninformative when k is small
HCC,HGF_MET_AXIS,2,-0.676701112697299,0.37393808173469,0.321384319733021,-5.4280349378707,4.0746327124761,71.8714258530688,0.204837299102364,SMCRPH 1|SMDH 1,GSE57957;GSE62232,0.472001393376343,-8.1362,6.7828,95% prediction interval; uninformative when k is small
IBD,HGF_MET_AXIS,3,1.56109039617936,0.349170985515609,0.0465623838920074,0.0587289022013104,3.0634518901574,79.2080993767588,0.273820030968885,SMCRPH 1|SMDH 2,GSE179285;GSE75214;GSE87473,0.10083199989385,-1.1458,4.268,95% prediction interval; uninformative when k is small
LUAD,HGF_MET_AXIS,3,0.725839444670173,0.242558838156652,0.0958824485470317,-0.317807002449405,1.76948589178975,80.8745588144507,0.146596576877713,SMCRPH 3,GSE10072;GSE19804;GSE32863,0.148181965936322,-1.2245,2.6762,95% prediction interval; uninformative when k is small
NAFLD,HGF_MET_AXIS,2,-0.149120404640072,0.17362501378168,0.548243118217893,-2.35523537707126,2.05699456779111,0,0,SMDH 2,GSE33814;GSE66676,0.919661679056586,-2.3552,2.057,95% prediction interval; uninformative when k is small
PAAD,HGF_MET_AXIS,3,1.50045460986676,0.149031418811516,0.00972166570376177,0.859224168898954,2.14168505083457,0.011277066885655,6.64356671151266e-06,SMCRPH 3,GSE15471;GSE28735;GSE62452,0.0518488837533961,0.8591,2.1418,95% prediction interval; uninformative when k is small
STAD,HGF_MET_AXIS,3,0.850905794569105,0.186230550169162,0.0447122595132578,0.0496204095210143,1.6521911796172,58.4526714196806,0.064389792263874,SMCRPH 3,GSE13911;GSE27342;GSE63089,0.143079230442425,-0.5035,2.2053,95% prediction interval; uninformative when k is small
Asthma,IGF_INSR_AXIS,3,-0.818296397539504,0.230073146407539,0.0707632555645173,-1.80822124897195,0.171628453892941,63.8388671042907,0.1018140166872,SMDH 3,GSE4302;GSE43696;GSE67472,0.238988416282864,-2.511,0.8744,95% prediction interval; uninformative when k is small
COPD,IGF_INSR_AXIS,2,-0.210949165213156,0.294657119039042,0.604451033210723,-3.95492284669463,3.53302451626832,85.3109223126387,0.148391414952654,SMDH 2,GSE47460;GSE76925,0.647626107011489,-6.3732,5.9513,95% prediction interval; uninformative when k is small
CRC,IGF_INSR_AXIS,3,-0.908539715185817,0.117383319807315,0.0162859690563892,-1.41359937658182,-0.403480053789817,20.1903442816012,0.0105361682335776,SMCRPH 2|SMDH 1,GSE23878;GSE41258;GSE44076,0.0461435789931029,-1.5795,-0.2376,95% prediction interval; uninformative when k is small
ESCC,IGF_INSR_AXIS,2,0.897992716188286,0.372143088279136,0.250110320492596,-3.83053355463876,5.62651898701533,59.2451924839731,0.179224010360519,SMCRPH 2,GSE20347;GSE23400,0.520891464313673,-6.2639,8.0599,95% prediction interval; uninformative when k is small
