"disease","feature","n_analysed","n_fdr","pos","neg","median_d_adj","majority","joint_robust","n_rows","n_est","status"
"ESCC","EPH_RECEPTORS",2,1,0,2,-1.58053728517602,2,FALSE,2,2,"estimated"
"ESCC","ERBB_LIGANDS",2,1,0,2,-0.788626311017678,2,FALSE,2,2,"estimated"
"ESCC","ERBB_RECEPTORS",2,1,0,2,-1.07256880227947,2,FALSE,2,2,"estimated"
"ESCC","FGFR_AXIS",2,1,0,2,-0.986315783021917,2,FALSE,2,2,"estimated"
"ESCC","HGF_MET_AXIS",2,1,2,0,0.553614459093478,2,FALSE,2,2,"estimated"
"ESCC","IGF_INSR_AXIS",2,1,2,0,1.18347733924583,2,FALSE,2,2,"estimated"
"ESCC","JAK_STAT",2,1,1,1,0.087363233823096,1,FALSE,2,2,"estimated"
"ESCC","PDGFR_KIT_CSF1R",2,0,1,1,-0.00807838443181799,1,FALSE,2,2,"estimated, not significant"
"ESCC","PI3K_AKT",2,1,1,1,0.273539126787177,1,FALSE,2,2,"estimated"
"ESCC","RAS_MAPK",2,0,0,2,-0.631292731437075,2,FALSE,2,2,"estimated, not significant"
"ESCC","RET_ALK_NTRK",2,1,0,2,-1.0094392240012,2,FALSE,2,2,"estimated"
"ESCC","SRC_FAK",2,1,2,0,1.47276140918245,2,FALSE,2,2,"estimated"
"ESCC","TAM_AXL_AXIS",2,0,0,2,-0.664996103403083,2,FALSE,2,2,"estimated, not significant"
"ESCC","TGFB_SMAD",2,1,2,0,0.627881905347601,2,FALSE,2,2,"estimated"
"ESCC","TIE_ANGPT_AXIS",2,1,2,0,0.634008728842363,2,FALSE,2,2,"estimated"
"ESCC","VEGF_PDGF_AXIS",2,2,2,0,1.58075644947061,2,TRUE,2,2,"robust"
"ESCC","WNT_CTNNB1",2,1,2,0,0.681702721591559,2,FALSE,2,2,"estimated"
"HCC","EPH_RECEPTORS",2,0,0,2,-0.444211636183462,2,FALSE,2,2,"estimated, not significant"
"HCC","ERBB_LIGANDS",2,1,1,1,-0.39984365427453,1,FALSE,2,2,"estimated"
"HCC","ERBB_RECEPTORS",2,1,0,2,-1.06073328819615,2,FALSE,2,2,"estimated"
"HCC","FGFR_AXIS",2,1,1,1,-0.712223085971679,1,FALSE,2,2,"estimated"
"HCC","HGF_MET_AXIS",2,0,0,2,-0.456450446788294,2,FALSE,2,2,"estimated, not significant"
"HCC","IGF_INSR_AXIS",2,1,0,2,-1.03342200301497,2,FALSE,2,2,"estimated"
"HCC","JAK_STAT",2,1,2,0,1.07592746359107,2,FALSE,2,2,"estimated"
"HCC","PDGFR_KIT_CSF1R",2,0,1,1,-0.226853540450291,1,FALSE,2,2,"estimated, not significant"
"HCC","PI3K_AKT",2,0,1,1,0.538160483965352,1,FALSE,2,2,"estimated, not significant"
"HCC","RAS_MAPK",2,0,2,0,0.388041368343382,2,FALSE,2,2,"estimated, not significant"
"HCC","RET_ALK_NTRK",2,0,0,2,-0.478229751260968,2,FALSE,2,2,"estimated, not significant"
"HCC","SRC_FAK",2,0,0,2,-0.67115891941479,2,FALSE,2,2,"estimated, not significant"
"HCC","TAM_AXL_AXIS",2,0,1,1,-0.548549356111408,1,FALSE,2,2,"estimated, not significant"
"HCC","TGFB_SMAD",2,0,2,0,1.04972084775115,2,FALSE,2,2,"estimated, not significant"
"HCC","TIE_ANGPT_AXIS",2,1,0,2,-0.742479629164878,2,FALSE,2,2,"estimated"
"HCC","VEGF_PDGF_AXIS",2,0,1,1,-0.397912249293238,1,FALSE,2,2,"estimated, not significant"
"HCC","WNT_CTNNB1",2,0,2,0,0.546699652935642,2,FALSE,2,2,"estimated, not significant"
"IBD","EPH_RECEPTORS",3,0,1,2,-0.206999017424072,2,FALSE,3,3,"estimated, not significant"
"IBD","ERBB_LIGANDS",3,1,3,0,0.0964647145462681,3,FALSE,3,3,"estimated"
"IBD","ERBB_RECEPTORS",3,0,0,3,-0.334753986842767,3,FALSE,3,3,"estimated, not significant"
"IBD","FGFR_AXIS",3,1,0,3,-0.398197633653939,3,FALSE,3,3,"estimated"
"IBD","HGF_MET_AXIS",3,1,3,0,0.80648024028587,3,FALSE,3,3,"estimated"
"IBD","IGF_INSR_AXIS",3,1,0,3,-0.541417346048755,3,FALSE,3,3,"estimated"
"IBD","JAK_STAT",3,3,3,0,1.02997536046423,3,TRUE,3,3,"robust"
"IBD","PDGFR_KIT_CSF1R",3,0,3,0,0.429372635643979,3,FALSE,3,3,"estimated, not significant"
"IBD","PI3K_AKT",3,0,1,2,-0.0531725025057145,2,FALSE,3,3,"estimated, not significant"
"IBD","RAS_MAPK",3,1,2,1,0.48008755817566,2,FALSE,3,3,"estimated"
"IBD","RET_ALK_NTRK",2,0,2,0,0.457996316395938,2,FALSE,2,2,"estimated, not significant"
