"state","accession","variant","n_genes","yi","vi"
"CRC IGF_INSR_AXIS","GSE44076","full",4,-1.00910979129632,0.0221331616706537
"CRC IGF_INSR_AXIS","GSE44076","minus_overlap",4,-1.00910979129632,0.0221331616706537
"CRC IGF_INSR_AXIS","GSE44076","drop_IGF1",3,-0.476656701260087,0.0192244310842239
"CRC IGF_INSR_AXIS","GSE44076","drop_INSR",3,-0.57056520721046,0.0181726224719887
"CRC IGF_INSR_AXIS","GSE44076","drop_IGF2",3,-1.3171700149232,0.0239460169055105
"CRC IGF_INSR_AXIS","GSE41258","full",3,-0.880941481893834,0.0260136170324272
"CRC IGF_INSR_AXIS","GSE41258","minus_overlap",3,-0.880941481893834,0.0260136170324272
"CRC IGF_INSR_AXIS","GSE23878","full",3,-0.691008762177342,0.0742846470127212
"CRC IGF_INSR_AXIS","GSE23878","minus_overlap",3,-0.691008762177342,0.0742846470127212
"CRC ERBB_LIGANDS","GSE44076","full",6,-0.510303600617179,0.0182079406383771
"CRC ERBB_LIGANDS","GSE44076","minus_overlap",6,-0.510303600617179,0.0182079406383771
"CRC ERBB_LIGANDS","GSE44076","drop_TGFA",5,-0.155475888666128,0.0160202191026014
"CRC ERBB_LIGANDS","GSE44076","drop_EREG",5,-0.966520196727895,0.0226370033026508
"CRC ERBB_LIGANDS","GSE44076","drop_AREG",5,-0.937821099741572,0.022486003567062
"CRC ERBB_LIGANDS","GSE41258","full",6,-0.368325942186528,0.0246510768306533
"CRC ERBB_LIGANDS","GSE41258","minus_overlap",6,-0.368325942186528,0.0246510768306533
"CRC ERBB_LIGANDS","GSE41258","drop_NRG1",5,0.0882695083243736,0.0243790076953602
"CRC ERBB_LIGANDS","GSE41258","drop_EREG",5,-0.659754332583891,0.0252885487023036
"CRC ERBB_LIGANDS","GSE41258","drop_AREG",5,-0.681720749249426,0.0253512452993121
"CRC ERBB_LIGANDS","GSE23878","full",6,-0.367766995809212,0.0713843034008625
"CRC ERBB_LIGANDS","GSE23878","minus_overlap",6,-0.367766995809212,0.0713843034008625
"CRC ERBB_LIGANDS","GSE23878","drop_TGFA",5,-0.136027071726418,0.0703949034096416
"CRC ERBB_LIGANDS","GSE23878","drop_HBEGF",5,-0.243179148330146,0.0707392486125238
"CRC ERBB_LIGANDS","GSE23878","drop_EGF",5,-0.242557384108826,0.0707366891752623
"CRC PDGFR_KIT_CSF1R","GSE44076","full",5,-0.941458452171016,0.0236378583389916
"CRC PDGFR_KIT_CSF1R","GSE44076","minus_overlap",5,-0.941458452171016,0.0236378583389916
"CRC PDGFR_KIT_CSF1R","GSE44076","drop_KIT",4,-0.618767574285961,0.0210682326737654
"CRC PDGFR_KIT_CSF1R","GSE44076","drop_PDGFRA",4,-0.809418935356968,0.0226766089028073
"CRC PDGFR_KIT_CSF1R","GSE44076","drop_PDGFRB",4,-1.58377454216011,0.0330818156140088
"CRC PDGFR_KIT_CSF1R","GSE41258","full",5,-1.06919617751227,0.0267947288866518
"CRC PDGFR_KIT_CSF1R","GSE41258","minus_overlap",5,-1.06919617751227,0.0267947288866518
"CRC PDGFR_KIT_CSF1R","GSE41258","drop_KIT",4,-0.600374206392973,0.0251293431881308
"CRC PDGFR_KIT_CSF1R","GSE41258","drop_PDGFRA",4,-0.780079170195497,0.0256571608989199
"CRC PDGFR_KIT_CSF1R","GSE41258","drop_PDGFRB",4,-1.82585865299654,0.0314555360243443
"CRC PDGFR_KIT_CSF1R","GSE23878","full",5,-1.07628259618045,0.0800549107197981
"CRC PDGFR_KIT_CSF1R","GSE23878","minus_overlap",5,-1.07628259618045,0.0800549107197981
"CRC PDGFR_KIT_CSF1R","GSE23878","drop_KIT",4,-0.625233328745107,0.0735509487582112
"CRC PDGFR_KIT_CSF1R","GSE23878","drop_CSF1R",4,-0.818514105555872,0.0759157676193997
"CRC PDGFR_KIT_CSF1R","GSE23878","drop_PDGFRB",4,-1.83552461726675,0.0987902191414195
"CRC TGFB_SMAD","GSE44076","full",5,-0.546603277619534,0.0226530808784445
"CRC TGFB_SMAD","GSE44076","minus_overlap",5,-0.546603277619534,0.0226530808784445
"CRC TGFB_SMAD","GSE44076","drop_SMAD2",4,-0.0954444998759807,0.022144652773062
"CRC TGFB_SMAD","GSE44076","drop_SMAD3",4,-0.00783612087731883,0.021508795824602
"CRC TGFB_SMAD","GSE44076","drop_TGFBR1",4,-1.08987335117565,0.0262739019384205
"CRC TGFB_SMAD","GSE41258","full",5,-0.437939894362764,0.0247704967272211
"CRC TGFB_SMAD","GSE41258","minus_overlap",5,-0.437939894362764,0.0247704967272211
"CRC TGFB_SMAD","GSE41258","drop_SMAD2",4,0.0378571376298237,0.0243654793055085
"CRC TGFB_SMAD","GSE41258","drop_TGFBR1",4,-0.873730540851415,0.0259866961036936
"CRC TGFB_SMAD","GSE41258","drop_SMAD3",4,-0.127908267464753,0.0243972396502241
"CRC TGFB_SMAD","GSE23878","full",5,-0.684769845215044,0.0742119066017888
"CRC TGFB_SMAD","GSE23878","minus_overlap",5,-0.684769845215044,0.0742119066017888
"CRC TGFB_SMAD","GSE23878","drop_SMAD2",4,-0.285421910541309,0.0709284822467143
"CRC TGFB_SMAD","GSE23878","drop_SMAD3",4,-0.643334943328559,0.0737455515881593
"CRC TGFB_SMAD","GSE23878","drop_TGFBR2",4,-0.75767211832091,0.0751030701438655
"CRC TIE_ANGPT_AXIS","GSE44076","full",3,-0.211601144351437,0.0205698796565418
