"accession","disease","module","smd_full"
"GSE23878","CRC","ERBB_RECEPTORS",-0.0783928488995476
"GSE23878","CRC","FGFR_AXIS",-1.83514459888988
"GSE23878","CRC","HGF_MET_AXIS",0.21501255268038
"GSE23878","CRC","IGF_INSR_AXIS",-0.875680276368308
"GSE23878","CRC","JAK_STAT",-0.394757876909149
"GSE23878","CRC","PDGFR_KIT_CSF1R",-1.19663610130623
"GSE23878","CRC","PI3K_AKT",-0.139691350645347
"GSE23878","CRC","RAS_MAPK",-0.044698810063496
"GSE23878","CRC","RET_ALK_NTRK",-0.708357852218749
"GSE23878","CRC","SRC_FAK",-0.464899996610988
"GSE23878","CRC","TAM_AXL_AXIS",-0.428985785470258
"GSE23878","CRC","TGFB_SMAD",-0.863891141074678
"GSE23878","CRC","TIE_ANGPT_AXIS",-0.457591565873824
"GSE23878","CRC","VEGF_PDGF_AXIS",0.485982789586292
"GSE23878","CRC","WNT_CTNNB1",1.94496001203835
"GSE75214","IBD","EPH_RECEPTORS",-0.798440374100725
"GSE75214","IBD","ERBB_LIGANDS",0.497073666279596
"GSE75214","IBD","ERBB_RECEPTORS",-1.38716357492064
"GSE75214","IBD","FGFR_AXIS",-0.166113764398282
"GSE75214","IBD","HGF_MET_AXIS",1.61026295391521
"GSE75214","IBD","IGF_INSR_AXIS",-1.21563347098165
"GSE75214","IBD","JAK_STAT",2.21146350766127
"GSE75214","IBD","PDGFR_KIT_CSF1R",1.5876002527865
"GSE75214","IBD","PI3K_AKT",-0.290201245828727
"GSE75214","IBD","RAS_MAPK",0.303712876550792
"GSE75214","IBD","SRC_FAK",0.246573119372815
"GSE75214","IBD","TAM_AXL_AXIS",0.476686009327973
"GSE75214","IBD","TGFB_SMAD",1.10778759479437
"GSE75214","IBD","TIE_ANGPT_AXIS",1.13969411478071
"GSE75214","IBD","VEGF_PDGF_AXIS",1.07025168888279
"GSE75214","IBD","WNT_CTNNB1",-0.593202795136078
"GSE87473","IBD","EPH_RECEPTORS",0.118994671111237
"GSE87473","IBD","ERBB_LIGANDS",0.870107964561327
"GSE87473","IBD","ERBB_RECEPTORS",-1.07767828222685
"GSE87473","IBD","FGFR_AXIS",-0.517264245034513
"GSE87473","IBD","HGF_MET_AXIS",1.19758507567172
"GSE87473","IBD","IGF_INSR_AXIS",-0.879156651041924
"GSE87473","IBD","JAK_STAT",1.96350887330792
"GSE87473","IBD","PDGFR_KIT_CSF1R",1.065047427703
"GSE87473","IBD","PI3K_AKT",0.129545823902849
"GSE87473","IBD","RAS_MAPK",-0.503610217754015
"GSE87473","IBD","RET_ALK_NTRK",-0.595450848288892
"GSE87473","IBD","SRC_FAK",0.22659439282492
"GSE87473","IBD","TAM_AXL_AXIS",0.446105772375813
"GSE87473","IBD","TGFB_SMAD",1.08429448396927
"GSE87473","IBD","TIE_ANGPT_AXIS",0.872045982009944
"GSE87473","IBD","VEGF_PDGF_AXIS",0.486397561758083
"GSE87473","IBD","WNT_CTNNB1",0.706783756107926
"GSE179285","IBD","EPH_RECEPTORS",0.406459956035958
"GSE179285","IBD","ERBB_LIGANDS",0.416561660997544
"GSE179285","IBD","ERBB_RECEPTORS",-1.10074621730148
"GSE179285","IBD","FGFR_AXIS",0.263218252956341
"GSE179285","IBD","HGF_MET_AXIS",1.04947832573239
"GSE179285","IBD","IGF_INSR_AXIS",-0.264893302860261
"GSE179285","IBD","JAK_STAT",1.29454487499887
"GSE179285","IBD","PDGFR_KIT_CSF1R",1.08388587905885
"GSE179285","IBD","PI3K_AKT",0.0358130918510032
"GSE179285","IBD","RAS_MAPK",0.105598079377886
"GSE179285","IBD","RET_ALK_NTRK",0.420010123406207
"GSE179285","IBD","SRC_FAK",0.381721568273634
"GSE179285","IBD","TAM_AXL_AXIS",0.526370723812145
"GSE179285","IBD","TGFB_SMAD",0.836828152384323
"GSE179285","IBD","TIE_ANGPT_AXIS",1.23056091929362
"GSE179285","IBD","VEGF_PDGF_AXIS",1.45548695724921
"GSE179285","IBD","WNT_CTNNB1",0.311681301097986
"GSE4302","Asthma","EPH_RECEPTORS",0.516316165358833
"GSE4302","Asthma","ERBB_LIGANDS",-0.209241094016766
"GSE4302","Asthma","ERBB_RECEPTORS",-0.128075145764385
"GSE4302","Asthma","FGFR_AXIS",0.350721527772224
"GSE4302","Asthma","HGF_MET_AXIS",-0.171846252276836
"GSE4302","Asthma","IGF_INSR_AXIS",-0.540832451874251
"GSE4302","Asthma","JAK_STAT",0.0669640333263613
"GSE4302","Asthma","PDGFR_KIT_CSF1R",0.494997477502669
"GSE4302","Asthma","PI3K_AKT",0.457864825395502
"GSE4302","Asthma","RAS_MAPK",0.61201159144967
"GSE4302","Asthma","RET_ALK_NTRK",0.0423561040858864
"GSE4302","Asthma","SRC_FAK",0.586951291867102
"GSE4302","Asthma","TAM_AXL_AXIS",0.481570689878199
"GSE4302","Asthma","TGFB_SMAD",0.211578657272767
"GSE4302","Asthma","TIE_ANGPT_AXIS",-0.326242374207347
"GSE4302","Asthma","VEGF_PDGF_AXIS",-0.091949325487688
"GSE4302","Asthma","WNT_CTNNB1",-0.242818571462426
