"disease","feature","k","est","se","p","ci_lo","ci_hi","I2","tau2","measures","cohorts","fdr"
"PAAD","ERBB_RECEPTORS",3,0.178010141001252,0.10865768399013,0.243027952656953,-0.289506139627136,0.645526421629639,24.5348347873701,0.00838408534366048,"SMCRPH 3","GSE15471;GSE28735;GSE62452",0.388844724251125
"STAD","ERBB_RECEPTORS",3,-0.275417532203077,0.290568610819603,0.443248698478685,-1.52563335872555,0.974798294319396,90.6870566906467,0.228942705043011,"SMCRPH 3","GSE13911;GSE27342;GSE63089",0.506569941118497
"Asthma","FGFR_AXIS",3,-0.158563111336145,0.209513158805046,0.528164936104842,-1.06002547598711,0.742899253314821,59.8210412191411,0.0816120758065163,"SMDH 3","GSE4302;GSE43696;GSE67472",0.561175244611395
"COPD","FGFR_AXIS",2,-0.192455350788257,0.225571201578381,0.550327589323342,-3.0586092206281,2.67369851905158,73.4534218792607,0.0752930059604945,"SMDH 2","GSE47460;GSE76925",0.647626107011489
"CRC","FGFR_AXIS",3,-1.68290890691739,0.176792647636041,0.0108564957853846,-2.44358627486824,-0.922231538966548,60.1300472309301,0.0663264736192222,"SMCRPH 2|SMDH 1","GSE23878;GSE41258;GSE44076",0.0263657754787912
"ESCC","FGFR_AXIS",2,-0.329022920067169,0.688480438475293,0.716188799862626,-9.07699632818557,8.41895048805123,95.1712848890216,0.90265600595181,"SMCRPH 2","GSE20347;GSE23400",0.716188799862626
"HCC","FGFR_AXIS",2,-0.543644054915541,0.223649414264903,0.248463863194578,-3.38537930169095,2.29809119185987,64.5647120894038,0.0648912463903926,"SMCRPH 1|SMDH 1","GSE57957;GSE62232",0.434646555131756
"IBD","FGFR_AXIS",3,-0.0382105330526196,0.124916396810961,0.788592635034122,-0.575682408781767,0.499261342676527,1.5120822546953,0.000939040787412543,"SMCRPH 1|SMDH 2","GSE179285;GSE75214;GSE87473",0.837879674723755
"LUAD","FGFR_AXIS",3,-2.0006732663882,0.105399136002984,0.00276387470796645,-2.45416914662467,-1.54717738615172,0,0,"SMCRPH 3","GSE10072;GSE19804;GSE32863",0.0297433258270205
"NAFLD","FGFR_AXIS",2,-0.0795298757752889,0.295455174579237,0.832603993498375,-3.83364381434132,3.67458406279074,51.146066843351,0.0906792385943491,"SMDH 2","GSE33814;GSE66676",0.919661679056586
"PAAD","FGFR_AXIS",3,-0.281575805959713,0.334470781663421,0.488488803797074,-1.72068742770527,1.15753581578584,91.5964706250394,0.306595930690187,"SMCRPH 3","GSE15471;GSE28735;GSE62452",0.558272918625227
