"disease","feature","k","est","se","p","ci_lo","ci_hi","I2","tau2","measures","cohorts","fdr"
"CRC","IGF_INSR_AXIS",1,-0.695224325340867,0.276245710332688,0.0118463606321778,-1.23665596847662,-0.153792682205113,0,0,"SMDH 1","GSE23878",NA
"HCC","IGF_INSR_AXIS",1,-1.24903152251853,0.329739800410413,0.000151907186150678,-1.89530965559236,-0.602753389444695,0,0,"SMDH 1","GSE62232",NA
"IBD","IGF_INSR_AXIS",2,-0.625384343870332,0.129725380090881,0.130209368403663,-2.27370158278315,1.02293289504249,0,0,"SMDH 2","GSE75214;GSE87473",0.231483321606512
"NAFLD","IGF_INSR_AXIS",2,-1.03181476798273,0.654757935115317,0.359977291053871,-9.35130314419294,7.28767360822748,89.0932390754664,0.764719933501995,"SMDH 2","GSE33814;GSE66676",0.919661679056586
"Asthma","JAK_STAT",3,-0.16414534559567,0.0991379741869869,0.239614391371128,-0.59070162085314,0.262410929661801,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472",0.370313150300835
"COPD","JAK_STAT",2,0.281843560148177,0.0533834187373332,0.119169166834586,-0.396457087845324,0.960144208141677,0,0,"SMDH 2","GSE47460;GSE76925",0.415475115455989
"CRC","JAK_STAT",1,-0.0632506877091226,0.270614354940629,0.815194611805885,-0.593645077092294,0.467143701674048,0,0,"SMDH 1","GSE23878",NA
"HCC","JAK_STAT",1,1.34484686336036,0.260548676033312,2.44853975063594e-07,0.834180842115477,1.85551288460525,0,0,"SMDH 1","GSE62232",NA
"IBD","JAK_STAT",2,2.32403886880172,0.0223716169429889,0.00612802737122549,2.03978052364483,2.60829721395861,0,0,"SMDH 2","GSE75214;GSE87473",0.0475692078219002
"NAFLD","JAK_STAT",2,-0.0269141727452971,0.343565585686934,0.950230249583168,-4.39232884478726,4.33850049929666,62.6307812767651,0.149461298955351,"SMDH 2","GSE33814;GSE66676",0.950230249583168
"Asthma","PDGFR_KIT_CSF1R",3,0.355941293080135,0.110492076213691,0.0843488528057166,-0.119467740256388,0.831350326416658,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472",0.238988416282864
"COPD","PDGFR_KIT_CSF1R",2,0.371803118091229,0.236940059267669,0.361202874199515,-2.63880578516514,3.3824120213476,77.6630378048516,0.0874888991755964,"SMDH 2","GSE47460;GSE76925",0.593654657869055
"CRC","PDGFR_KIT_CSF1R",1,-1.08877881680429,0.285730868391813,0.000138683375748318,-1.6488010281236,-0.528756605484987,0,0,"SMDH 1","GSE23878",NA
"HCC","PDGFR_KIT_CSF1R",1,0.0330373690436828,0.44068269133242,0.94023968677479,-0.830684834578042,0.896759572665408,0,0,"SMDH 1","GSE62232",NA
"IBD","PDGFR_KIT_CSF1R",2,1.81625667789552,0.239662833709569,0.0835221704931935,-1.22894835487005,4.8614617106611,55.7588998087936,0.0642997889029948,"SMDH 2","GSE75214;GSE87473",0.199245420576732
"NAFLD","PDGFR_KIT_CSF1R",2,0.120762063282959,0.179956487878592,0.623732408875087,-2.16580191530537,2.40732604187129,0,0,"SMDH 2","GSE33814;GSE66676",0.919661679056586
"Asthma","PI3K_AKT",3,0.304545478307903,0.0415277592685393,0.0180909545526304,0.125865951530744,0.483225005085063,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472",0.208457116511432
"COPD","PI3K_AKT",2,0.0802568755174249,0.0200223890737661,0.15564593484738,-0.174151699361194,0.334665450396044,0,0,"SMDH 2","GSE47460;GSE76925",0.415475115455989
"CRC","PI3K_AKT",1,0.239302414029039,0.268741330634149,0.373220917167507,-0.287420915171263,0.766025743229341,0,0,"SMDH 1","GSE23878",NA
"HCC","PI3K_AKT",1,1.89524918958704,0.297180873958547,1.80088395221198e-10,1.31278537973415,2.47771299943993,0,0,"SMDH 1","GSE62232",NA
"IBD","PI3K_AKT",2,0.316026230440416,0.22299337416489,0.391193681908119,-2.51737323650909,3.14942569738992,41.8706561529146,0.0419314362448683,"SMDH 2","GSE75214;GSE87473",0.481469146963839
"NAFLD","PI3K_AKT",2,-0.29350259521451,0.0802483104127696,0.169909359954244,-1.31315405705126,0.726148866622242,0,0,"SMDH 2","GSE33814;GSE66676",0.906183253089302
"Asthma","RAS_MAPK",3,0.296147768171427,0.0710657530061803,0.0530441113357886,-0.0096234879923161,0.601919024335169,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472",0.238988416282864
"COPD","RAS_MAPK",2,-0.237101474889345,0.105417207305615,0.266336808287633,-1.57655409363027,1.10235114385158,0,0,"SMDH 2","GSE47460;GSE76925",0.499381515539311
"CRC","RAS_MAPK",1,0.0985377058002151,0.263383561125355,0.708313209437178,-0.417684588125384,0.614759999725815,0,0,"SMDH 1","GSE23878",NA
"HCC","RAS_MAPK",1,1.04786191864435,0.327167545727081,0.00136084448625419,0.406625312108906,1.68909852517979,0,0,"SMDH 1","GSE62232",NA
"IBD","RAS_MAPK",2,0.301988372803321,0.212184590715293,0.389920418022151,-2.39407247868663,2.99804922429327,36.8313450242618,0.0331847968041912,"SMDH 2","GSE75214;GSE87473",0.481469146963839
"NAFLD","RAS_MAPK",2,0.439053736821558,0.498444751266134,0.540276369394808,-5.89428732243761,6.77239479608073,79.9692279417039,0.39951180657286,"SMDH 2","GSE33814;GSE66676",0.919661679056586
"Asthma","RET_ALK_NTRK",3,0.0846109462172257,0.253019265318627,0.769885591664897,-1.00404308638517,1.17326497881962,72.5916423813638,0.139336449948912,"SMDH 3","GSE4302;GSE43696;GSE67472",0.769885591664897
"COPD","RET_ALK_NTRK",2,0.702221519290602,0.0826289275500172,0.0745668255091958,-0.347678551290463,1.75212158987167,0,0,"SMDH 2","GSE47460;GSE76925",0.372834127545979
"CRC","RET_ALK_NTRK",1,-0.724194674854915,0.283338441310936,0.0105902860836074,-1.27952781526007,-0.168861534449765,0,0,"SMDH 1","GSE23878",NA
"HCC","RET_ALK_NTRK",1,-1.72481846255968,0.366605468191035,2.5407059041552e-06,-2.44335197674955,-1.0062849483698,0,0,"SMDH 1","GSE62232",NA
"IBD","RET_ALK_NTRK",1,-0.459199771876634,0.227050127284541,0.0431288649168341,-0.904209844039569,-0.0141896997136982,0,0,"SMDH 1","GSE87473",NA
"NAFLD","RET_ALK_NTRK",1,-0.404519329702835,0.318617632302728,0.204224483112207,-1.02899841385561,0.219959754449938,0,0,"SMDH 1","GSE33814",NA
"Asthma","SRC_FAK",3,0.201997426293111,0.145758840671399,0.300096198516655,-0.4251522474068,0.829147099993022,10.5422075097811,0.00643923585573964,"SMDH 3","GSE4302;GSE43696;GSE67472",0.392433490367934
"COPD","SRC_FAK",2,-0.278477921330641,0.00613147092628296,0.014014701846603,-0.356385646253896,-0.200570196407387,0,0,"SMDH 2","GSE47460;GSE76925",0.210220527699045
"CRC","SRC_FAK",1,-0.285228683038088,0.266456076333908,0.284415493069641,-0.807472996114403,0.237015630038226,0,0,"SMDH 1","GSE23878",NA
"HCC","SRC_FAK",1,-1.33469967297233,0.321239753044891,3.2551569996905e-05,-1.96431801934286,-0.705081326601801,0,0,"SMDH 1","GSE62232",NA
"IBD","SRC_FAK",2,0.466320889353269,0.00653371754303237,0.00891922646660629,0.383302136563163,0.549339642143374,0,0,"SMDH 2","GSE75214;GSE87473",0.0475692078219002
"NAFLD","SRC_FAK",2,-0.09039898697772,0.142893321125344,0.640902409007457,-1.9060307806283,1.72523280667286,0,0,"SMDH 2","GSE33814;GSE66676",0.919661679056586
"Asthma","TAM_AXL_AXIS",3,0.212577960225108,0.120341218577977,0.219356620588086,-0.305208512390801,0.730364432841017,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472",0.370313150300835
"COPD","TAM_AXL_AXIS",1,0.261304594832462,0.174185101434425,0.133574340024779,-0.0800919306224667,0.602701120287391,0,0,"SMDH 1","GSE76925",NA
"CRC","TAM_AXL_AXIS",1,-0.346440270275347,0.273792737257285,0.205750300454905,-0.883064174528263,0.190183633977568,0,0,"SMDH 1","GSE23878",NA
"HCC","TAM_AXL_AXIS",1,-0.741669870396519,0.52359539309874,0.156630842718385,-1.76789798334114,0.284558242548103,0,0,"SMDH 1","GSE62232",NA
"IBD","TAM_AXL_AXIS",2,0.79050458290961,0.152966351868185,0.12168499887798,-1.15311720167329,2.73412636749251,0,0,"SMDH 2","GSE75214;GSE87473",0.231483321606512
"NAFLD","TAM_AXL_AXIS",2,-0.399482018720574,0.0585690576607702,0.0926761491133088,-1.14367245656314,0.344708419121994,0,0,"SMDH 2","GSE33814;GSE66676",0.741409192906471
"Asthma","TGFB_SMAD",3,-0.136091509607866,0.162798387904647,0.49114456218525,-0.83655643772461,0.564373418508877,28.4034134435276,0.0221779197893957,"SMDH 3","GSE4302;GSE43696;GSE67472",0.55663050380995
"COPD","TGFB_SMAD",2,-0.19689401287086,0.0618914213403376,0.193888387212795,-0.983299083834041,0.589511058092322,0,0,"SMDH 2","GSE47460;GSE76925",0.415475115455989
"CRC","TGFB_SMAD",1,-0.687648919433034,0.276622080271448,0.0129232029712723,-1.22981823409362,-0.145479604772448,0,0,"SMDH 1","GSE23878",NA
"HCC","TGFB_SMAD",1,1.90533696800813,0.236049806831844,6.92929910476784e-16,1.44268784806008,2.36798608795618,0,0,"SMDH 1","GSE62232",NA
"IBD","TGFB_SMAD",2,1.32485813295158,0.308223159893343,0.145518639174161,-2.59148844108395,5.2412047069871,70.0289709490069,0.13311912394514,"SMDH 2","GSE75214;GSE87473",0.232829822678657
"NAFLD","TGFB_SMAD",2,-0.61844846644947,0.295029790806223,0.283371072531065,-4.36715739170414,3.1302604588052,48.4543352731587,0.0863616961141696,"SMDH 2","GSE33814;GSE66676",0.919661679056586
"Asthma","TIE_ANGPT_AXIS",3,-0.225075922356608,0.25762242739611,0.474428294668652,-1.33353576283716,0.883383918123948,72.27396366615,0.143998924364852,"SMDH 3","GSE4302;GSE43696;GSE67472",0.55663050380995
"COPD","TIE_ANGPT_AXIS",2,0.107227125265384,0.076821669292446,0.395769771912703,-0.868884732939141,1.08333898346991,0,0,"SMDH 2","GSE47460;GSE76925",0.593654657869055
"CRC","TIE_ANGPT_AXIS",1,-0.221762411043339,0.270995319311733,0.413171284128615,-0.752903476873267,0.309378654786588,0,0,"SMDH 1","GSE23878",NA
"HCC","TIE_ANGPT_AXIS",1,0.148175787132067,0.528702833454246,0.779275815332708,-0.888062724962534,1.18441429922667,0,0,"SMDH 1","GSE62232",NA
"IBD","TIE_ANGPT_AXIS",2,1.37955698885912,0.190086829144731,0.0871698715023201,-1.03572517990409,3.79483915762233,36.2548965929906,0.0265135556312106,"SMDH 2","GSE75214;GSE87473",0.199245420576732
"NAFLD","TIE_ANGPT_AXIS",2,0.190482551112248,0.359710927958487,0.68996486500606,-4.38007814536768,4.76104324759218,64.8645480370307,0.169483183338911,"SMDH 2","GSE33814;GSE66676",0.919661679056586
"Asthma","VEGF_PDGF_AXIS",3,-0.318548975658325,0.155748416608669,0.177478793468043,-0.988680325533773,0.351582374217124,16.8162566751294,0.0110686096418005,"SMDH 3","GSE4302;GSE43696;GSE67472",0.364933265639017
"COPD","VEGF_PDGF_AXIS",2,-0.385987812246985,0.0240181291285549,0.0395627180303116,-0.691167078334285,-0.0808085461596843,0,0,"SMDH 2","GSE47460;GSE76925",0.296720385227337
"CRC","VEGF_PDGF_AXIS",1,0.646208574726148,0.276857249654962,0.0195912297493821,0.103578336543609,1.18883881290869,0,0,"SMDH 1","GSE23878",NA
"HCC","VEGF_PDGF_AXIS",1,0.375088037008811,0.536079190354501,0.484122334760071,-0.675607868947403,1.42578394296503,0,0,"SMDH 1","GSE62232",NA
"IBD","VEGF_PDGF_AXIS",2,1.41559293636908,0.0456580652095194,0.0205262072325365,0.835452211959309,1.99573366077885,0,0,"SMDH 2","GSE75214;GSE87473",0.0821048289301461
"NAFLD","VEGF_PDGF_AXIS",2,0.169082315942198,0.503395278659502,0.793707048941931,-6.22716115792916,6.56532578981355,82.8861686400807,0.420888706705242,"SMDH 2","GSE33814;GSE66676",0.919661679056586
"Asthma","WNT_CTNNB1",3,-0.550793369418939,0.0878803987684041,0.0245243666484038,-0.928912207071285,-0.172674531766594,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472",0.208457116511432
"COPD","WNT_CTNNB1",2,-0.525496294100539,0.160892245939018,0.189145787155745,-2.56982611146468,1.5188335232636,50.2778810248771,0.0266550169858496,"SMDH 2","GSE47460;GSE76925",0.415475115455989
"CRC","WNT_CTNNB1",1,2.51623983608602,0.374551766738656,1.84232092243033e-11,1.7821318629324,3.25034780923963,0,0,"SMDH 1","GSE23878",NA
"HCC","WNT_CTNNB1",1,0.88429144166399,0.428187977722441,0.038904604010709,0.0450584267149663,1.72352445661301,0,0,"SMDH 1","GSE62232",NA
"IBD","WNT_CTNNB1",2,0.272063326074951,0.615649642915182,0.735097348256418,-7.5505070825582,8.0946337347081,93.0080943448953,0.705124790407335,"SMDH 2","GSE75214;GSE87473",0.840111255150192
"NAFLD","WNT_CTNNB1",2,0.0828365990399739,0.00249103341241566,0.0191384409054685,0.0511850184971686,0.114488179582779,0,0,"SMDH 2","GSE33814;GSE66676",0.306215054487496
