"accession","sample_id","patient_id","group"
"GSE47460","GSM1150154",NA,"Control"
"GSE47460","GSM1150156",NA,"Control"
"GSE47460","GSM1150157",NA,"Control"
"GSE47460","GSM1150158",NA,"Control"
"GSE47460","GSM1150159",NA,"Control"
"GSE47460","GSM1150160",NA,"Control"
"GSE47460","GSM1150161",NA,"Control"
"GSE47460","GSM1150162",NA,"Case"
"GSE47460","GSM1150164",NA,"Case"
"GSE47460","GSM1150165",NA,"Control"
"GSE47460","GSM1150166",NA,"Case"
"GSE47460","GSM1150167",NA,"Control"
"GSE47460","GSM1150168",NA,"Control"
"GSE47460","GSM1150170",NA,"Case"
"GSE47460","GSM1150171",NA,"Control"
"GSE47460","GSM1150174",NA,"Control"
"GSE47460","GSM1150175",NA,"Control"
"GSE47460","GSM1150176",NA,"Control"
"GSE47460","GSM1150178",NA,"Case"
"GSE47460","GSM1150182",NA,"Case"
"GSE47460","GSM1150184",NA,"Case"
"GSE47460","GSM1150185",NA,"Case"
"GSE47460","GSM1150186",NA,"Case"
"GSE47460","GSM1150187",NA,"Case"
"GSE47460","GSM1150188",NA,"Case"
"GSE47460","GSM1150189",NA,"Case"
"GSE47460","GSM1150190",NA,"Case"
"GSE47460","GSM1150192",NA,"Case"
"GSE47460","GSM1150193",NA,"Case"
"GSE47460","GSM1150199",NA,"Case"
"GSE47460","GSM1150200",NA,"Case"
"GSE47460","GSM1150201",NA,"Case"
"GSE47460","GSM1150203",NA,"Case"
"GSE47460","GSM1150204",NA,"Case"
"GSE47460","GSM1150206",NA,"Case"
"GSE47460","GSM1150210",NA,"Case"
"GSE47460","GSM1150211",NA,"Case"
"GSE47460","GSM1150212",NA,"Case"
"GSE47460","GSM1150213",NA,"Case"
"GSE47460","GSM1150214",NA,"Case"
"GSE47460","GSM1150215",NA,"Case"
"GSE47460","GSM1150220",NA,"Case"
"GSE47460","GSM1150223",NA,"Case"
"GSE47460","GSM1150224",NA,"Case"
"GSE47460","GSM1150225",NA,"Case"
"GSE47460","GSM1150226",NA,"Case"
"GSE47460","GSM1150228",NA,"Case"
"GSE47460","GSM1150234",NA,"Case"
"GSE47460","GSM1150235",NA,"Case"
"GSE47460","GSM1150236",NA,"Case"
"GSE47460","GSM1150237",NA,"Case"
"GSE47460","GSM1150238",NA,"Case"
"GSE47460","GSM1150239",NA,"Case"
"GSE47460","GSM1150240",NA,"Case"
"GSE47460","GSM1150242",NA,"Case"
"GSE47460","GSM1150243",NA,"Case"
"GSE47460","GSM1150246",NA,"Case"
"GSE47460","GSM1150248",NA,"Case"
"GSE47460","GSM1150249",NA,"Case"
"GSE47460","GSM1150250",NA,"Case"
"GSE47460","GSM1150251",NA,"Case"
"GSE47460","GSM1150253",NA,"Case"
"GSE47460","GSM1150254",NA,"Case"
"GSE47460","GSM1150255",NA,"Case"
"GSE47460","GSM1150258",NA,"Case"
"GSE47460","GSM1150261",NA,"Case"
"GSE47460","GSM1150262",NA,"Case"
"GSE47460","GSM1150263",NA,"Case"
"GSE47460","GSM1150265",NA,"Case"
"GSE47460","GSM1150266",NA,"Case"
"GSE47460","GSM1150268",NA,"Case"
"GSE47460","GSM1150269",NA,"Case"
"GSE47460","GSM1150272",NA,"Case"
"GSE47460","GSM1150274",NA,"Case"
"GSE47460","GSM1150275",NA,"Case"
"GSE47460","GSM1150276",NA,"Case"
"GSE47460","GSM1150278",NA,"Case"
"GSE47460","GSM1150279",NA,"Case"
"GSE47460","GSM1150283",NA,"Case"
"GSE47460","GSM1150284",NA,"Case"
"GSE47460","GSM1150285",NA,"Case"
"GSE47460","GSM1150288",NA,"Case"
"GSE47460","GSM1150290",NA,"Case"
"GSE47460","GSM1150291",NA,"Case"
"GSE47460","GSM1150293",NA,"Case"
"GSE47460","GSM1150294",NA,"Case"
"GSE47460","GSM1150295",NA,"Case"
"GSE47460","GSM1150296",NA,"Case"
"GSE47460","GSM1150297",NA,"Case"
"GSE47460","GSM1150298",NA,"Case"
"GSE47460","GSM1150300",NA,"Case"
"GSE47460","GSM1150301",NA,"Case"
"GSE47460","GSM1150303",NA,"Case"
"GSE47460","GSM1150304",NA,"Case"
"GSE47460","GSM1150305",NA,"Case"
"GSE47460","GSM1150307",NA,"Case"
"GSE47460","GSM1150308",NA,"Case"
"GSE47460","GSM1150309",NA,"Case"
"GSE47460","GSM1150311",NA,"Case"
"GSE47460","GSM1150312",NA,"Case"
"GSE47460","GSM1150315",NA,"Case"
"GSE47460","GSM1150316",NA,"Case"
"GSE47460","GSM1150318",NA,"Case"
"GSE47460","GSM1150321",NA,"Case"
"GSE47460","GSM1150331",NA,"Case"
"GSE47460","GSM1150332",NA,"Case"
"GSE47460","GSM1150334",NA,"Case"
"GSE47460","GSM1150336",NA,"Case"
"GSE47460","GSM1150338",NA,"Case"
"GSE47460","GSM1150339",NA,"Case"
"GSE47460","GSM1150341",NA,"Case"
"GSE47460","GSM1150343",NA,"Case"
"GSE47460","GSM1150344",NA,"Case"
"GSE47460","GSM1150346",NA,"Case"
"GSE47460","GSM1150349",NA,"Case"
"GSE47460","GSM1150351",NA,"Case"
"GSE47460","GSM1150352",NA,"Case"
"GSE47460","GSM1150353",NA,"Case"
"GSE47460","GSM1150357",NA,"Case"
"GSE47460","GSM1150358",NA,"Case"
"GSE47460","GSM1150359",NA,"Case"
"GSE47460","GSM1150362",NA,"Case"
"GSE47460","GSM1150364",NA,"Case"
"GSE47460","GSM1150369",NA,"Case"
"GSE47460","GSM1150373",NA,"Control"
"GSE47460","GSM1150376",NA,"Control"
"GSE47460","GSM1150381",NA,"Control"
"GSE47460","GSM1150383",NA,"Case"
"GSE47460","GSM1150388",NA,"Case"
"GSE47460","GSM1150389",NA,"Case"
"GSE47460","GSM1150393",NA,"Case"
"GSE47460","GSM1150394",NA,"Control"
"GSE47460","GSM1150396",NA,"Case"
"GSE47460","GSM1150402",NA,"Control"
"GSE47460","GSM1150403",NA,"Control"
"GSE47460","GSM1150405",NA,"Control"
"GSE47460","GSM1150406",NA,"Case"
"GSE47460","GSM1150408",NA,"Case"
"GSE47460","GSM1150409",NA,"Case"
"GSE47460","GSM1150413",NA,"Control"
"GSE47460","GSM1150414",NA,"Case"
"GSE47460","GSM1150417",NA,"Control"
"GSE47460","GSM1150419",NA,"Case"
"GSE47460","GSM1150423",NA,"Control"
"GSE47460","GSM1150430",NA,"Case"
"GSE47460","GSM1150433",NA,"Control"
"GSE47460","GSM1150434",NA,"Case"
"GSE47460","GSM1150435",NA,"Control"
"GSE47460","GSM1150437",NA,"Case"
"GSE47460","GSM1150438",NA,"Control"
"GSE47460","GSM1150443",NA,"Control"
"GSE47460","GSM1150444",NA,"Control"
"GSE47460","GSM1150447",NA,"Control"
"GSE47460","GSM1150450",NA,"Case"
"GSE47460","GSM1150452",NA,"Control"
"GSE47460","GSM1150457",NA,"Control"
"GSE47460","GSM1150458",NA,"Case"
"GSE47460","GSM1150459",NA,"Control"
"GSE47460","GSM1150462",NA,"Case"
"GSE47460","GSM1150463",NA,"Control"
"GSE47460","GSM1150464",NA,"Case"
"GSE47460","GSM1150465",NA,"Case"
"GSE47460","GSM1150468",NA,"Control"
"GSE47460","GSM1150473",NA,"Control"
"GSE47460","GSM1150476",NA,"Case"
"GSE47460","GSM1150478",NA,"Control"
"GSE47460","GSM1150479",NA,"Case"
"GSE47460","GSM1150486",NA,"Case"
"GSE47460","GSM1150491",NA,"Control"
"GSE47460","GSM1150492",NA,"Case"
"GSE47460","GSM1150496",NA,"Case"
"GSE47460","GSM1150498",NA,"Control"
"GSE47460","GSM1150499",NA,"Case"
"GSE47460","GSM1150501",NA,"Control"
"GSE47460","GSM1150502",NA,"Case"
"GSE47460","GSM1150506",NA,"Control"
"GSE47460","GSM1150507",NA,"Case"
"GSE47460","GSM1150508",NA,"Case"
"GSE47460","GSM1150509",NA,"Control"
"GSE47460","GSM1150512",NA,"Case"
"GSE47460","GSM1150514",NA,"Case"
"GSE47460","GSM1150515",NA,"Control"
"GSE47460","GSM1150516",NA,"Control"
"GSE47460","GSM1150517",NA,"Control"
"GSE47460","GSM1150520",NA,"Case"
"GSE47460","GSM1150523",NA,"Case"
"GSE47460","GSM1150526",NA,"Control"
"GSE47460","GSM1150527",NA,"Control"
"GSE47460","GSM1150531",NA,"Control"
"GSE47460","GSM1150537",NA,"Control"
"GSE47460","GSM1150539",NA,"Case"
"GSE47460","GSM1150543",NA,"Control"
"GSE47460","GSM1150544",NA,"Case"
"GSE57957","GSM1398646","2","Control"
"GSE57957","GSM1398647","2","Case"
"GSE57957","GSM1398648","3","Control"
"GSE57957","GSM1398649","3","Case"
"GSE57957","GSM1398650","4","Control"
"GSE57957","GSM1398651","4","Case"
"GSE57957","GSM1398652","5","Control"
"GSE57957","GSM1398653","5","Case"
"GSE57957","GSM1398654","6","Control"
"GSE57957","GSM1398655","6","Case"
"GSE57957","GSM1398656","7","Control"
"GSE57957","GSM1398657","7","Case"
"GSE57957","GSM1398658","8","Control"
"GSE57957","GSM1398659","8","Case"
"GSE57957","GSM1398660","9","Control"
"GSE57957","GSM1398661","9","Case"
"GSE57957","GSM1398662","10","Control"
"GSE57957","GSM1398663","10","Case"
"GSE57957","GSM1398664","11","Control"
"GSE57957","GSM1398665","11","Case"
"GSE57957","GSM1398666","12","Control"
"GSE57957","GSM1398667","12","Case"
"GSE57957","GSM1398668","13","Control"
"GSE57957","GSM1398669","13","Case"
"GSE57957","GSM1398670","14","Control"
"GSE57957","GSM1398671","14","Case"
"GSE57957","GSM1398672","15","Control"
"GSE57957","GSM1398673","15","Case"
"GSE57957","GSM1398674","16","Control"
"GSE57957","GSM1398675","16","Case"
"GSE57957","GSM1398676","17","Control"
"GSE57957","GSM1398677","17","Case"
"GSE57957","GSM1398678","18","Control"
"GSE57957","GSM1398679","18","Case"
"GSE57957","GSM1398680","19","Control"
"GSE57957","GSM1398681","19","Case"
"GSE57957","GSM1398682","20","Control"
"GSE57957","GSM1398683","20","Case"
"GSE57957","GSM1398684","21","Control"
"GSE57957","GSM1398685","21","Case"
"GSE57957","GSM1398686","22","Control"
"GSE57957","GSM1398687","22","Case"
"GSE57957","GSM1398688","23","Control"
"GSE57957","GSM1398689","23","Case"
"GSE57957","GSM1398690","24","Control"
"GSE57957","GSM1398691","24","Case"
"GSE57957","GSM1398693","26","Control"
"GSE57957","GSM1398694","26","Case"
"GSE57957","GSM1398695","27","Control"
"GSE57957","GSM1398696","27","Case"
"GSE57957","GSM1398697","28","Control"
"GSE57957","GSM1398698","28","Case"
"GSE57957","GSM1398699","29","Control"
"GSE57957","GSM1398700","29","Case"
"GSE57957","GSM1398701","30","Control"
"GSE57957","GSM1398702","30","Case"
"GSE57957","GSM1398703","31","Control"
"GSE57957","GSM1398704","31","Case"
"GSE57957","GSM1398706","33","Control"
"GSE57957","GSM1398707","33","Case"
"GSE57957","GSM1398709","35","Control"
"GSE57957","GSM1398710","35","Case"
"GSE57957","GSM1398711","36","Control"
"GSE57957","GSM1398712","36","Case"
"GSE57957","GSM1398713","37","Control"
"GSE57957","GSM1398714","37","Case"
"GSE57957","GSM1398715","38","Control"
"GSE57957","GSM1398716","38","Case"
"GSE57957","GSM1398717","39","Control"
"GSE57957","GSM1398718","39","Case"
"GSE57957","GSM1398719","40","Control"
"GSE57957","GSM1398720","40","Case"
"GSE57957","GSM1398721","41","Control"
"GSE57957","GSM1398722","41","Case"
"GSE62232","GSM1523329","CHC469","Control"
"GSE62232","GSM1523330","CHC562","Control"
"GSE62232","GSM1523331","CHC591","Control"
"GSE62232","GSM1523334","CHC932","Control"
"GSE62232","GSM1523336","CHC934","Control"
"GSE62232","GSM1523339","CHC012","Case"
"GSE62232","GSM1523340","CHC228","Case"
"GSE62232","GSM1523341","CHC235","Case"
"GSE62232","GSM1523342","CHC250","Case"
"GSE62232","GSM1523343","CHC327","Case"
"GSE62232","GSM1523344","CHC434","Case"
"GSE62232","GSM1523345","CHC891","Case"
"GSE62232","GSM1523346","CHC1010","Case"
"GSE62232","GSM1523347","CHC1044","Case"
"GSE62232","GSM1523348","CHC1185","Case"
"GSE62232","GSM1523349","CHC050","Case"
"GSE62232","GSM1523350","CHC080","Case"
"GSE62232","GSM1523351","CHC203","Case"
"GSE62232","GSM1523352","CHC239","Case"
"GSE62232","GSM1523353","CHC339","Case"
"GSE62232","GSM1523354","CHC398","Case"
"GSE62232","GSM1523355","CHC725","Case"
"GSE62232","GSM1523356","CHC889","Case"
"GSE62232","GSM1523357","CHC961","Case"
"GSE62232","GSM1523358","CHC1062","Case"
"GSE62232","GSM1523359","CHC1192","Case"
"GSE62232","GSM1523360","CHC1053","Case"
"GSE62232","GSM1523361","CHC046","Case"
"GSE62232","GSM1523362","CHC211","Case"
"GSE62232","GSM1523363","CHC254","Case"
"GSE62232","GSM1523364","CHC451","Case"
"GSE62232","GSM1523365","CHC736","Case"
"GSE62232","GSM1523366","CHC793","Case"
"GSE62232","GSM1523367","CHC794","Case"
"GSE62232","GSM1523368","CHC882","Case"
"GSE62232","GSM1523369","CHC909","Case"
"GSE62232","GSM1523370","CHC1055","Case"
"GSE62232","GSM1523371","CHC1196","Case"
"GSE62232","GSM1523372","CHC1199","Case"
"GSE62232","GSM1523373","CHC037","Case"
"GSE62232","GSM1523374","CHC173","Case"
"GSE62232","GSM1523375","CHC196","Case"
"GSE62232","GSM1523376","CHC210","Case"
"GSE62232","GSM1523377","CHC220","Case"
"GSE62232","GSM1523378","CHC306","Case"
"GSE62232","GSM1523379","CHC307","Case"
"GSE62232","GSM1523380","CHC715","Case"
"GSE62232","GSM1523381","CHC734","Case"
"GSE62232","GSM1523382","CHC799","Case"
"GSE62232","GSM1523383","CHC805","Case"
"GSE62232","GSM1523384","CHC892","Case"
"GSE62232","GSM1523385","CHC896","Case"
"GSE62232","GSM1523386","CHC918","Case"
"GSE62232","GSM1523387","CHC983","Case"
"GSE62232","GSM1523388","CHC1052","Case"
"GSE62232","GSM1523389","CHC1060","Case"
"GSE62232","GSM1523390","CHC1061","Case"
"GSE62232","GSM1523391","CHC1162","Case"
"GSE62232","GSM1523392","CHC1190","Case"
"GSE62232","GSM1523393","CHC1201","Case"
"GSE62232","GSM1523394","CHC031","Case"
"GSE62232","GSM1523395","CHC051","Case"
"GSE62232","GSM1523396","CHC097","Case"
"GSE62232","GSM1523397","CHC258","Case"
"GSE62232","GSM1523398","CHC302","Case"
"GSE62232","GSM1523399","CHC303","Case"
"GSE62232","GSM1523400","CHC317","Case"
"GSE62232","GSM1523401","CHC445","Case"
"GSE62232","GSM1523402","CHC609","Case"
"GSE62232","GSM1523403","CHC613","Case"
"GSE62232","GSM1523404","CHC614","Case"
"GSE62232","GSM1523405","CHC703","Case"
"GSE62232","GSM1523406","CHC789","Case"
"GSE62232","GSM1523407","CHC798","Case"
"GSE62232","GSM1523408","CHC898","Case"
"GSE62232","GSM1523409","CHC912","Case"
"GSE62232","GSM1523410","CHC1035","Case"
"GSE62232","GSM1523411","CHC1159","Case"
"GSE62232","GSM1523412","CHC1040","Case"
"GSE62232","GSM1523413","CHC028","Case"
"GSE62232","GSM1523414","CHC059","Case"
"GSE62232","GSM1523415","CHC152","Case"
"GSE62232","GSM1523416","CHC469","Case"
"GSE62232","GSM1523417","CHC879","Case"
"GSE62232","GSM1523418","CHC884","Case"
"GSE62232","GSM1523419","CHC1154","Case"
"GSE62452","GSM1527105","E005","Case"
"GSE62452","GSM1527106","E005","Control"
"GSE62452","GSM1527111","E028","Case"
"GSE62452","GSM1527112","E028","Control"
"GSE62452","GSM1527113","E033","Case"
"GSE62452","GSM1527114","E033","Control"
"GSE62452","GSM1527115","E041","Case"
"GSE62452","GSM1527116","E041","Control"
"GSE62452","GSM1527117","E042","Case"
"GSE62452","GSM1527118","E042","Control"
"GSE62452","GSM1527119","E045","Case"
"GSE62452","GSM1527120","E045","Control"
"GSE62452","GSM1527121","E048","Case"
"GSE62452","GSM1527122","E048","Control"
"GSE62452","GSM1527123","E052","Case"
"GSE62452","GSM1527124","E052","Control"
"GSE62452","GSM1527125","E058","Case"
"GSE62452","GSM1527126","E058","Control"
"GSE62452","GSM1527127","E064","Case"
"GSE62452","GSM1527128","E064","Control"
"GSE62452","GSM1527129","E073","Case"
"GSE62452","GSM1527130","E073","Control"
"GSE62452","GSM1527131","E082","Case"
"GSE62452","GSM1527132","E082","Control"
"GSE62452","GSM1527133","E086","Case"
"GSE62452","GSM1527134","E086","Control"
"GSE62452","GSM1527135","E088","Case"
"GSE62452","GSM1527136","E088","Control"
"GSE62452","GSM1527137","E094","Case"
"GSE62452","GSM1527138","E094","Control"
"GSE62452","GSM1527141","E119","Case"
"GSE62452","GSM1527142","E119","Control"
"GSE62452","GSM1527143","E120","Case"
"GSE62452","GSM1527144","E120","Control"
"GSE62452","GSM1527145","E123","Case"
"GSE62452","GSM1527146","E123","Control"
"GSE62452","GSM1527147","E130","Case"
"GSE62452","GSM1527148","E130","Control"
"GSE62452","GSM1527149","E133","Case"
"GSE62452","GSM1527150","E133","Control"
"GSE62452","GSM1527151","E136","Case"
"GSE62452","GSM1527152","E136","Control"
"GSE62452","GSM1527153","E138","Case"
"GSE62452","GSM1527154","E138","Control"
"GSE62452","GSM1527155","E139","Case"
"GSE62452","GSM1527156","E139","Control"
"GSE62452","GSM1527157","E152","Case"
"GSE62452","GSM1527158","E152","Control"
"GSE62452","GSM1527159","E162","Case"
"GSE62452","GSM1527160","E162","Control"
"GSE62452","GSM1527161","E165","Case"
"GSE62452","GSM1527162","E165","Control"
"GSE62452","GSM1527163","E178","Case"
"GSE62452","GSM1527164","E178","Control"
"GSE62452","GSM1527165","E179","Case"
"GSE62452","GSM1527166","E179","Control"
"GSE62452","GSM1527167","E181","Case"
"GSE62452","GSM1527168","E181","Control"
"GSE62452","GSM1527169","E182","Case"
"GSE62452","GSM1527170","E182","Control"
"GSE62452","GSM1527171","E186","Case"
"GSE62452","GSM1527172","E186","Control"
"GSE62452","GSM1527173","E203","Case"
"GSE62452","GSM1527174","E203","Control"
"GSE62452","GSM1527175","E208","Case"
"GSE62452","GSM1527176","E208","Control"
"GSE62452","GSM1527177","E209","Case"
"GSE62452","GSM1527178","E209","Control"
"GSE62452","GSM1527179","E218","Case"
"GSE62452","GSM1527180","E218","Control"
"GSE62452","GSM1527181","E245","Case"
"GSE62452","GSM1527182","E245","Control"
"GSE62452","GSM1527183","E246","Case"
"GSE62452","GSM1527184","E246","Control"
"GSE62452","GSM1527185","E249","Case"
"GSE62452","GSM1527186","E249","Control"
"GSE62452","GSM1527187","E250","Case"
"GSE62452","GSM1527188","E250","Control"
"GSE62452","GSM1527189","E220","Case"
"GSE62452","GSM1527190","E220","Control"
"GSE62452","GSM1527191","E229","Case"
"GSE62452","GSM1527192","E229","Control"
"GSE62452","GSM1527193","E234","Case"
"GSE62452","GSM1527194","E234","Control"
"GSE66676","GSM1627740",NA,"Control"
"GSE66676","GSM1627741",NA,"Control"
"GSE66676","GSM1627742",NA,"Control"
"GSE66676","GSM1627743",NA,"Control"
"GSE66676","GSM1627744",NA,"Control"
"GSE66676","GSM1627745",NA,"Control"
"GSE66676","GSM1627746",NA,"Control"
"GSE66676","GSM1627747",NA,"Control"
"GSE66676","GSM1627748",NA,"Control"
"GSE66676","GSM1627749",NA,"Control"
"GSE66676","GSM1627750",NA,"Control"
"GSE66676","GSM1627751",NA,"Control"
"GSE66676","GSM1627752",NA,"Control"
"GSE66676","GSM1627753",NA,"Control"
"GSE66676","GSM1627754",NA,"Control"
"GSE66676","GSM1627755",NA,"Control"
"GSE66676","GSM1627756",NA,"Control"
"GSE66676","GSM1627757",NA,"Control"
"GSE66676","GSM1627758",NA,"Control"
"GSE66676","GSM1627759",NA,"Control"
"GSE66676","GSM1627760",NA,"Control"
"GSE66676","GSM1627761",NA,"Control"
"GSE66676","GSM1627762",NA,"Control"
"GSE66676","GSM1627763",NA,"Control"
"GSE66676","GSM1627764",NA,"Control"
"GSE66676","GSM1627765",NA,"Control"
"GSE66676","GSM1627766",NA,"Control"
"GSE66676","GSM1627767",NA,"Control"
"GSE66676","GSM1627768",NA,"Control"
"GSE66676","GSM1627769",NA,"Control"
"GSE66676","GSM1627770",NA,"Control"
"GSE66676","GSM1627771",NA,"Control"
"GSE66676","GSM1627772",NA,"Control"
"GSE66676","GSM1627773",NA,"Control"
"GSE66676","GSM1627774",NA,"Case"
"GSE66676","GSM1627775",NA,"Case"
"GSE66676","GSM1627776",NA,"Case"
"GSE66676","GSM1627777",NA,"Case"
"GSE66676","GSM1627778",NA,"Case"
"GSE66676","GSM1627779",NA,"Case"
"GSE66676","GSM1627780",NA,"Case"
"GSE66676","GSM1627781",NA,"Case"
"GSE66676","GSM1627782",NA,"Case"
"GSE66676","GSM1627783",NA,"Case"
"GSE66676","GSM1627784",NA,"Case"
"GSE66676","GSM1627785",NA,"Case"
"GSE66676","GSM1627786",NA,"Case"
"GSE66676","GSM1627787",NA,"Case"
"GSE66676","GSM1627788",NA,"Case"
"GSE66676","GSM1627789",NA,"Case"
"GSE66676","GSM1627790",NA,"Case"
"GSE66676","GSM1627791",NA,"Case"
"GSE66676","GSM1627792",NA,"Case"
"GSE66676","GSM1627793",NA,"Case"
"GSE66676","GSM1627794",NA,"Case"
"GSE66676","GSM1627795",NA,"Case"
"GSE66676","GSM1627796",NA,"Case"
"GSE66676","GSM1627797",NA,"Case"
"GSE66676","GSM1627798",NA,"Case"
"GSE66676","GSM1627799",NA,"Case"
"GSE66676","GSM1627800",NA,"Case"
"GSE66676","GSM1627801",NA,"Case"
"GSE66676","GSM1627802",NA,"Case"
"GSE66676","GSM1627803",NA,"Case"
"GSE66676","GSM1627804",NA,"Case"
"GSE76925","GSM2040792",NA,"Control"
"GSE76925","GSM2040793",NA,"Control"
"GSE76925","GSM2040794",NA,"Control"
"GSE76925","GSM2040795",NA,"Control"
"GSE76925","GSM2040796",NA,"Case"
"GSE76925","GSM2040797",NA,"Case"
"GSE76925","GSM2040798",NA,"Control"
"GSE76925","GSM2040799",NA,"Case"
"GSE76925","GSM2040800",NA,"Case"
"GSE76925","GSM2040801",NA,"Case"
"GSE76925","GSM2040802",NA,"Case"
"GSE76925","GSM2040803",NA,"Case"
"GSE76925","GSM2040804",NA,"Case"
"GSE76925","GSM2040805",NA,"Case"
"GSE76925","GSM2040806",NA,"Case"
"GSE76925","GSM2040807",NA,"Case"
"GSE76925","GSM2040808",NA,"Control"
"GSE76925","GSM2040809",NA,"Case"
"GSE76925","GSM2040810",NA,"Control"
"GSE76925","GSM2040811",NA,"Case"
"GSE76925","GSM2040812",NA,"Case"
"GSE76925","GSM2040813",NA,"Case"
"GSE76925","GSM2040814",NA,"Case"
"GSE76925","GSM2040815",NA,"Case"
"GSE76925","GSM2040816",NA,"Case"
"GSE76925","GSM2040817",NA,"Case"
"GSE76925","GSM2040818",NA,"Control"
"GSE76925","GSM2040819",NA,"Case"
"GSE76925","GSM2040820",NA,"Case"
"GSE76925","GSM2040821",NA,"Case"
"GSE76925","GSM2040822",NA,"Control"
"GSE76925","GSM2040823",NA,"Case"
"GSE76925","GSM2040824",NA,"Control"
"GSE76925","GSM2040825",NA,"Case"
"GSE76925","GSM2040826",NA,"Case"
"GSE76925","GSM2040827",NA,"Case"
"GSE76925","GSM2040828",NA,"Case"
"GSE76925","GSM2040829",NA,"Case"
"GSE76925","GSM2040830",NA,"Case"
"GSE76925","GSM2040831",NA,"Case"
"GSE76925","GSM2040832",NA,"Case"
"GSE76925","GSM2040833",NA,"Case"
"GSE76925","GSM2040834",NA,"Case"
"GSE76925","GSM2040835",NA,"Case"
"GSE76925","GSM2040836",NA,"Case"
"GSE76925","GSM2040837",NA,"Control"
"GSE76925","GSM2040838",NA,"Case"
"GSE76925","GSM2040839",NA,"Case"
"GSE76925","GSM2040840",NA,"Case"
"GSE76925","GSM2040841",NA,"Case"
"GSE76925","GSM2040842",NA,"Case"
"GSE76925","GSM2040843",NA,"Case"
"GSE76925","GSM2040844",NA,"Case"
"GSE76925","GSM2040845",NA,"Case"
"GSE76925","GSM2040846",NA,"Case"
"GSE76925","GSM2040847",NA,"Control"
"GSE76925","GSM2040848",NA,"Case"
"GSE76925","GSM2040849",NA,"Case"
"GSE76925","GSM2040850",NA,"Case"
"GSE76925","GSM2040851",NA,"Case"
"GSE76925","GSM2040852",NA,"Case"
"GSE76925","GSM2040853",NA,"Case"
"GSE76925","GSM2040854",NA,"Case"
"GSE76925","GSM2040855",NA,"Case"
"GSE76925","GSM2040856",NA,"Case"
"GSE76925","GSM2040857",NA,"Case"
"GSE76925","GSM2040858",NA,"Case"
"GSE76925","GSM2040859",NA,"Case"
"GSE76925","GSM2040860",NA,"Case"
"GSE76925","GSM2040861",NA,"Case"
"GSE76925","GSM2040862",NA,"Case"
"GSE76925","GSM2040863",NA,"Case"
"GSE76925","GSM2040864",NA,"Case"
"GSE76925","GSM2040865",NA,"Case"
"GSE76925","GSM2040866",NA,"Case"
"GSE76925","GSM2040867",NA,"Control"
"GSE76925","GSM2040868",NA,"Case"
"GSE76925","GSM2040869",NA,"Case"
"GSE76925","GSM2040870",NA,"Case"
"GSE76925","GSM2040871",NA,"Case"
"GSE76925","GSM2040872",NA,"Case"
"GSE76925","GSM2040873",NA,"Case"
"GSE76925","GSM2040874",NA,"Case"
"GSE76925","GSM2040875",NA,"Case"
"GSE76925","GSM2040876",NA,"Case"
"GSE76925","GSM2040877",NA,"Case"
"GSE76925","GSM2040878",NA,"Control"
"GSE76925","GSM2040879",NA,"Case"
"GSE76925","GSM2040880",NA,"Case"
"GSE76925","GSM2040881",NA,"Case"
"GSE76925","GSM2040882",NA,"Case"
"GSE76925","GSM2040883",NA,"Case"
"GSE76925","GSM2040884",NA,"Control"
"GSE76925","GSM2040885",NA,"Control"
"GSE76925","GSM2040886",NA,"Control"
"GSE76925","GSM2040887",NA,"Control"
"GSE76925","GSM2040888",NA,"Control"
"GSE76925","GSM2040889",NA,"Control"
"GSE76925","GSM2040890",NA,"Control"
"GSE76925","GSM2040891",NA,"Control"
"GSE76925","GSM2040892",NA,"Control"
"GSE76925","GSM2040893",NA,"Case"
"GSE76925","GSM2040894",NA,"Control"
"GSE76925","GSM2040895",NA,"Control"
"GSE76925","GSM2040896",NA,"Case"
"GSE76925","GSM2040897",NA,"Control"
"GSE76925","GSM2040898",NA,"Control"
"GSE76925","GSM2040899",NA,"Control"
"GSE76925","GSM2040900",NA,"Case"
"GSE76925","GSM2040901",NA,"Case"
"GSE76925","GSM2040902",NA,"Control"
"GSE76925","GSM2040903",NA,"Control"
"GSE76925","GSM2040904",NA,"Control"
"GSE76925","GSM2040905",NA,"Control"
"GSE76925","GSM2040906",NA,"Control"
"GSE76925","GSM2040907",NA,"Case"
"GSE76925","GSM2040908",NA,"Case"
"GSE76925","GSM2040909",NA,"Case"
"GSE76925","GSM2040910",NA,"Case"
"GSE76925","GSM2040911",NA,"Case"
"GSE76925","GSM2040912",NA,"Case"
"GSE76925","GSM2040913",NA,"Case"
"GSE76925","GSM2040914",NA,"Case"
"GSE76925","GSM2040915",NA,"Case"
"GSE76925","GSM2040916",NA,"Case"
"GSE76925","GSM2040917",NA,"Control"
"GSE76925","GSM2040918",NA,"Control"
"GSE76925","GSM2040919",NA,"Case"
"GSE76925","GSM2040920",NA,"Case"
"GSE76925","GSM2040921",NA,"Control"
"GSE76925","GSM2040922",NA,"Control"
"GSE76925","GSM2040923",NA,"Control"
"GSE76925","GSM2040924",NA,"Case"
"GSE76925","GSM2040925",NA,"Control"
"GSE76925","GSM2040926",NA,"Case"
"GSE76925","GSM2040927",NA,"Case"
"GSE76925","GSM2040928",NA,"Case"
"GSE76925","GSM2040929",NA,"Control"
"GSE76925","GSM2040930",NA,"Case"
