"accession","sample_id","patient_id","group"
"GSE27342","GSM675988","50","Control"
"GSE27342","GSM675989","50","Case"
"GSE27342","GSM675990","51","Control"
"GSE27342","GSM675991","51","Case"
"GSE27342","GSM675992","52","Control"
"GSE27342","GSM675993","52","Case"
"GSE27342","GSM675994","53","Control"
"GSE27342","GSM675995","53","Case"
"GSE27342","GSM675996","54","Control"
"GSE27342","GSM675997","54","Case"
"GSE27342","GSM675998","55","Control"
"GSE27342","GSM675999","55","Case"
"GSE27342","GSM676000","56","Control"
"GSE27342","GSM676001","56","Case"
"GSE27342","GSM676002","57","Control"
"GSE27342","GSM676003","57","Case"
"GSE27342","GSM676004","58","Control"
"GSE27342","GSM676005","58","Case"
"GSE27342","GSM676006","59","Control"
"GSE27342","GSM676007","59","Case"
"GSE27342","GSM676008","60","Control"
"GSE27342","GSM676009","60","Case"
"GSE27342","GSM676010","61","Control"
"GSE27342","GSM676011","61","Case"
"GSE27342","GSM676012","62","Control"
"GSE27342","GSM676013","62","Case"
"GSE27342","GSM676014","63","Case"
"GSE27342","GSM676015","63","Control"
"GSE27342","GSM676016","64","Case"
"GSE27342","GSM676017","64","Control"
"GSE27342","GSM676018","65","Control"
"GSE27342","GSM676019","65","Case"
"GSE27342","GSM676020","66","Case"
"GSE27342","GSM676021","66","Control"
"GSE27342","GSM676022","67","Case"
"GSE27342","GSM676023","67","Control"
"GSE27342","GSM676024","68","Control"
"GSE27342","GSM676025","68","Case"
"GSE27342","GSM676026","69","Control"
"GSE27342","GSM676027","69","Case"
"GSE27342","GSM676028","70","Control"
"GSE27342","GSM676029","70","Case"
"GSE27342","GSM676030","71","Control"
"GSE27342","GSM676031","71","Case"
"GSE27342","GSM676032","72","Control"
"GSE27342","GSM676033","72","Case"
"GSE27342","GSM676034","73","Control"
"GSE27342","GSM676035","73","Case"
"GSE27342","GSM676036","74","Control"
"GSE27342","GSM676037","74","Case"
"GSE27342","GSM676038","75","Control"
"GSE27342","GSM676039","75","Case"
"GSE27342","GSM676040","76","Control"
"GSE27342","GSM676041","76","Case"
"GSE27342","GSM676042","77","Control"
"GSE27342","GSM676043","77","Case"
"GSE27342","GSM676044","78","Control"
