"context","gene","n_samples","gain_or_amp_n","high_amp_n","gain_or_amp_percent","high_amp_percent"
"LUAD","AXL",508,245,9,48.2283464566929,1.77165354330709
"LUAD","CSF1R",508,202,6,39.7637795275591,1.18110236220472
"LUAD","EGFR",508,342,53,67.3228346456693,10.4330708661417
"LUAD","EPHA1",508,300,22,59.0551181102362,4.33070866141732
"LUAD","EPHA2",508,239,9,47.0472440944882,1.77165354330709
"LUAD","EPHB2",508,235,8,46.259842519685,1.5748031496063
"LUAD","EPHB4",508,310,22,61.0236220472441,4.33070866141732
"LUAD","ERBB2",508,303,21,59.6456692913386,4.13385826771654
"LUAD","ERBB3",508,268,11,52.755905511811,2.16535433070866
"LUAD","ERBB4",508,276,3,54.3307086614173,0.590551181102362
"LUAD","FGFR1",508,217,24,42.7165354330709,4.7244094488189
"LUAD","FGFR2",508,236,4,46.4566929133858,0.78740157480315
"LUAD","FGFR3",508,232,7,45.6692913385827,1.37795275590551
"LUAD","FGFR4",508,219,12,43.1102362204724,2.36220472440945
"LUAD","FLT1",508,148,3,29.1338582677165,0.590551181102362
"LUAD","FLT4",508,222,12,43.7007874015748,2.36220472440945
"LUAD","IGF1R",508,203,1,39.9606299212598,0.196850393700787
"LUAD","INSR",508,143,0,28.1496062992126,0
"LUAD","KDR",508,244,10,48.0314960629921,1.96850393700787
"LUAD","KIT",508,254,13,50,2.55905511811024
"LUAD","MERTK",508,295,5,58.0708661417323,0.984251968503937
"LUAD","MET",508,305,29,60.0393700787402,5.70866141732283
"LUAD","NTRK1",508,391,52,76.9685039370079,10.2362204724409
"LUAD","PDGFRA",508,245,10,48.2283464566929,1.96850393700787
"LUAD","PDGFRB",508,205,6,40.3543307086614,1.18110236220472
"LUAD","RET",508,266,5,52.3622047244095,0.984251968503937
"LUAD","ROS1",508,145,2,28.5433070866142,0.393700787401575
"LUAD","TEK",508,179,9,35.2362204724409,1.77165354330709
"LUAD","TYRO3",508,152,0,29.9212598425197,0
"PAAD","ALK",182,32,0,17.5824175824176,0
"PAAD","AXL",182,47,1,25.8241758241758,0.549450549450549
"PAAD","CSF1R",182,35,0,19.2307692307692,0
"PAAD","EGFR",182,53,0,29.1208791208791,0
"PAAD","EPHA1",182,43,1,23.6263736263736,0.549450549450549
"PAAD","EPHA2",182,26,0,14.2857142857143,0
"PAAD","EPHB2",182,21,0,11.5384615384615,0
"PAAD","EPHB4",182,47,1,25.8241758241758,0.549450549450549
"PAAD","ERBB2",182,41,3,22.5274725274725,1.64835164835165
"PAAD","ERBB3",182,36,0,19.7802197802198,0
"PAAD","ERBB4",182,38,0,20.8791208791209,0
"PAAD","FGFR1",182,34,2,18.6813186813187,1.0989010989011
"PAAD","FGFR2",182,33,1,18.1318681318681,0.549450549450549
"PAAD","FGFR3",182,33,2,18.1318681318681,1.0989010989011
"PAAD","FGFR4",182,38,0,20.8791208791209,0
"PAAD","FLT1",182,40,1,21.978021978022,0.549450549450549
"PAAD","FLT4",182,39,0,21.4285714285714,0
"PAAD","IGF1R",182,35,1,19.2307692307692,0.549450549450549
"PAAD","INSR",182,33,1,18.1318681318681,0.549450549450549
"PAAD","KDR",182,35,1,19.2307692307692,0.549450549450549
"PAAD","KIT",182,46,1,25.2747252747253,0.549450549450549
"PAAD","MERTK",182,36,0,19.7802197802198,0
"PAAD","MET",182,41,0,22.5274725274725,0
"PAAD","NTRK1",182,62,3,34.0659340659341,1.64835164835165
"PAAD","PDGFRA",182,33,1,18.1318681318681,0.549450549450549
"PAAD","PDGFRB",182,35,0,19.2307692307692,0
"PAAD","RET",182,31,0,17.032967032967,0
"PAAD","ROS1",182,16,0,8.79120879120879,0
"PAAD","TEK",182,19,1,10.4395604395604,0.549450549450549
"PAAD","TYRO3",182,23,0,12.6373626373626,0
"STAD","ALK",436,177,0,40.5963302752294,0
"STAD","AXL",436,171,5,39.2201834862385,1.14678899082569
"STAD","CSF1R",436,120,1,27.5229357798165,0.229357798165138
"STAD","EGFR",436,248,26,56.8807339449541,5.96330275229358
"STAD","EPHA1",436,180,4,41.2844036697248,0.917431192660551
"STAD","EPHA2",436,144,6,33.0275229357798,1.37614678899083
"STAD","EPHB2",436,127,4,29.1284403669725,0.917431192660551
"STAD","EPHB4",436,236,20,54.1284403669725,4.58715596330275
"STAD","ERBB2",436,205,55,47.0183486238532,12.6146788990826
"STAD","ERBB3",436,191,11,43.8073394495413,2.52293577981651
"STAD","ERBB4",436,174,2,39.9082568807339,0.458715596330275
"STAD","FGFR1",436,195,10,44.7247706422018,2.29357798165138
"STAD","FGFR2",436,178,14,40.8256880733945,3.21100917431193
"STAD","FGFR3",436,114,4,26.1467889908257,0.917431192660551
"STAD","FGFR4",436,119,0,27.2935779816514,0
"STAD","FLT1",436,215,14,49.3119266055046,3.21100917431193
"STAD","FLT4",436,117,0,26.8348623853211,0
