"disease","feature","k","est","se","p","ci_lo","ci_hi","I2","tau2","measures","cohorts","fdr"
"Asthma","EPH_RECEPTORS",3,0.149957153913401,0.101046196863721,0.27606598106283,-0.284809540853089,0.584723848679891,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472",0.391093473172342
"COPD","EPH_RECEPTORS",2,0.102986615747994,0.289395654708729,0.782344329430561,-3.57413382274044,3.78010705423643,84.2983397039931,0.141501079298368,"SMDH 2","GSE47460;GSE76925",0.782344329430561
"CRC","EPH_RECEPTORS",3,2.22254395259549,0.209965661292053,0.00880701854701444,1.31913462688359,3.1259532783074,59.5822464396403,0.0837077766907054,"SMCRPH 2|SMDH 1","GSE23878;GSE41258;GSE44076",0.0240094368431942
"ESCC","EPH_RECEPTORS",2,-0.454226224462252,0.278886006046343,0.350545667727627,-3.99780891534115,3.08935646641664,79.7089102284741,0.12598124995348,"SMCRPH 2","GSE20347;GSE23400",0.562552679258673
"HCC","EPH_RECEPTORS",2,-0.170211318323604,0.0615579139649901,0.22092020915416,-0.952378776294596,0.611956139647388,0,0,"SMCRPH 1|SMDH 1","GSE57957;GSE62232",0.41232979186075
"IBD","EPH_RECEPTORS",3,0.0489848624631252,0.282824394927509,0.878438167602723,-1.16791029241146,1.26588001733771,73.5191944430112,0.175778447178709,"SMCRPH 1|SMDH 2","GSE179285;GSE75214;GSE87473",0.878438167602723
"LUAD","EPH_RECEPTORS",3,1.37679045428788,0.335026035367167,0.0544246504042885,-0.0647102313218035,2.81829113989756,91.4801634770897,0.314367032112077,"SMCRPH 3","GSE10072;GSE19804;GSE32863",0.114355506598782
"NAFLD","EPH_RECEPTORS",2,-0.14089221205073,0.640625490265049,0.862182824115549,-8.28081085057074,7.99902642646928,88.0370743993521,0.7236074369339,"SMDH 2","GSE33814;GSE66676",0.919661679056586
"PAAD","EPH_RECEPTORS",3,0.962390930964842,0.410537814623313,0.143747404636619,-0.804010717789535,2.72879257971922,94.9531947180807,0.483616333241422,"SMCRPH 3","GSE15471;GSE28735;GSE62452",0.287494809273238
"STAD","EPH_RECEPTORS",3,1.58327480466265,0.200532890830945,0.0156660246654669,0.720451414524329,2.44609819480096,72.5712806647111,0.0952794367529806,"SMCRPH 3","GSE13911;GSE27342;GSE63089",0.129237936633505
"Asthma","ERBB_LIGANDS",3,-0.248715662477112,0.107698122116867,0.147199469334186,-0.71210328159214,0.214671956637917,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472",0.35748442552588
"COPD","ERBB_LIGANDS",2,-0.143883887129669,0.141324992559693,0.494288399535055,-1.9395881769315,1.65182040267216,36.3837391673849,0.0152386495833821,"SMDH 2","GSE47460;GSE76925",0.647626107011489
"CRC","ERBB_LIGANDS",3,-0.461790317036066,0.0533045529691936,0.0130636134455346,-0.691141297377042,-0.232439336695091,0,0,"SMCRPH 2|SMDH 1","GSE23878;GSE41258;GSE44076",0.0246757142860098
"ESCC","ERBB_LIGANDS",2,-0.49964066170905,0.0179935068130418,0.0229166175282973,-0.728269843197314,-0.271011480220786,0,0,"SMCRPH 2","GSE20347;GSE23400",0.389582497981054
"HCC","ERBB_LIGANDS",2,-0.81484262905749,0.588724561328248,0.398312738300064,-8.29529743850885,6.66561218039387,83.7989051216596,0.591915924006592,"SMCRPH 1|SMDH 1","GSE57957;GSE62232",0.451421103406739
"IBD","ERBB_LIGANDS",3,0.712573672882044,0.341009582135925,0.171838097909787,-0.754672136565818,2.17981948232991,83.6612406364216,0.294937314753382,"SMCRPH 1|SMDH 2","GSE179285;GSE75214;GSE87473",0.265567969496944
"LUAD","ERBB_LIGANDS",3,-0.1431585476922,0.30011621023363,0.680393810377511,-1.43445437889599,1.14813728351159,94.6202982631225,0.253652745336418,"SMCRPH 3","GSE10072;GSE19804;GSE32863",0.771112985094512
"NAFLD","ERBB_LIGANDS",2,0.125596579190446,0.183590924437524,0.618039308987194,-2.20714729441631,2.4583404527972,0,0,"SMDH 2","GSE33814;GSE66676",0.919661679056586
