context,module,k,cohorts_positive,cohorts_negative,median_effect,direction_consistent,pattern,positive_cohorts,negative_cohorts,range_of_effects
NAFLD,WNT_CTNNB1,2,2,0,0.084,TRUE,all positive,GSE33814;GSE66676,,0.08 to 0.09
PAAD,EPH_RECEPTORS,3,3,0,1.378,TRUE,all positive,GSE15471;GSE28735;GSE62452,,0.15 to 1.39
PAAD,ERBB_LIGANDS,3,3,0,0.53,TRUE,all positive,GSE15471;GSE28735;GSE62452,,0.41 to 0.55
PAAD,ERBB_RECEPTORS,3,2,1,0.258,FALSE,2 positive / 1 negative,GSE28735;GSE62452,GSE15471,-0.05 to 0.30
PAAD,FGFR_AXIS,3,1,2,-0.562,FALSE,1 positive / 2 negative,GSE15471,GSE28735;GSE62452,-0.67 to 0.39
PAAD,HGF_MET_AXIS,3,3,0,1.447,TRUE,all positive,GSE15471;GSE28735;GSE62452,,1.36 to 1.92
PAAD,IGF_INSR_AXIS,3,1,2,-0.891,FALSE,1 positive / 2 negative,GSE15471,GSE28735;GSE62452,-0.94 to 0.17
PAAD,JAK_STAT,3,3,0,0.524,TRUE,all positive,GSE15471;GSE28735;GSE62452,,0.44 to 1.14
PAAD,PDGFR_KIT_CSF1R,3,1,2,-0.245,FALSE,1 positive / 2 negative,GSE15471,GSE28735;GSE62452,-0.25 to 1.07
PAAD,PI3K_AKT,3,3,0,0.303,TRUE,all positive,GSE15471;GSE28735;GSE62452,,0.25 to 0.59
PAAD,RAS_MAPK,3,3,0,1.193,TRUE,all positive,GSE15471;GSE28735;GSE62452,,1.03 to 1.22
PAAD,SRC_FAK,3,2,1,0.863,FALSE,2 positive / 1 negative,GSE28735;GSE62452,GSE15471,-0.04 to 0.91
PAAD,TAM_AXL_AXIS,3,1,2,-0.258,FALSE,1 positive / 2 negative,GSE15471,GSE28735;GSE62452,-0.30 to 0.52
PAAD,TGFB_SMAD,3,3,0,0.783,TRUE,all positive,GSE15471;GSE28735;GSE62452,,0.77 to 1.42
PAAD,TIE_ANGPT_AXIS,3,3,0,0.122,TRUE,all positive,GSE15471;GSE28735;GSE62452,,0.07 to 0.92
PAAD,VEGF_PDGF_AXIS,3,3,0,0.043,TRUE,all positive,GSE15471;GSE28735;GSE62452,,0.02 to 0.84
PAAD,WNT_CTNNB1,3,3,0,0.852,TRUE,all positive,GSE15471;GSE28735;GSE62452,,0.82 to 1.49
STAD,EPH_RECEPTORS,3,3,0,1.721,TRUE,all positive,GSE13911;GSE27342;GSE63089,,1.24 to 1.86
STAD,ERBB_LIGANDS,3,1,2,-0.201,FALSE,1 positive / 2 negative,GSE27342,GSE13911;GSE63089,-1.00 to 0.17
STAD,ERBB_RECEPTORS,3,1,2,-0.354,FALSE,1 positive / 2 negative,GSE27342,GSE13911;GSE63089,-0.70 to 0.24
