context,module,cell_type,comparison_type,n_pairs,n_case_patients,n_control_patients,paired_median_diff,case_patient_mean,control_patient_mean,p_paired,p_unpaired,test_used,p_used,fdr,fdr_unpaired
STAD,HGF_MET_AXIS,enterocyte,same-cell-type,0,19,22,nan,0.08248799156329123,0.08583950300888378,nan,0.9372540784722116,mann-whitney (unpaired; reported as such),0.9372540784722116,0.9669422980079588,0.9669422980079588
STAD,HGF_MET_AXIS,enteroendocrine cell,same-cell-type,0,23,27,nan,0.054039265831721646,0.04531022627214151,nan,0.5941903078315091,mann-whitney (unpaired; reported as such),0.5941903078315091,0.8912854617472636,0.8912854617472636
STAD,HGF_MET_AXIS,epithelial cell,same-cell-type,0,28,34,nan,0.08990609215324118,0.08878951484841825,nan,0.8819307212779461,mann-whitney (unpaired; reported as such),0.8819307212779461,0.9669422980079588,0.9669422980079588
STAD,HGF_MET_AXIS,foveolar cell of stomach,same-cell-type,0,28,34,nan,0.10349383207128872,0.10399135069134925,nan,0.9267439056002764,mann-whitney (unpaired; reported as such),0.9267439056002764,0.9669422980079588,0.9669422980079588
STAD,HGF_MET_AXIS,intestine goblet cell,same-cell-type,0,22,21,nan,0.05035400984862608,0.06035911822772132,nan,0.5430135663542873,mann-whitney (unpaired; reported as such),0.5430135663542873,0.8912854617472636,0.8912854617472636
STAD,HGF_MET_AXIS,mucous neck cell of gastric gland,same-cell-type,0,27,34,nan,0.048213917638512176,0.044093611855662095,nan,0.30942495024942895,mann-whitney (unpaired; reported as such),0.30942495024942895,0.7426198805986295,0.7426198805986295
STAD,HGF_MET_AXIS,parietal cell,same-cell-type,0,19,31,nan,0.013629577306068294,0.04808335210134239,nan,0.0001850854281861506,mann-whitney (unpaired; reported as such),0.0001850854281861506,0.0022210251382338074,0.0022210251382338074
STAD,HGF_MET_AXIS,peptic cell,same-cell-type,0,19,26,nan,0.03002781905050607,0.012288574095167546,nan,0.08181536813286724,mann-whitney (unpaired; reported as such),0.08181536813286724,0.327261472531469,0.327261472531469
STAD,HGF_MET_AXIS,type EC enteroendocrine cell,same-cell-type,0,21,28,nan,0.0799426634998431,0.06528554886765245,nan,0.966942298007959,mann-whitney (unpaired; reported as such),0.966942298007959,0.9669422980079588,0.9669422980079588
STAD,HGF_MET_AXIS,type G enteroendocrine cell,same-cell-type,0,13,27,nan,0.022186381069374532,0.04047881955856701,nan,0.4042001249572862,mann-whitney (unpaired; reported as such),0.4042001249572862,0.8084002499145724,0.8084002499145724
STAD,HGF_MET_AXIS,type X enteroendocrine cell,same-cell-type,0,13,27,nan,0.01042186454325222,0.035301568324064427,nan,0.2616067554747372,mann-whitney (unpaired; reported as such),0.2616067554747372,0.7426198805986295,0.7426198805986295
STAD,EPH_RECEPTORS,BEST4+ enterocyte,same-cell-type,0,5,7,nan,0.0,0.07496107055188773,nan,0.06639318527112506,mann-whitney (unpaired; reported as such),0.06639318527112506,0.15934364465070014,0.15934364465070014
STAD,EPH_RECEPTORS,enterocyte,same-cell-type,0,19,22,nan,0.08713929210738795,0.08262842503357287,nan,0.8852454951703917,mann-whitney (unpaired; reported as such),0.8852454951703917,0.9415266557768986,0.9415266557768986
STAD,EPH_RECEPTORS,enteroendocrine cell,same-cell-type,0,23,27,nan,0.05456892464937386,0.03721787330467538,nan,0.34680012025768236,mann-whitney (unpaired; reported as such),0.34680012025768236,0.5202001803865235,0.5202001803865235
STAD,EPH_RECEPTORS,epithelial cell,same-cell-type,0,28,34,nan,0.12321282648347824,0.09262132718766633,nan,0.0029059531890739928,mann-whitney (unpaired; reported as such),0.0029059531890739928,0.03487143826888792,0.03487143826888792
STAD,EPH_RECEPTORS,foveolar cell of stomach,same-cell-type,0,28,34,nan,0.1075274800877617,0.07899624569921032,nan,0.08568482007985391,mann-whitney (unpaired; reported as such),0.08568482007985391,0.17136964015970782,0.17136964015970782
STAD,EPH_RECEPTORS,intestine goblet cell,same-cell-type,0,22,21,nan,0.0843705706893665,0.10447689083714307,nan,0.931489476608178,mann-whitney (unpaired; reported as such),0.931489476608178,0.9415266557768986,0.9415266557768986
STAD,EPH_RECEPTORS,mucous neck cell of gastric gland,same-cell-type,0,27,34,nan,0.08842081900261528,0.06067693244507052,nan,0.014418741271956066,mann-whitney (unpaired; reported as such),0.014418741271956066,0.05767496508782426,0.05767496508782426
STAD,EPH_RECEPTORS,parietal cell,same-cell-type,0,19,31,nan,0.030724869407921688,0.04306880467216944,nan,0.010822510664782022,mann-whitney (unpaired; reported as such),0.010822510664782022,0.05767496508782426,0.05767496508782426
STAD,EPH_RECEPTORS,peptic cell,same-cell-type,0,19,26,nan,0.018384119532675963,0.007017912856254384,nan,0.9415266557768986,mann-whitney (unpaired; reported as such),0.9415266557768986,0.9415266557768986,0.9415266557768986
STAD,EPH_RECEPTORS,type EC enteroendocrine cell,same-cell-type,0,21,28,nan,0.022752141042409288,0.0188515097157549,nan,0.12941074247114942,mann-whitney (unpaired; reported as such),0.12941074247114942,0.221846987093399,0.221846987093399
STAD,EPH_RECEPTORS,type G enteroendocrine cell,same-cell-type,0,13,27,nan,0.036480287547572786,0.03655889567871395,nan,0.7518311340809407,mann-whitney (unpaired; reported as such),0.7518311340809407,0.9415266557768986,0.9415266557768986
STAD,EPH_RECEPTORS,type X enteroendocrine cell,same-cell-type,0,13,27,nan,0.0010782473967971581,0.011046599415709917,nan,0.05177064745496737,mann-whitney (unpaired; reported as such),0.05177064745496737,0.15531194236490212,0.15531194236490212
STAD,JAK_STAT,BEST4+ enterocyte,same-cell-type,0,5,7,nan,0.09037332236766815,0.12472044915218891,nan,0.6236797393048898,mann-whitney (unpaired; reported as such),0.6236797393048898,0.8315729857398532,0.8315729857398532
STAD,JAK_STAT,enterocyte,same-cell-type,0,19,22,nan,0.10701587436249194,0.10011643931424487,nan,0.5131803633525807,mann-whitney (unpaired; reported as such),0.5131803633525807,0.7998900686466791,0.7998900686466791
STAD,JAK_STAT,enteroendocrine cell,same-cell-type,0,23,27,nan,0.11134558460806214,0.12031965531195753,nan,0.5332600457644527,mann-whitney (unpaired; reported as such),0.5332600457644527,0.7998900686466791,0.7998900686466791
STAD,JAK_STAT,epithelial cell,same-cell-type,0,28,34,nan,0.10842105504507547,0.1100058905352169,nan,0.8707805551864919,mann-whitney (unpaired; reported as such),0.8707805551864919,0.9539129188179323,0.9539129188179323
STAD,JAK_STAT,foveolar cell of stomach,same-cell-type,0,28,34,nan,0.10423676580021854,0.101835833761204,nan,0.407964800362024,mann-whitney (unpaired; reported as such),0.407964800362024,0.7998900686466791,0.7998900686466791
STAD,JAK_STAT,intestine goblet cell,same-cell-type,0,22,21,nan,0.08108216045098567,0.10417877178646139,nan,0.8744201755831046,mann-whitney (unpaired; reported as such),0.8744201755831046,0.9539129188179323,0.9539129188179323
STAD,JAK_STAT,mucous neck cell of gastric gland,same-cell-type,0,27,34,nan,0.09961732195207992,0.09164567375545363,nan,0.27936052220476104,mann-whitney (unpaired; reported as such),0.27936052220476104,0.7998900686466791,0.7998900686466791
STAD,JAK_STAT,parietal cell,same-cell-type,0,19,31,nan,0.11905592190809015,0.09785712506962063,nan,0.28022353332646477,mann-whitney (unpaired; reported as such),0.28022353332646477,0.7998900686466791,0.7998900686466791
STAD,JAK_STAT,peptic cell,same-cell-type,0,19,26,nan,0.045102377503519184,0.061043212394200706,nan,0.4137595460780089,mann-whitney (unpaired; reported as such),0.4137595460780089,0.7998900686466791,0.7998900686466791
STAD,JAK_STAT,type EC enteroendocrine cell,same-cell-type,0,21,28,nan,0.15594062961168262,0.13945236913452091,nan,0.4131818723415027,mann-whitney (unpaired; reported as such),0.4131818723415027,0.7998900686466791,0.7998900686466791
STAD,JAK_STAT,type G enteroendocrine cell,same-cell-type,0,13,27,nan,0.10214317206788313,0.10202511694644552,nan,1.0,mann-whitney (unpaired; reported as such),1.0,1.0,1.0
STAD,JAK_STAT,type X enteroendocrine cell,same-cell-type,0,13,27,nan,0.15090399842871383,0.12950002072284852,nan,0.1026183592137615,mann-whitney (unpaired; reported as such),0.1026183592137615,0.7998900686466791,0.7998900686466791
STAD,SRC_FAK,BEST4+ enterocyte,same-cell-type,0,5,7,nan,0.09789468050003051,0.11375256289135326,nan,0.5005804129627163,mann-whitney (unpaired; reported as such),0.5005804129627163,0.7508706194440744,0.7508706194440744
STAD,SRC_FAK,enterocyte,same-cell-type,0,19,22,nan,0.07046867385663462,0.09152451184804092,nan,0.45293732561370836,mann-whitney (unpaired; reported as such),0.45293732561370836,0.7508706194440744,0.7508706194440744
STAD,SRC_FAK,enteroendocrine cell,same-cell-type,0,23,27,nan,0.07957375028136107,0.07758421426046304,nan,0.9531857747685515,mann-whitney (unpaired; reported as such),0.9531857747685515,0.9531857747685515,0.9531857747685515
STAD,SRC_FAK,epithelial cell,same-cell-type,0,28,34,nan,0.08523138681702704,0.09235149747022153,nan,0.33968636834973687,mann-whitney (unpaired; reported as such),0.33968636834973687,0.7508706194440744,0.7508706194440744
STAD,SRC_FAK,foveolar cell of stomach,same-cell-type,0,28,34,nan,0.08040164914667787,0.10103291827341909,nan,0.03958126511274535,mann-whitney (unpaired; reported as such),0.03958126511274535,0.25153147252372426,0.25153147252372426
STAD,SRC_FAK,intestine goblet cell,same-cell-type,0,22,21,nan,0.08094495034682704,0.0978749617251984,nan,0.8263656881671004,mann-whitney (unpaired; reported as such),0.8263656881671004,0.9014898416368369,0.9014898416368369
STAD,SRC_FAK,mucous neck cell of gastric gland,same-cell-type,0,27,34,nan,0.08356324875286171,0.09173312314706039,nan,0.41199216993596677,mann-whitney (unpaired; reported as such),0.41199216993596677,0.7508706194440744,0.7508706194440744
STAD,SRC_FAK,parietal cell,same-cell-type,0,19,31,nan,0.06667005035346381,0.0917028786847116,nan,0.05975733244796753,mann-whitney (unpaired; reported as such),0.05975733244796753,0.25153147252372426,0.25153147252372426
STAD,SRC_FAK,peptic cell,same-cell-type,0,19,26,nan,0.05530274775093067,0.06570482259513516,nan,0.06288286813093107,mann-whitney (unpaired; reported as such),0.06288286813093107,0.25153147252372426,0.25153147252372426
STAD,SRC_FAK,type EC enteroendocrine cell,same-cell-type,0,21,28,nan,0.0584759157902189,0.06092121042416581,nan,0.35099602395004414,mann-whitney (unpaired; reported as such),0.35099602395004414,0.7508706194440744,0.7508706194440744
STAD,SRC_FAK,type G enteroendocrine cell,same-cell-type,0,13,27,nan,0.07580859930903623,0.09534832198249824,nan,0.7274756214223942,mann-whitney (unpaired; reported as such),0.7274756214223942,0.9014898416368369,0.9014898416368369
STAD,SRC_FAK,type X enteroendocrine cell,same-cell-type,0,13,27,nan,0.0586696615319917,0.048802995273391374,nan,0.7928489826282048,mann-whitney (unpaired; reported as such),0.7928489826282048,0.9014898416368369,0.9014898416368369
STAD,WNT_CTNNB1,BEST4+ enterocyte,same-cell-type,0,5,7,nan,0.2270316392183304,0.12402789362452246,nan,0.5129899106370105,mann-whitney (unpaired; reported as such),0.5129899106370105,0.9709167836020688,0.9709167836020688
STAD,WNT_CTNNB1,enterocyte,same-cell-type,0,19,22,nan,0.1632273869006256,0.15826359423864822,nan,0.9478412865907828,mann-whitney (unpaired; reported as such),0.9478412865907828,0.9709167836020688,0.9709167836020688
STAD,WNT_CTNNB1,enteroendocrine cell,same-cell-type,0,23,27,nan,0.14342040794469837,0.1125337607261754,nan,0.07565673733788078,mann-whitney (unpaired; reported as such),0.07565673733788078,0.49883193114490987,0.49883193114490987
STAD,WNT_CTNNB1,epithelial cell,same-cell-type,0,28,34,nan,0.32725220566016605,0.29122647283195546,nan,0.8374924408740465,mann-whitney (unpaired; reported as such),0.8374924408740465,0.9709167836020688,0.9709167836020688
STAD,WNT_CTNNB1,foveolar cell of stomach,same-cell-type,0,28,34,nan,0.27706883355312256,0.31945541220116264,nan,0.08313865519081831,mann-whitney (unpaired; reported as such),0.08313865519081831,0.49883193114490987,0.49883193114490987
STAD,WNT_CTNNB1,intestine goblet cell,same-cell-type,0,22,21,nan,0.24108455389616543,0.2570521828736621,nan,0.9709167836020687,mann-whitney (unpaired; reported as such),0.9709167836020687,0.9709167836020688,0.9709167836020688
STAD,WNT_CTNNB1,mucous neck cell of gastric gland,same-cell-type,0,27,34,nan,0.21528111255893484,0.2180380796407258,nan,0.7770661110949808,mann-whitney (unpaired; reported as such),0.7770661110949808,0.9709167836020688,0.9709167836020688
STAD,WNT_CTNNB1,parietal cell,same-cell-type,0,19,31,nan,0.17557217121050123,0.1564719593742195,nan,0.9361929072916735,mann-whitney (unpaired; reported as such),0.9361929072916735,0.9709167836020688,0.9709167836020688
STAD,WNT_CTNNB1,peptic cell,same-cell-type,0,19,26,nan,0.09492082178023362,0.09820460350643204,nan,0.15256800403725385,mann-whitney (unpaired; reported as such),0.15256800403725385,0.6102720161490154,0.6102720161490154
STAD,WNT_CTNNB1,type EC enteroendocrine cell,same-cell-type,0,21,28,nan,0.13031485724476952,0.09666848197245549,nan,0.9513144106850633,mann-whitney (unpaired; reported as such),0.9513144106850633,0.9709167836020688,0.9709167836020688
STAD,WNT_CTNNB1,type G enteroendocrine cell,same-cell-type,0,13,27,nan,0.17196834953827458,0.1355177940108532,nan,0.41693643667240055,mann-whitney (unpaired; reported as such),0.41693643667240055,0.9709167836020688,0.9709167836020688
STAD,WNT_CTNNB1,type X enteroendocrine cell,same-cell-type,0,13,27,nan,0.13892089872282448,0.12471547670385671,nan,0.5431832076376651,mann-whitney (unpaired; reported as such),0.5431832076376651,0.9709167836020688,0.9709167836020688
