context,module,cell_type,comparison_type,n_pairs,n_case_patients,n_control_patients,paired_median_diff,case_patient_mean,control_patient_mean,p_paired,p_unpaired,test_used,p_used,fdr,fdr_unpaired
CRC,EPH_RECEPTORS,colon goblet cell,same-cell-type,10,14,17,-0.030659447211156304,0.031910155765151396,0.07687070032934538,0.013671875,0.017536963354888278,wilcoxon-signed-rank,0.013671875,0.052734375,0.05261089006466483
CRC,EPH_RECEPTORS,colonocyte,same-cell-type,13,14,20,-0.012117687045879982,0.08894996979279042,0.0778622114591515,0.5302845968336095,0.8198009969392596,wilcoxon-signed-rank,0.5302845968336095,0.5965701714378107,0.8198009969392596
CRC,EPH_RECEPTORS,early colonocyte,same-cell-type,14,18,20,0.01275698966017199,0.19899654281950038,0.18905417242029252,0.5015869140625,0.6930819368648844,wilcoxon-signed-rank,0.5015869140625,0.5965701714378107,0.779717178972995
CRC,EPH_RECEPTORS,enteroendocrine cell of colon,same-cell-type,6,9,15,-0.042815698818726974,0.06944487823380364,0.08936231501504185,0.5001842570707944,0.05760695169085251,wilcoxon-signed-rank,0.5001842570707944,0.5965701714378107,0.08641042753627877
CRC,EPH_RECEPTORS,intestinal crypt stem cell of colon,same-cell-type,16,21,20,-0.07594149487004392,0.13429950481127134,0.24217053644946884,0.01824951171875,0.002798950351588139,wilcoxon-signed-rank,0.01824951171875,0.052734375,0.012595276582146625
CRC,EPH_RECEPTORS,malignant cell,same-cell-type,19,28,20,0.14827654798483025,0.2714748563251171,0.11733841210294593,3.814697265625e-06,1.888388589417916e-05,wilcoxon-signed-rank,3.814697265625e-06,3.4332275390625e-05,0.00016995497304761245
CRC,EPH_RECEPTORS,secretory cell,same-cell-type,13,19,18,-0.03299639340612412,0.16341409809562132,0.18778113553634285,0.0478515625,0.03734308075252805,wilcoxon-signed-rank,0.0478515625,0.0861328125,0.08402193169318811
CRC,EPH_RECEPTORS,tuft cell of colon,same-cell-type,11,16,18,-0.10899485565803863,0.07142628796613548,0.1120686326299875,0.7988593499960496,0.09034643542022562,wilcoxon-signed-rank,0.7988593499960496,0.7988593499960496,0.11615970268314722
CRC,EPH_RECEPTORS,malignant cell vs BEST4+ colonocyte,cell-identity,0,28,16,nan,0.2714748563251171,0.15433295824201365,nan,0.000867652370143851,mann-whitney (cell-identity contrast; unpaired),0.000867652370143851,0.0013014785552157766,0.0013014785552157766
CRC,EPH_RECEPTORS,malignant cell vs colonocyte,cell-identity,0,28,20,nan,0.2714748563251171,0.0778622114591515,nan,5.10077001841921e-08,mann-whitney (cell-identity contrast; unpaired),5.10077001841921e-08,1.530231005525763e-07,1.530231005525763e-07
CRC,EPH_RECEPTORS,malignant cell vs early colonocyte,cell-identity,0,28,20,nan,0.2714748563251171,0.18905417242029252,nan,0.009226058407522594,mann-whitney (cell-identity contrast; unpaired),0.009226058407522594,0.009226058407522594,0.009226058407522594
CRC,JAK_STAT,BEST4+ colonocyte,same-cell-type,8,9,16,-0.056182866420892874,0.27809979708748067,0.32528951830499886,0.84375,0.5522142220341504,wilcoxon-signed-rank,0.84375,0.84375,0.792130514481817
CRC,JAK_STAT,colon goblet cell,same-cell-type,10,14,17,-0.06881715345185352,0.2369874255500326,0.2895834352673626,0.083984375,0.09160260294615868,wilcoxon-signed-rank,0.083984375,0.23531341552734375,0.4122117132577141
CRC,JAK_STAT,colonocyte,same-cell-type,13,14,20,0.06330085933484414,0.31116182687472016,0.2460476199357459,0.039794921875,0.16690659538227026,wilcoxon-signed-rank,0.039794921875,0.1790771484375,0.5007197861468108
CRC,JAK_STAT,early colonocyte,same-cell-type,14,18,20,0.06362248562121024,0.2576160923978865,0.21388323076712695,0.0067138671875,0.00888216829140033,wilcoxon-signed-rank,0.0067138671875,0.0604248046875,0.07993951462260297
CRC,JAK_STAT,enteroendocrine cell of colon,same-cell-type,6,9,15,-0.02841057814657688,0.34867605042678335,0.39015074270173516,0.15625,0.5915050369949164,wilcoxon-signed-rank,0.15625,0.28125,0.792130514481817
CRC,JAK_STAT,intestinal crypt stem cell of colon,same-cell-type,16,21,20,0.06852884829095027,0.25179117936354584,0.22686873879458364,0.104583740234375,0.3822555647903495,wilcoxon-signed-rank,0.104583740234375,0.23531341552734375,0.792130514481817
CRC,JAK_STAT,malignant cell,same-cell-type,19,28,20,0.004576053666411839,0.24169597672630186,0.23685299669725043,0.5152778625488281,0.7143930376343264,wilcoxon-signed-rank,0.5152778625488281,0.661376953125,0.8036921673386171
CRC,JAK_STAT,secretory cell,same-cell-type,13,19,18,-0.005528671793214313,0.2602069555786437,0.24614592528545604,0.587890625,0.6161015112636354,wilcoxon-signed-rank,0.587890625,0.661376953125,0.792130514481817
CRC,JAK_STAT,tuft cell of colon,same-cell-type,11,16,18,0.14490145580335095,0.3787186397238294,0.32681624970667755,0.46484375,0.9449802043751696,wilcoxon-signed-rank,0.46484375,0.661376953125,0.9449802043751697
CRC,JAK_STAT,malignant cell vs BEST4+ colonocyte,cell-identity,0,28,16,nan,0.24169597672630186,0.32528951830499886,nan,0.0004227815109413188,mann-whitney (cell-identity contrast; unpaired),0.0004227815109413188,0.0012683445328239564,0.0012683445328239564
CRC,JAK_STAT,malignant cell vs colonocyte,cell-identity,0,28,20,nan,0.24169597672630186,0.2460476199357459,nan,0.45785645107132533,mann-whitney (cell-identity contrast; unpaired),0.45785645107132533,0.4578564510713254,0.4578564510713254
CRC,JAK_STAT,malignant cell vs early colonocyte,cell-identity,0,28,20,nan,0.24169597672630186,0.21388323076712695,nan,0.22918988375501026,mann-whitney (cell-identity contrast; unpaired),0.22918988375501026,0.3437848256325154,0.3437848256325154
CRC,SRC_FAK,BEST4+ colonocyte,same-cell-type,8,9,16,-0.007106062707320809,0.24591502397263273,0.2962515925021598,0.546875,0.3802071371873732,wilcoxon-signed-rank,0.546875,1.0,0.7681071416794246
CRC,SRC_FAK,colon goblet cell,same-cell-type,10,14,17,-0.004442297259951447,0.21335001901530504,0.20135037472028888,1.0,0.512071427786283,wilcoxon-signed-rank,1.0,1.0,0.7681071416794246
CRC,SRC_FAK,colonocyte,same-cell-type,13,14,20,-0.019603140166272293,0.23556714139279863,0.18279314131156288,0.946044921875,0.833689288638581,wilcoxon-signed-rank,0.946044921875,1.0,0.833689288638581
CRC,SRC_FAK,early colonocyte,same-cell-type,14,18,20,-0.014390638676449838,0.1907325063612039,0.21470422419946833,0.5830078125,0.24817518026555707,wilcoxon-signed-rank,0.5830078125,1.0,0.7445255407966712
CRC,SRC_FAK,enteroendocrine cell of colon,same-cell-type,6,9,15,0.04843056366428153,0.22241034634687284,0.27702436759100324,1.0,0.6332684348337247,wilcoxon-signed-rank,1.0,1.0,0.7794046220027936
CRC,SRC_FAK,intestinal crypt stem cell of colon,same-cell-type,16,21,20,0.09742096950521345,0.2737871640337887,0.21061696756768775,0.0506591796875,0.0217148891191954,wilcoxon-signed-rank,0.0506591796875,0.4559326171875,0.1954340020727586
CRC,SRC_FAK,malignant cell,same-cell-type,19,28,20,0.02954724045964205,0.23620204289122512,0.19890454937209248,0.21011734008789062,0.19840925222243067,wilcoxon-signed-rank,0.21011734008789062,0.9455280303955078,0.7445255407966712
CRC,SRC_FAK,secretory cell,same-cell-type,13,19,18,0.0011921730717085466,0.2174228791002035,0.21624078949444325,0.83935546875,0.6928041084469276,wilcoxon-signed-rank,0.83935546875,1.0,0.7794046220027936
CRC,SRC_FAK,tuft cell of colon,same-cell-type,11,16,18,0.048360012433221244,0.3180860435680435,0.2186620116853584,0.46484375,0.4781904212629382,wilcoxon-signed-rank,0.46484375,1.0,0.7681071416794246
CRC,SRC_FAK,malignant cell vs BEST4+ colonocyte,cell-identity,0,28,16,nan,0.23620204289122512,0.2962515925021598,nan,0.021135011133147256,mann-whitney (cell-identity contrast; unpaired),0.021135011133147256,0.06340503339944177,0.06340503339944177
CRC,SRC_FAK,malignant cell vs colonocyte,cell-identity,0,28,20,nan,0.23620204289122512,0.18279314131156288,nan,0.10508388345296737,mann-whitney (cell-identity contrast; unpaired),0.10508388345296737,0.15762582517945106,0.15762582517945106
CRC,SRC_FAK,malignant cell vs early colonocyte,cell-identity,0,28,20,nan,0.23620204289122512,0.21470422419946833,nan,0.5100675275575344,mann-whitney (cell-identity contrast; unpaired),0.5100675275575344,0.5100675275575344,0.5100675275575344
CRC,WNT_CTNNB1,BEST4+ colonocyte,same-cell-type,8,9,16,-0.0031266468076261156,0.4183040639869391,0.48475988332343867,0.9453125,0.3357379476605432,wilcoxon-signed-rank,0.9453125,0.9453125,0.4385301573907639
CRC,WNT_CTNNB1,colon goblet cell,same-cell-type,10,14,17,-0.11495627868583111,0.2529640335459024,0.32838563511650876,0.009765625,0.032056658619260006,wilcoxon-signed-rank,0.009765625,0.029296875,0.09616997585778002
CRC,WNT_CTNNB1,colonocyte,same-cell-type,13,14,20,0.03770118208119161,0.2971178124548887,0.2289880817414629,0.305419921875,0.24815280904783976,wilcoxon-signed-rank,0.305419921875,0.39268275669642855,0.4385301573907639
CRC,WNT_CTNNB1,early colonocyte,same-cell-type,14,18,20,-0.1206991793896105,0.3913222636673832,0.5177857900836617,0.0008544921875,0.0003055418952407917,wilcoxon-signed-rank,0.0008544921875,0.00384521484375,0.002749877057167125
CRC,WNT_CTNNB1,enteroendocrine cell of colon,same-cell-type,6,9,15,-0.036212452110790064,0.25849634408950806,0.26686317044768226,0.21875,0.9050512363887488,wilcoxon-signed-rank,0.21875,0.39268275669642855,0.9050512363887488
CRC,WNT_CTNNB1,intestinal crypt stem cell of colon,same-cell-type,16,21,20,0.15303104027953682,0.47711951453293416,0.39800606576691366,0.09344482421875,0.3410790113039275,wilcoxon-signed-rank,0.09344482421875,0.2102508544921875,0.4385301573907639
CRC,WNT_CTNNB1,malignant cell,same-cell-type,19,28,20,0.2378623908590478,0.698496942166918,0.43481017427343815,0.000335693359375,0.0017677719551072036,wilcoxon-signed-rank,0.000335693359375,0.003021240234375,0.007954973797982417
CRC,WNT_CTNNB1,secretory cell,same-cell-type,13,19,18,-0.02554154355950483,0.34420604918691544,0.3991098803159891,0.305419921875,0.1489146731787657,wilcoxon-signed-rank,0.305419921875,0.39268275669642855,0.3350580146522228
CRC,WNT_CTNNB1,tuft cell of colon,same-cell-type,11,16,18,-0.10110109780843443,0.2671203832162958,0.2980631417545578,0.4130859375,0.592221342041138,wilcoxon-signed-rank,0.4130859375,0.4647216796875,0.6662490097962802
CRC,WNT_CTNNB1,malignant cell vs BEST4+ colonocyte,cell-identity,0,28,16,nan,0.698496942166918,0.48475988332343867,nan,0.003838910992924945,mann-whitney (cell-identity contrast; unpaired),0.003838910992924945,0.003838910992924945,0.003838910992924945
CRC,WNT_CTNNB1,malignant cell vs colonocyte,cell-identity,0,28,20,nan,0.698496942166918,0.2289880817414629,nan,6.452360010171335e-08,mann-whitney (cell-identity contrast; unpaired),6.452360010171335e-08,1.9357080030514007e-07,1.9357080030514007e-07
CRC,WNT_CTNNB1,malignant cell vs early colonocyte,cell-identity,0,28,20,nan,0.698496942166918,0.5177857900836617,nan,0.002512724684929381,mann-whitney (cell-identity contrast; unpaired),0.002512724684929381,0.0037690870273940713,0.0037690870273940713
IBD,VEGF_PDGF_AXIS,T cell of anorectum,same-cell-type,0,12,6,nan,0.016991134419332754,0.01401481873063045,nan,0.33548804137039434,mann-whitney (unpaired; reported as such),0.33548804137039434,0.559146735617324,0.559146735617324
IBD,VEGF_PDGF_AXIS,colon epithelial cell,same-cell-type,0,12,6,nan,0.1316665396561579,0.13196725794226288,nan,0.8916181857358327,mann-whitney (unpaired; reported as such),0.8916181857358327,0.9635854341736694,0.9635854341736694
IBD,VEGF_PDGF_AXIS,myeloid cell,same-cell-type,0,12,6,nan,0.17275016298132473,0.15894769807733752,nan,0.9635854341736694,mann-whitney (unpaired; reported as such),0.9635854341736694,0.9635854341736694,0.9635854341736694
IBD,VEGF_PDGF_AXIS,plasma cell,same-cell-type,0,12,6,nan,0.03432289949223232,0.02806351684014904,nan,0.1797026502908856,mann-whitney (unpaired; reported as such),0.1797026502908856,0.44925662572721403,0.44925662572721403
IBD,VEGF_PDGF_AXIS,stromal cell of lamina propria of colon,same-cell-type,0,12,6,nan,0.28832713150359496,0.16324538425441254,nan,0.013466925231631115,mann-whitney (unpaired; reported as such),0.013466925231631115,0.06733462615815558,0.06733462615815558
IBD,HGF_MET_AXIS,T cell of anorectum,same-cell-type,0,12,6,nan,0.0005196894988058437,0.00027862491720806194,nan,0.3947683705715457,mann-whitney (unpaired; reported as such),0.3947683705715457,0.6579472842859094,0.6579472842859094
IBD,HGF_MET_AXIS,colon epithelial cell,same-cell-type,0,12,6,nan,0.12059878852945331,0.06384936193408607,nan,0.009696186166774402,mann-whitney (unpaired; reported as such),0.009696186166774402,0.04848093083387201,0.04848093083387201
IBD,HGF_MET_AXIS,myeloid cell,same-cell-type,0,12,6,nan,0.00879123256191232,0.009307829932429625,nan,0.7786177188876373,mann-whitney (unpaired; reported as such),0.7786177188876373,0.7786177188876373,0.7786177188876373
IBD,HGF_MET_AXIS,plasma cell,same-cell-type,0,12,6,nan,0.001941420532802715,0.0015853453839052617,nan,0.6057226196064835,mann-whitney (unpaired; reported as such),0.6057226196064835,0.7571532745081044,0.7571532745081044
