"accession","disease","module","left_out","n_genes","smd_loo"
"GSE41258","CRC","TGFB_SMAD","TGFBR1",4,-0.760112587966654
"GSE41258","CRC","TGFB_SMAD","TGFBR2",4,-0.191412657495699
"GSE41258","CRC","TGFB_SMAD","SMAD2",4,0.139309944450584
"GSE41258","CRC","TGFB_SMAD","SMAD3",4,-0.136505916212525
"GSE41258","CRC","TIE_ANGPT_AXIS","TEK",2,0.336950229814125
"GSE41258","CRC","TIE_ANGPT_AXIS","ANGPT1",2,0.247252182410533
"GSE41258","CRC","TIE_ANGPT_AXIS","ANGPT2",2,-1.39386886275455
"GSE41258","CRC","VEGF_PDGF_AXIS","FLT1",8,1.33098076552999
"GSE41258","CRC","VEGF_PDGF_AXIS","KDR",8,1.3150662482325
"GSE41258","CRC","VEGF_PDGF_AXIS","FLT4",8,1.22935986614284
"GSE41258","CRC","VEGF_PDGF_AXIS","VEGFA",8,0.874074817715533
"GSE41258","CRC","VEGF_PDGF_AXIS","VEGFB",8,1.191245387682
"GSE41258","CRC","VEGF_PDGF_AXIS","VEGFC",8,1.36864503786221
"GSE41258","CRC","VEGF_PDGF_AXIS","PGF",8,0.9811464495258
"GSE41258","CRC","VEGF_PDGF_AXIS","PDGFA",8,1.28637829562718
"GSE41258","CRC","VEGF_PDGF_AXIS","PDGFB",8,1.13463829840178
"GSE41258","CRC","WNT_CTNNB1","CTNNB1",2,3.08636180341301
"GSE41258","CRC","WNT_CTNNB1","MYC",2,2.67141442780251
"GSE41258","CRC","WNT_CTNNB1","CCND1",2,2.30390692222632
"GSE23878","CRC","EPH_RECEPTORS","EPHA1",3,1.10692696429079
"GSE23878","CRC","EPH_RECEPTORS","EPHA2",3,1.99215247632034
"GSE23878","CRC","EPH_RECEPTORS","EPHB2",3,1.53481205779323
"GSE23878","CRC","EPH_RECEPTORS","EPHB4",3,1.03171934471993
"GSE23878","CRC","ERBB_LIGANDS","EGF",5,-0.505593875615636
"GSE23878","CRC","ERBB_LIGANDS","TGFA",5,-0.457450693723465
"GSE23878","CRC","ERBB_LIGANDS","AREG",5,-0.840210782806595
"GSE23878","CRC","ERBB_LIGANDS","EREG",5,-0.979995133877011
"GSE23878","CRC","ERBB_LIGANDS","HBEGF",5,-0.489921818789333
"GSE23878","CRC","ERBB_LIGANDS","NRG1",5,-0.646176342192727
"GSE23878","CRC","ERBB_RECEPTORS","EGFR",3,0.0490758411160999
"GSE23878","CRC","ERBB_RECEPTORS","ERBB2",3,-0.112384715950076
"GSE23878","CRC","ERBB_RECEPTORS","ERBB3",3,-0.279743259480419
"GSE23878","CRC","ERBB_RECEPTORS","ERBB4",3,0.0481147822861661
"GSE23878","CRC","FGFR_AXIS","FGFR1",7,-1.90842566932224
"GSE23878","CRC","FGFR_AXIS","FGFR2",7,-1.4332995171931
"GSE23878","CRC","FGFR_AXIS","FGFR3",7,-1.57263812944786
"GSE23878","CRC","FGFR_AXIS","FGFR4",7,-2.14748107726032
"GSE23878","CRC","FGFR_AXIS","FGF1",7,-1.88080459545413
"GSE23878","CRC","FGFR_AXIS","FGF2",7,-1.71314617597512
"GSE23878","CRC","FGFR_AXIS","FGF7",7,-1.75803863117309
"GSE23878","CRC","FGFR_AXIS","FGF10",7,-1.77570864076384
"GSE23878","CRC","HGF_MET_AXIS","MET",2,-0.303607610054471
"GSE23878","CRC","HGF_MET_AXIS","MST1R",2,0.0971457334594424
"GSE23878","CRC","HGF_MET_AXIS","HGF",2,0.632545918585209
"GSE23878","CRC","IGF_INSR_AXIS","IGF1R",2,-1.27777917332998
"GSE23878","CRC","IGF_INSR_AXIS","INSR",2,-0.928862991006748
"GSE23878","CRC","IGF_INSR_AXIS","IGF1",2,-0.26002749000054
"GSE23878","CRC","JAK_STAT","JAK1",8,-0.380396507964338
"GSE23878","CRC","JAK_STAT","JAK2",8,-0.227705851984485
"GSE23878","CRC","JAK_STAT","JAK3",8,-0.4087626299094
"GSE23878","CRC","JAK_STAT","TYK2",8,-0.529469311631379
"GSE23878","CRC","JAK_STAT","STAT1",8,-0.386082975240773
"GSE23878","CRC","JAK_STAT","STAT3",8,-0.43317519863218
"GSE23878","CRC","JAK_STAT","STAT5A",8,-0.335507528386901
"GSE23878","CRC","JAK_STAT","STAT5B",8,-0.378576880109485
"GSE23878","CRC","JAK_STAT","STAT6",8,-0.436643651799734
"GSE23878","CRC","PDGFR_KIT_CSF1R","PDGFRA",4,-1.2425269431269
"GSE23878","CRC","PDGFR_KIT_CSF1R","PDGFRB",4,-1.81132538939992
"GSE23878","CRC","PDGFR_KIT_CSF1R","KIT",4,-0.722352562705167
"GSE23878","CRC","PDGFR_KIT_CSF1R","CSF1R",4,-0.976184493211275
"GSE23878","CRC","PDGFR_KIT_CSF1R","FLT3",4,-0.936577861005422
"GSE23878","CRC","PI3K_AKT","PIK3CA",8,0.0818866390794963
"GSE23878","CRC","PI3K_AKT","PIK3CB",8,-0.195602170053627
"GSE23878","CRC","PI3K_AKT","PIK3CD",8,-0.0399157706902574
"GSE23878","CRC","PI3K_AKT","AKT1",8,-0.166554344984523
"GSE23878","CRC","PI3K_AKT","AKT2",8,-0.35929743674157
"GSE23878","CRC","PI3K_AKT","PDPK1",8,-0.138748070960742
"GSE23878","CRC","PI3K_AKT","MTOR",8,-0.0850386897746927
"GSE23878","CRC","PI3K_AKT","RPTOR",8,-0.225621606976762
"GSE23878","CRC","PI3K_AKT","RPS6KB1",8,-0.0889627336456353
"GSE23878","CRC","RAS_MAPK","KRAS",11,0.168072473609768
"GSE23878","CRC","RAS_MAPK","NRAS",11,-0.00600126046711053
"GSE23878","CRC","RAS_MAPK","HRAS",11,-0.247376519732155
"GSE23878","CRC","RAS_MAPK","BRAF",11,0.0405233224931886
"GSE23878","CRC","RAS_MAPK","RAF1",11,0.0171022325342594
"GSE23878","CRC","RAS_MAPK","MAP2K1",11,-0.0953046176987983
"GSE23878","CRC","RAS_MAPK","MAP2K2",11,-0.0757398245218033
"GSE23878","CRC","RAS_MAPK","MAPK1",11,0.121600944143991
"GSE23878","CRC","RAS_MAPK","MAPK3",11,0.0878985594459849
"GSE23878","CRC","RAS_MAPK","DUSP6",11,0.0472748044857638
"GSE23878","CRC","RAS_MAPK","ETV4",11,-0.407324441117335
"GSE23878","CRC","RAS_MAPK","ETV5",11,-0.147175939255492
"GSE23878","CRC","RET_ALK_NTRK","RET",5,-0.652931615380865
"GSE23878","CRC","RET_ALK_NTRK","ALK",5,-0.783119494359553
"GSE23878","CRC","RET_ALK_NTRK","ROS1",5,-0.848794682255635
"GSE23878","CRC","RET_ALK_NTRK","NTRK1",5,-0.667598761392953
"GSE23878","CRC","RET_ALK_NTRK","NTRK2",5,-0.493299425600045
"GSE23878","CRC","RET_ALK_NTRK","NTRK3",5,-0.678470810431742
"GSE23878","CRC","SRC_FAK","SRC",4,-0.803058873035498
"GSE23878","CRC","SRC_FAK","FYN",4,-0.191362530721912
"GSE23878","CRC","SRC_FAK","YES1",4,-0.233088737830839
"GSE23878","CRC","SRC_FAK","PTK2",4,-0.831170413494592
"GSE23878","CRC","SRC_FAK","PTK2B",4,-0.187698464289055
"GSE23878","CRC","TAM_AXL_AXIS","AXL",2,0.229613891530208
"GSE23878","CRC","TAM_AXL_AXIS","TYRO3",2,-1.27457607274804
"GSE23878","CRC","TAM_AXL_AXIS","MERTK",2,-0.0652838346409976
"GSE23878","CRC","TGFB_SMAD","TGFB1",4,-0.973560120224732
"GSE23878","CRC","TGFB_SMAD","TGFBR1",4,-0.953121260054814
"GSE23878","CRC","TGFB_SMAD","TGFBR2",4,-0.829180682505518
"GSE23878","CRC","TGFB_SMAD","SMAD2",4,-0.597985275920425
"GSE23878","CRC","TGFB_SMAD","SMAD3",4,-0.83437811246196
"GSE23878","CRC","TIE_ANGPT_AXIS","TEK",2,0.246815740953397
"GSE23878","CRC","TIE_ANGPT_AXIS","ANGPT1",2,0.03139345950804
"GSE23878","CRC","TIE_ANGPT_AXIS","ANGPT2",2,-1.42102452855247
"GSE23878","CRC","VEGF_PDGF_AXIS","FLT1",8,0.51292965580923
"GSE23878","CRC","VEGF_PDGF_AXIS","KDR",8,0.549128221523625
"GSE23878","CRC","VEGF_PDGF_AXIS","FLT4",8,0.5202289228092
"GSE23878","CRC","VEGF_PDGF_AXIS","VEGFA",8,0.354146139100011
"GSE23878","CRC","VEGF_PDGF_AXIS","VEGFB",8,0.478956741710939
"GSE23878","CRC","VEGF_PDGF_AXIS","VEGFC",8,0.628983489512204
"GSE23878","CRC","VEGF_PDGF_AXIS","PGF",8,0.286362463374848
"GSE23878","CRC","VEGF_PDGF_AXIS","PDGFA",8,0.529240497143735
"GSE23878","CRC","VEGF_PDGF_AXIS","PDGFB",8,0.459071864668538
"GSE23878","CRC","WNT_CTNNB1","CTNNB1",3,2.4521366443205
"GSE23878","CRC","WNT_CTNNB1","AXIN2",3,1.55310575771438
"GSE23878","CRC","WNT_CTNNB1","MYC",3,1.87071142538301
"GSE23878","CRC","WNT_CTNNB1","CCND1",3,1.38850233069476
"GSE75214","IBD","EPH_RECEPTORS","EPHA1",3,-0.677890607903635
"GSE75214","IBD","EPH_RECEPTORS","EPHA2",3,-1.23096167754577
"GSE75214","IBD","EPH_RECEPTORS","EPHB2",3,-0.554333697923385
"GSE75214","IBD","EPH_RECEPTORS","EPHB4",3,-0.484642958166433
"GSE75214","IBD","ERBB_LIGANDS","EGF",5,0.711164987673549
"GSE75214","IBD","ERBB_LIGANDS","TGFA",5,0.687733867197674
"GSE75214","IBD","ERBB_LIGANDS","AREG",5,0.40495649624959
"GSE75214","IBD","ERBB_LIGANDS","EREG",5,0.497423369899549
"GSE75214","IBD","ERBB_LIGANDS","HBEGF",5,0.519033043525438
"GSE75214","IBD","ERBB_LIGANDS","NRG1",5,0.0655793954595884
"GSE75214","IBD","ERBB_RECEPTORS","EGFR",3,-1.43856746398847
"GSE75214","IBD","ERBB_RECEPTORS","ERBB2",3,-1.11461286476925
"GSE75214","IBD","ERBB_RECEPTORS","ERBB3",3,-1.38465075119217
"GSE75214","IBD","ERBB_RECEPTORS","ERBB4",3,-1.38794755255924
"GSE75214","IBD","FGFR_AXIS","FGFR1",7,-0.441386116219989
"GSE75214","IBD","FGFR_AXIS","FGFR2",7,0.427760571827625
"GSE75214","IBD","FGFR_AXIS","FGFR3",7,0.431861832488964
"GSE75214","IBD","FGFR_AXIS","FGFR4",7,0.113162799956838
"GSE75214","IBD","FGFR_AXIS","FGF1",7,-0.165294436994332
"GSE75214","IBD","FGFR_AXIS","FGF2",7,-0.654745171115285
"GSE75214","IBD","FGFR_AXIS","FGF7",7,-0.767443126157623
"GSE75214","IBD","FGFR_AXIS","FGF10",7,-0.618497172956569
"GSE75214","IBD","HGF_MET_AXIS","MET",2,2.0175805927283
"GSE75214","IBD","HGF_MET_AXIS","MST1R",2,2.15544146090725
"GSE75214","IBD","HGF_MET_AXIS","HGF",2,0.703722628538568
"GSE75214","IBD","IGF_INSR_AXIS","IGF1R",2,-0.750612865920322
"GSE75214","IBD","IGF_INSR_AXIS","INSR",2,-0.557438933516785
"GSE75214","IBD","IGF_INSR_AXIS","IGF1",2,-1.77068599276454
"GSE75214","IBD","JAK_STAT","JAK1",8,2.03498186973148
"GSE75214","IBD","JAK_STAT","JAK2",8,2.03571811962368
"GSE75214","IBD","JAK_STAT","JAK3",8,2.17801535530543
"GSE75214","IBD","JAK_STAT","TYK2",8,2.20239931190901
"GSE75214","IBD","JAK_STAT","STAT1",8,2.07509475940226
"GSE75214","IBD","JAK_STAT","STAT3",8,2.0249475977647
"GSE75214","IBD","JAK_STAT","STAT5A",8,2.30387642797128
"GSE75214","IBD","JAK_STAT","STAT5B",8,2.40282632300831
"GSE75214","IBD","JAK_STAT","STAT6",8,2.47662925514983
"GSE75214","IBD","PDGFR_KIT_CSF1R","PDGFRA",3,1.44300707650045
"GSE75214","IBD","PDGFR_KIT_CSF1R","KIT",3,1.34679923636035
"GSE75214","IBD","PDGFR_KIT_CSF1R","CSF1R",3,1.4586757201141
"GSE75214","IBD","PDGFR_KIT_CSF1R","FLT3",3,1.66693674814794
"GSE75214","IBD","PI3K_AKT","PIK3CA",8,-0.458697887982553
"GSE75214","IBD","PI3K_AKT","PIK3CB",8,-0.269155462044187
"GSE75214","IBD","PI3K_AKT","PIK3CD",8,-0.617814705434561
"GSE75214","IBD","PI3K_AKT","AKT1",8,-0.0361935449616865
"GSE75214","IBD","PI3K_AKT","AKT2",8,-0.347828299773942
"GSE75214","IBD","PI3K_AKT","PDPK1",8,0.047478722989923
"GSE75214","IBD","PI3K_AKT","MTOR",8,-0.495357595017245
"GSE75214","IBD","PI3K_AKT","RPTOR",8,-0.00207145550558518
"GSE75214","IBD","PI3K_AKT","RPS6KB1",8,-0.354422657353362
"GSE75214","IBD","RAS_MAPK","KRAS",9,0.538887568466547
"GSE75214","IBD","RAS_MAPK","NRAS",9,0.295796182444529
"GSE75214","IBD","RAS_MAPK","HRAS",9,0.443506620998824
"GSE75214","IBD","RAS_MAPK","MAP2K1",9,0.068296620665237
"GSE75214","IBD","RAS_MAPK","MAP2K2",9,0.431127882393865
"GSE75214","IBD","RAS_MAPK","MAPK1",9,0.43557146477501
"GSE75214","IBD","RAS_MAPK","MAPK3",9,0.536488310375475
"GSE75214","IBD","RAS_MAPK","DUSP6",9,0.108929245285875
"GSE75214","IBD","RAS_MAPK","ETV4",9,0.166310876046806
"GSE75214","IBD","RAS_MAPK","ETV5",9,-0.00491422657360028
"GSE75214","IBD","SRC_FAK","SRC",4,0.594541696091797
"GSE75214","IBD","SRC_FAK","FYN",4,-0.273750527834511
"GSE75214","IBD","SRC_FAK","YES1",4,0.252954367041186
"GSE75214","IBD","SRC_FAK","PTK2",4,0.997678997209863
"GSE75214","IBD","SRC_FAK","PTK2B",4,-0.207208058734821
"GSE75214","IBD","TAM_AXL_AXIS","AXL",2,0.460803730026877
"GSE75214","IBD","TAM_AXL_AXIS","TYRO3",2,0.536563699093461
"GSE75214","IBD","TAM_AXL_AXIS","MERTK",2,0.297013174629139
"GSE75214","IBD","TGFB_SMAD","TGFB1",4,0.685538859080222
"GSE75214","IBD","TGFB_SMAD","TGFBR1",4,1.02629461072517
"GSE75214","IBD","TGFB_SMAD","TGFBR2",4,0.782797112469788
"GSE75214","IBD","TGFB_SMAD","SMAD2",4,1.62092628148697
"GSE75214","IBD","TGFB_SMAD","SMAD3",4,0.932569126557553
"GSE75214","IBD","TIE_ANGPT_AXIS","TEK",2,0.94337968314679
"GSE75214","IBD","TIE_ANGPT_AXIS","ANGPT1",2,1.6543687182307
"GSE75214","IBD","TIE_ANGPT_AXIS","ANGPT2",2,0.7572968269113
"GSE75214","IBD","VEGF_PDGF_AXIS","FLT1",8,0.868345860690223
"GSE75214","IBD","VEGF_PDGF_AXIS","KDR",8,0.868270001719523
"GSE75214","IBD","VEGF_PDGF_AXIS","FLT4",8,1.16814340518128
"GSE75214","IBD","VEGF_PDGF_AXIS","VEGFA",8,0.87407977553668
"GSE75214","IBD","VEGF_PDGF_AXIS","VEGFB",8,1.24347956760847
"GSE75214","IBD","VEGF_PDGF_AXIS","VEGFC",8,1.07294655227593
"GSE75214","IBD","VEGF_PDGF_AXIS","PGF",8,1.05003748415023
"GSE75214","IBD","VEGF_PDGF_AXIS","PDGFA",8,1.24547840947511
"GSE75214","IBD","VEGF_PDGF_AXIS","PDGFB",8,1.12029797217286
"GSE75214","IBD","WNT_CTNNB1","CTNNB1",3,-1.14788563969987
"GSE75214","IBD","WNT_CTNNB1","AXIN2",3,0.146659272125333
"GSE75214","IBD","WNT_CTNNB1","MYC",3,-0.55169265941318
"GSE75214","IBD","WNT_CTNNB1","CCND1",3,-0.528329173944532
"GSE87473","IBD","EPH_RECEPTORS","EPHA1",3,0.333900141489535
"GSE87473","IBD","EPH_RECEPTORS","EPHA2",3,-0.394940797300215
"GSE87473","IBD","EPH_RECEPTORS","EPHB2",3,0.272581742351299
"GSE87473","IBD","EPH_RECEPTORS","EPHB4",3,0.285181786017044
"GSE87473","IBD","ERBB_LIGANDS","EGF",5,0.857623488117243
"GSE87473","IBD","ERBB_LIGANDS","TGFA",5,1.21730964651388
"GSE87473","IBD","ERBB_LIGANDS","AREG",5,0.561165016729844
"GSE87473","IBD","ERBB_LIGANDS","EREG",5,0.884734418930955
"GSE87473","IBD","ERBB_LIGANDS","HBEGF",5,0.799763370494496
"GSE87473","IBD","ERBB_LIGANDS","NRG1",5,0.571142790067611
"GSE87473","IBD","ERBB_RECEPTORS","EGFR",3,-1.39986798536454
"GSE87473","IBD","ERBB_RECEPTORS","ERBB2",3,-1.20387919464122
"GSE87473","IBD","ERBB_RECEPTORS","ERBB3",3,-0.741413109357868
"GSE87473","IBD","ERBB_RECEPTORS","ERBB4",3,-0.854588142849697
"GSE87473","IBD","FGFR_AXIS","FGFR1",7,-1.06083475004962
"GSE87473","IBD","FGFR_AXIS","FGFR2",7,0.154268431354323
"GSE87473","IBD","FGFR_AXIS","FGFR3",7,0.0861040244158463
"GSE87473","IBD","FGFR_AXIS","FGFR4",7,-0.222537116562253
"GSE87473","IBD","FGFR_AXIS","FGF1",7,-0.693302313606355
"GSE87473","IBD","FGFR_AXIS","FGF2",7,-0.723227970482304
"GSE87473","IBD","FGFR_AXIS","FGF7",7,-0.985399937097166
"GSE87473","IBD","FGFR_AXIS","FGF10",7,-0.743841361052609
"GSE87473","IBD","HGF_MET_AXIS","MET",2,0.660250355257747
"GSE87473","IBD","HGF_MET_AXIS","MST1R",2,1.63042277216677
"GSE87473","IBD","HGF_MET_AXIS","HGF",2,0.402478387506947
"GSE87473","IBD","IGF_INSR_AXIS","IGF1R",2,-1.27813769122228
"GSE87473","IBD","IGF_INSR_AXIS","INSR",2,-0.023521440979375
"GSE87473","IBD","IGF_INSR_AXIS","IGF1",2,-0.908376743460099
"GSE87473","IBD","JAK_STAT","JAK1",8,1.86268287638066
"GSE87473","IBD","JAK_STAT","JAK2",8,1.81756774424535
"GSE87473","IBD","JAK_STAT","JAK3",8,1.78073798813204
"GSE87473","IBD","JAK_STAT","TYK2",8,2.11602567719443
"GSE87473","IBD","JAK_STAT","STAT1",8,1.88018822974284
"GSE87473","IBD","JAK_STAT","STAT3",8,1.72790326245359
"GSE87473","IBD","JAK_STAT","STAT5A",8,2.0495891874922
"GSE87473","IBD","JAK_STAT","STAT5B",8,2.00616954319013
"GSE87473","IBD","JAK_STAT","STAT6",8,2.12995061104766
"GSE87473","IBD","PDGFR_KIT_CSF1R","PDGFRA",4,1.28081215575955
"GSE87473","IBD","PDGFR_KIT_CSF1R","PDGFRB",4,0.978989226377182
"GSE87473","IBD","PDGFR_KIT_CSF1R","KIT",4,1.15470484780818
"GSE87473","IBD","PDGFR_KIT_CSF1R","CSF1R",4,1.00545630691777
"GSE87473","IBD","PDGFR_KIT_CSF1R","FLT3",4,0.779246199547037
"GSE87473","IBD","PI3K_AKT","PIK3CA",8,0.0151746920445939
"GSE87473","IBD","PI3K_AKT","PIK3CB",8,0.114882720551395
"GSE87473","IBD","PI3K_AKT","PIK3CD",8,-0.421644614573648
"GSE87473","IBD","PI3K_AKT","AKT1",8,0.239285396537935
"GSE87473","IBD","PI3K_AKT","AKT2",8,0.0133091818986142
"GSE87473","IBD","PI3K_AKT","PDPK1",8,0.41713145343551
"GSE87473","IBD","PI3K_AKT","MTOR",8,0.336530374236393
"GSE87473","IBD","PI3K_AKT","RPTOR",8,0.335665871406148
"GSE87473","IBD","PI3K_AKT","RPS6KB1",8,0.0714375124905326
"GSE87473","IBD","RAS_MAPK","KRAS",11,-0.477862943733803
"GSE87473","IBD","RAS_MAPK","NRAS",11,-0.432671276240045
"GSE87473","IBD","RAS_MAPK","HRAS",11,-0.440094085773693
"GSE87473","IBD","RAS_MAPK","BRAF",11,-0.516593230361487
"GSE87473","IBD","RAS_MAPK","RAF1",11,-0.541538570982503
"GSE87473","IBD","RAS_MAPK","MAP2K1",11,-0.543012577431101
"GSE87473","IBD","RAS_MAPK","MAP2K2",11,-0.46286844619249
"GSE87473","IBD","RAS_MAPK","MAPK1",11,-0.575075379278525
"GSE87473","IBD","RAS_MAPK","MAPK3",11,-0.2885453708577
"GSE87473","IBD","RAS_MAPK","DUSP6",11,-0.670210633181768
"GSE87473","IBD","RAS_MAPK","ETV4",11,-0.463207427599946
"GSE87473","IBD","RAS_MAPK","ETV5",11,-0.530565046534363
"GSE87473","IBD","RET_ALK_NTRK","RET",5,-0.555657425673353
"GSE87473","IBD","RET_ALK_NTRK","ALK",5,-0.594087944472661
"GSE87473","IBD","RET_ALK_NTRK","ROS1",5,-0.3661183739054
"GSE87473","IBD","RET_ALK_NTRK","NTRK1",5,-0.890334819952474
"GSE87473","IBD","RET_ALK_NTRK","NTRK2",5,-0.532144195664457
"GSE87473","IBD","RET_ALK_NTRK","NTRK3",5,-0.511486615815032
"GSE87473","IBD","SRC_FAK","SRC",4,0.116670847219911
"GSE87473","IBD","SRC_FAK","FYN",4,-0.31947883917273
"GSE87473","IBD","SRC_FAK","YES1",4,0.601166828983156
"GSE87473","IBD","SRC_FAK","PTK2",4,0.602841805541666
"GSE87473","IBD","SRC_FAK","PTK2B",4,0.163878663370396
"GSE87473","IBD","TAM_AXL_AXIS","AXL",2,0.536533747688899
"GSE87473","IBD","TAM_AXL_AXIS","TYRO3",2,0.161956484278718
"GSE87473","IBD","TAM_AXL_AXIS","MERTK",2,0.561009036460647
"GSE87473","IBD","TGFB_SMAD","TGFB1",4,0.446400740968446
"GSE87473","IBD","TGFB_SMAD","TGFBR1",4,1.2551444955807
"GSE87473","IBD","TGFB_SMAD","TGFBR2",4,0.909484779942468
"GSE87473","IBD","TGFB_SMAD","SMAD2",4,1.60775911220538
"GSE87473","IBD","TGFB_SMAD","SMAD3",4,0.776152169997404
"GSE87473","IBD","TIE_ANGPT_AXIS","TEK",2,0.558639219381874
"GSE87473","IBD","TIE_ANGPT_AXIS","ANGPT1",2,1.5222192513869
"GSE87473","IBD","TIE_ANGPT_AXIS","ANGPT2",2,0.406638783085102
"GSE87473","IBD","VEGF_PDGF_AXIS","FLT1",8,0.501208476280353
"GSE87473","IBD","VEGF_PDGF_AXIS","KDR",8,0.294869786908018
"GSE87473","IBD","VEGF_PDGF_AXIS","FLT4",8,0.515862211682317
"GSE87473","IBD","VEGF_PDGF_AXIS","VEGFA",8,0.401456921476794
"GSE87473","IBD","VEGF_PDGF_AXIS","VEGFB",8,0.55146389206656
"GSE87473","IBD","VEGF_PDGF_AXIS","VEGFC",8,0.315546127741573
"GSE87473","IBD","VEGF_PDGF_AXIS","PGF",8,0.433404086756096
"GSE87473","IBD","VEGF_PDGF_AXIS","PDGFA",8,0.711813123338547
"GSE87473","IBD","VEGF_PDGF_AXIS","PDGFB",8,0.602838492534289
"GSE87473","IBD","WNT_CTNNB1","CTNNB1",3,0.503362635029208
"GSE87473","IBD","WNT_CTNNB1","AXIN2",3,0.970974420766335
"GSE87473","IBD","WNT_CTNNB1","MYC",3,0.716917105297189
"GSE87473","IBD","WNT_CTNNB1","CCND1",3,0.497512424550506
"GSE179285","IBD","EPH_RECEPTORS","EPHA1",3,0.706397657262198
"GSE179285","IBD","EPH_RECEPTORS","EPHA2",3,0.0671805845565411
"GSE179285","IBD","EPH_RECEPTORS","EPHB2",3,0.465006478305994
"GSE179285","IBD","EPH_RECEPTORS","EPHB4",3,0.25900654312267
"GSE179285","IBD","ERBB_LIGANDS","EGF",5,0.322856631361741
"GSE179285","IBD","ERBB_LIGANDS","TGFA",5,0.839779134919112
"GSE179285","IBD","ERBB_LIGANDS","AREG",5,0.27301604784034
"GSE179285","IBD","ERBB_LIGANDS","EREG",5,0.540476204202722
"GSE179285","IBD","ERBB_LIGANDS","HBEGF",5,0.242501351467799
"GSE179285","IBD","ERBB_LIGANDS","NRG1",5,0.15748708921552
"GSE179285","IBD","ERBB_RECEPTORS","EGFR",3,-1.11726596870115
"GSE179285","IBD","ERBB_RECEPTORS","ERBB2",3,-1.18767679568429
"GSE179285","IBD","ERBB_RECEPTORS","ERBB3",3,-0.955131364256875
"GSE179285","IBD","ERBB_RECEPTORS","ERBB4",3,-0.968920114084099
"GSE179285","IBD","FGFR_AXIS","FGFR1",7,-0.113839458530167
"GSE179285","IBD","FGFR_AXIS","FGFR2",7,0.662176444799251
"GSE179285","IBD","FGFR_AXIS","FGFR3",7,0.772849007503866
"GSE179285","IBD","FGFR_AXIS","FGFR4",7,0.470442195599135
"GSE179285","IBD","FGFR_AXIS","FGF1",7,0.154289411241984
"GSE179285","IBD","FGFR_AXIS","FGF2",7,-0.225854471505592
"GSE179285","IBD","FGFR_AXIS","FGF7",7,-0.0530468615550025
"GSE179285","IBD","FGFR_AXIS","FGF10",7,0.0400517811551959
"GSE179285","IBD","HGF_MET_AXIS","MET",2,0.872100694836485
"GSE179285","IBD","HGF_MET_AXIS","MST1R",2,1.35891696207884
"GSE179285","IBD","HGF_MET_AXIS","HGF",2,0.619726095877295
"GSE179285","IBD","IGF_INSR_AXIS","IGF1R",3,-0.0959675859698872
"GSE179285","IBD","IGF_INSR_AXIS","INSR",3,0.00205108754159422
"GSE179285","IBD","IGF_INSR_AXIS","IGF1",3,-0.265984165088299
"GSE179285","IBD","IGF_INSR_AXIS","IGF2",3,-0.559013935900346
"GSE179285","IBD","JAK_STAT","JAK1",8,1.2395113139253
"GSE179285","IBD","JAK_STAT","JAK2",8,1.2424603135615
"GSE179285","IBD","JAK_STAT","JAK3",8,1.30255617320171
"GSE179285","IBD","JAK_STAT","TYK2",8,1.30913455137278
"GSE179285","IBD","JAK_STAT","STAT1",8,1.2466728710171
"GSE179285","IBD","JAK_STAT","STAT3",8,1.27664911847061
"GSE179285","IBD","JAK_STAT","STAT5A",8,1.23239068163928
"GSE179285","IBD","JAK_STAT","STAT5B",8,1.32507450496561
"GSE179285","IBD","JAK_STAT","STAT6",8,1.32087444426983
"GSE179285","IBD","PDGFR_KIT_CSF1R","PDGFRA",4,1.01893492480368
"GSE179285","IBD","PDGFR_KIT_CSF1R","PDGFRB",4,0.858535666471154
"GSE179285","IBD","PDGFR_KIT_CSF1R","KIT",4,1.04587308604967
"GSE179285","IBD","PDGFR_KIT_CSF1R","CSF1R",4,1.05594236694814
"GSE179285","IBD","PDGFR_KIT_CSF1R","FLT3",4,1.23940024381414
"GSE179285","IBD","PI3K_AKT","PIK3CA",8,0.0247336761434335
"GSE179285","IBD","PI3K_AKT","PIK3CB",8,0.0962233868038768
"GSE179285","IBD","PI3K_AKT","PIK3CD",8,-0.171457924117887
"GSE179285","IBD","PI3K_AKT","AKT1",8,0.0600453040639627
"GSE179285","IBD","PI3K_AKT","AKT2",8,-0.0353936328932057
"GSE179285","IBD","PI3K_AKT","PDPK1",8,0.360305451212678
"GSE179285","IBD","PI3K_AKT","MTOR",8,-0.102406734593198
"GSE179285","IBD","PI3K_AKT","RPTOR",8,0.149361482618205
"GSE179285","IBD","PI3K_AKT","RPS6KB1",8,-0.0406397234629562
"GSE179285","IBD","RAS_MAPK","KRAS",11,0.163022673652573
"GSE179285","IBD","RAS_MAPK","NRAS",11,0.159077510263643
"GSE179285","IBD","RAS_MAPK","HRAS",11,0.163117321836642
"GSE179285","IBD","RAS_MAPK","BRAF",11,0.139187308121773
"GSE179285","IBD","RAS_MAPK","RAF1",11,0.245986957978612
"GSE179285","IBD","RAS_MAPK","MAP2K1",11,-0.0638194727733035
"GSE179285","IBD","RAS_MAPK","MAP2K2",11,0.232853429564962
"GSE179285","IBD","RAS_MAPK","MAPK1",11,0.0468795618785357
"GSE179285","IBD","RAS_MAPK","MAPK3",11,0.270102419372377
"GSE179285","IBD","RAS_MAPK","DUSP6",11,-0.0373421125990884
