module,n,events,HR_uni,p_uni,HR_age_stage,p_age_stage,HR_age_stage_purity,p_age_stage_purity,n_purity,events_purity
EPH_RECEPTORS,177,93,1.495386695402191,0.0007023138814512228,1.3964705540264986,0.007390674835010773,1.3971926939606463,0.007871838231026185,174,93
ERBB_LIGANDS,177,93,1.5443992864088378,2.765190381155818e-05,1.5556623797016451,4.1447690279353606e-05,1.5655125894061057,4.1147564067574405e-05,174,93
ERBB_RECEPTORS,177,93,1.555366639488546,0.0001700845422872127,1.5044169780407728,0.0016750157461172947,1.5039354478121216,0.0017577359178226964,174,93
FGFR_AXIS,177,93,1.1413442960271556,0.20689370265486795,1.1181609320246488,0.2905932343342542,1.1312025152399823,0.35152121324152286,174,93
HGF_MET_AXIS,177,93,1.6359207635979243,0.0001151004752309358,1.6053992622525615,0.0009745292448867255,1.6638074079157257,0.0007775815340869157,174,93
IGF_INSR_AXIS,177,93,1.017779863610331,0.871411314535393,1.0375729224783174,0.7446278549160916,1.0039885581862147,0.9770637813878595,174,93
JAK_STAT,177,93,1.0848755473840308,0.45344369969202525,1.0712751080206708,0.518434210386592,1.0597286962632777,0.68554104322149,174,93
PDGFR_KIT_CSF1R,177,93,1.0955744157364111,0.3459689031740606,1.06942988471984,0.5172012685944496,1.0643704143650268,0.7014840248934713,174,93
PI3K_AKT,177,93,1.1408315269505374,0.24990316424706505,1.1334138179047235,0.2634244262712119,1.1419843551497268,0.31208017193659676,174,93
RAS_MAPK,177,93,1.3523663694883465,0.01938272945444742,1.3329325800011076,0.028496399082767014,1.3317546854545859,0.0307780363678795,174,93
RET_ALK_NTRK,177,93,0.7782552551529175,0.028152687869939963,0.7763415082285211,0.028776956446979533,0.702056907204955,0.008626944323246925,174,93
SRC_FAK,177,93,1.1768136302573864,0.16291769960037417,1.1713993257294035,0.1760713922175614,1.1767799554206126,0.20070532228695648,174,93
TAM_AXL_AXIS,177,93,1.2024295065432828,0.06424508094187777,1.154840984636114,0.176599316866914,1.2375724549327527,0.1636204234102302,174,93
TGFB_SMAD,177,93,1.3865422300328911,0.007359128606980895,1.3804569576575971,0.01218866020517168,1.5803474627873584,0.004777903395490954,174,93
TIE_ANGPT_AXIS,177,93,1.073531481742002,0.4766633416426367,1.1154864031201865,0.30046206835549494,1.1475261446602087,0.34753655480719936,174,93
VEGF_PDGF_AXIS,177,93,0.9826654850225696,0.8560698600306312,1.0545441591733946,0.5929954144928697,1.0361286095246245,0.7641293896301342,174,93
WNT_CTNNB1,177,93,1.3574090764163942,0.007874689836193577,1.2339019149616817,0.07503038659355761,1.2458411053835299,0.08349593483319219,174,93
