"disease","feature","n_cohorts","robust_consistent","n_fdr_raw","median_smd","composition_robust","direction_preserved","robust_xcell","k","est_REML","p_REML_KHNA","fdr","est_DL","p_DL","ci_lo","ci_hi","I2","n_analysed","n_fdr","median_d_adj","joint_robust","status","sc_hits","sc_celltypes","tcga_hr","tcga_fdr","ext_hr","ext_lo","ext_hi","ext_p","ext_fdr"
"Asthma","VEGF_PDGF_AXIS",3,FALSE,0,-0.360884358270201,FALSE,TRUE,FALSE,3,-0.31471404614266,0.17969426389859,0.355489873417567,-0.314198350088217,0.0407885211044435,-0.982290409511628,0.352862317226308,18.7223912262506,3,0,-0.421209075273873,FALSE,"estimated, not significant",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asthma","WNT_CTNNB1",3,FALSE,0,-0.543956488140338,FALSE,TRUE,FALSE,3,-0.546262811509623,0.0231152877975754,0.196479946279391,-0.546262811509623,3.89654185844984e-05,-0.909943251547228,-0.182582371472019,0,3,0,-0.373857536219896,FALSE,"estimated, not significant",NA,NA,NA,NA,NA,NA,NA,NA,NA
"COPD","EPH_RECEPTORS",2,FALSE,0,0.111513970674996,FALSE,TRUE,FALSE,2,0.0970774603705679,0.792245790976524,0.792245790976524,0.0970774603705678,0.735031587536848,-3.54754450251159,3.74169942325273,84.0920370884034,2,0,0.196835595071987,FALSE,"estimated, not significant",NA,NA,NA,NA,NA,NA,NA,NA,NA
"COPD","ERBB_LIGANDS",2,FALSE,0,-0.175917181302285,FALSE,FALSE,FALSE,2,-0.147717717302698,0.490152770450265,0.657425267648363,-0.147717717302698,0.302341766068762,-1.96746452436947,1.67202908976407,38.7042687611256,2,0,-0.183721246339894,FALSE,"estimated, not significant",NA,NA,NA,NA,NA,NA,NA,NA,NA
"COPD","ERBB_RECEPTORS",2,FALSE,0,-0.209793336198349,FALSE,TRUE,FALSE,2,-0.222636889891839,0.59685239098517,0.657425267648363,-0.222636889891839,0.462873185928059,-4.07603225787349,3.63075847808981,85.759790774265,2,0,0.045800293022015,FALSE,"estimated, not significant",NA,NA,NA,NA,NA,NA,NA,NA,NA
"COPD","FGFR_AXIS",2,FALSE,0,-0.212665570192707,FALSE,TRUE,FALSE,2,-0.194246903306511,0.549132372567781,0.657425267648363,-0.194246903306511,0.391754199971058,-3.07610626679461,2.68761246018159,74.6350117859836,2,0,0.030681858211695,FALSE,"estimated, not significant",NA,NA,NA,NA,NA,NA,NA,NA,NA
"COPD","HGF_MET_AXIS",1,FALSE,0,-0.690418164725269,FALSE,TRUE,FALSE,1,-0.69041718311288,0.000252361777881472,NA,-0.69041718311288,0.000252361777881472,-1.06015703033867,-0.320677335887088,0,1,0,-0.273002373106531,FALSE,"estimated, not significant",NA,NA,NA,NA,NA,NA,NA,NA,NA
"COPD","IGF_INSR_AXIS",2,FALSE,0,-0.21228656310764,FALSE,FALSE,FALSE,2,-0.197418942140403,0.613596916471805,0.657425267648363,-0.197418942140403,0.48742873118305,-3.80978955925304,3.41495167497224,83.7368253827188,2,0,-0.178363882592584,FALSE,"estimated, not significant",NA,NA,NA,NA,NA,NA,NA,NA,NA
"COPD","JAK_STAT",2,FALSE,0,0.301605411622243,FALSE,TRUE,FALSE,2,0.283539793410111,0.121508419016033,0.414562771060886,0.283539793410111,0.00912558177244574,-0.412565775473046,0.979645362293268,0,2,0,-0.017715739090393,FALSE,"estimated, not significant",NA,NA,NA,NA,NA,NA,NA,NA,NA
"COPD","PDGFR_KIT_CSF1R",2,FALSE,0,0.35443601201879,FALSE,TRUE,FALSE,2,0.37058626371144,0.363661025523047,0.606101709205078,0.37058626371144,0.119732385550451,-2.65579811585109,3.39697064327397,76.8893164924956,2,0,0.234451515286849,FALSE,"estimated, not significant",NA,NA,NA,NA,NA,NA,NA,NA,NA
