"disease","feature","n","positive","negative","n_fdr_adj","median_smd","consistency","robust_xcell"
"HCC","PDGFR_KIT_CSF1R",2,1,1,0,-0.196258534999588,0.5,FALSE
"HCC","PI3K_AKT",2,1,1,1,0.448671228688745,0.5,FALSE
"HCC","RAS_MAPK",2,2,0,0,0.15673386412462,1,FALSE
"HCC","RET_ALK_NTRK",2,0,2,0,-0.402983936541449,1,FALSE
"HCC","SRC_FAK",2,0,2,1,-0.496693238073792,1,FALSE
"HCC","TAM_AXL_AXIS",2,1,1,0,-0.357600714528184,0.5,FALSE
"HCC","TGFB_SMAD",2,2,0,1,0.549516856956907,1,FALSE
"HCC","TIE_ANGPT_AXIS",2,1,1,0,-0.481657434058278,0.5,FALSE
"HCC","VEGF_PDGF_AXIS",2,1,1,0,-0.310577745374532,0.5,FALSE
"HCC","WNT_CTNNB1",2,2,0,0,0.294704997983723,1,FALSE
"IBD","EPH_RECEPTORS",3,1,2,0,-0.139234179951781,0.666666666666667,FALSE
"IBD","ERBB_LIGANDS",3,3,0,1,0.0636590439600168,1,FALSE
"IBD","ERBB_RECEPTORS",3,0,3,0,-0.198211127716047,1,FALSE
"IBD","FGFR_AXIS",3,0,3,0,-0.266891041572912,1,FALSE
"IBD","HGF_MET_AXIS",3,3,0,0,0.532590097607243,1,FALSE
"IBD","IGF_INSR_AXIS",3,0,3,0,-0.319568245709617,1,FALSE
"IBD","JAK_STAT",3,3,0,1,0.571910034321508,1,FALSE
"IBD","PDGFR_KIT_CSF1R",3,3,0,0,0.286912093272134,1,FALSE
"IBD","PI3K_AKT",3,1,2,0,-0.0247014470375646,0.666666666666667,FALSE
"IBD","RAS_MAPK",3,2,1,0,0.32107216428542,0.666666666666667,FALSE
"IBD","RET_ALK_NTRK",2,2,0,0,0.27880067163571,1,FALSE
"IBD","SRC_FAK",3,3,0,0,0.333696365696779,1,FALSE
"IBD","TAM_AXL_AXIS",3,1,2,0,-0.0674246968455107,0.666666666666667,FALSE
"IBD","TGFB_SMAD",3,2,1,0,0.264874386143545,0.666666666666667,FALSE
"IBD","TIE_ANGPT_AXIS",3,2,1,0,0.0324663651017211,0.666666666666667,FALSE
"IBD","VEGF_PDGF_AXIS",3,1,2,0,-0.0886055248754435,0.666666666666667,FALSE
"IBD","WNT_CTNNB1",3,2,1,1,0.145374023785202,0.666666666666667,FALSE
"LUAD","EPH_RECEPTORS",3,3,0,0,0.114499907989685,1,FALSE
"LUAD","ERBB_LIGANDS",3,3,0,0,0.0143073445776347,1,FALSE
