module_a,module_b,shared_genes,jaccard
RAS_MAPK,RET_ALK_NTRK,0,0.0
RAS_MAPK,SRC_FAK,0,0.0
RAS_MAPK,TAM_AXL_AXIS,0,0.0
RAS_MAPK,TGFB_SMAD,0,0.0
RAS_MAPK,TIE_ANGPT_AXIS,0,0.0
RAS_MAPK,VEGF_PDGF_AXIS,0,0.0
RAS_MAPK,WNT_CTNNB1,0,0.0
RET_ALK_NTRK,SRC_FAK,0,0.0
RET_ALK_NTRK,TAM_AXL_AXIS,0,0.0
RET_ALK_NTRK,TGFB_SMAD,0,0.0
RET_ALK_NTRK,TIE_ANGPT_AXIS,0,0.0
RET_ALK_NTRK,VEGF_PDGF_AXIS,0,0.0
RET_ALK_NTRK,WNT_CTNNB1,0,0.0
SRC_FAK,TAM_AXL_AXIS,0,0.0
SRC_FAK,TGFB_SMAD,0,0.0
SRC_FAK,TIE_ANGPT_AXIS,0,0.0
SRC_FAK,VEGF_PDGF_AXIS,0,0.0
SRC_FAK,WNT_CTNNB1,0,0.0
TAM_AXL_AXIS,TGFB_SMAD,0,0.0
TAM_AXL_AXIS,TIE_ANGPT_AXIS,0,0.0
TAM_AXL_AXIS,VEGF_PDGF_AXIS,0,0.0
TAM_AXL_AXIS,WNT_CTNNB1,0,0.0
TGFB_SMAD,TIE_ANGPT_AXIS,0,0.0
TGFB_SMAD,VEGF_PDGF_AXIS,0,0.0
TGFB_SMAD,WNT_CTNNB1,0,0.0
TIE_ANGPT_AXIS,VEGF_PDGF_AXIS,0,0.0
TIE_ANGPT_AXIS,WNT_CTNNB1,0,0.0
VEGF_PDGF_AXIS,WNT_CTNNB1,0,0.0
