"disease","feature","k","n_pos","n_neg","frac_majority","median_yi","I2","direction_consistent","concordance"
"ESCC","PI3K_AKT",2,1,1,0.5,0.342724656239745,NA,FALSE,0.5
"ESCC","RAS_MAPK",2,0,2,1,-0.516530823825713,NA,TRUE,1
"ESCC","RET_ALK_NTRK",2,0,2,1,-0.383958310455718,NA,TRUE,1
"ESCC","SRC_FAK",2,2,0,1,1.47290870668537,NA,TRUE,1
"ESCC","TAM_AXL_AXIS",2,0,2,1,-0.741885607176486,NA,TRUE,1
"ESCC","TGFB_SMAD",2,2,0,1,0.441758035989647,NA,TRUE,1
"ESCC","TIE_ANGPT_AXIS",2,2,0,1,0.491102337930882,NA,TRUE,1
"ESCC","VEGF_PDGF_AXIS",2,2,0,1,1.12640588147108,NA,TRUE,1
"ESCC","WNT_CTNNB1",2,2,0,1,0.530066061138742,NA,TRUE,1
"HCC","EPH_RECEPTORS",2,0,2,1,-0.291620830349473,NA,TRUE,1
"HCC","ERBB_LIGANDS",2,0,2,1,-0.896738470800045,NA,TRUE,1
"HCC","ERBB_RECEPTORS",2,0,2,1,-0.493568771637505,NA,TRUE,1
"HCC","FGFR_AXIS",2,0,2,1,-0.559253321030071,NA,TRUE,1
"HCC","HGF_MET_AXIS",2,0,2,1,-0.728401303331641,NA,TRUE,1
"HCC","IGF_INSR_AXIS",2,0,2,1,-1.07107376581111,NA,TRUE,1
"HCC","JAK_STAT",2,2,0,1,0.825190738907092,NA,TRUE,1
"HCC","PDGFR_KIT_CSF1R",2,1,1,0.5,-0.0632752024685216,NA,FALSE,0.5
"HCC","PI3K_AKT",2,2,0,1,1.0077340316132,NA,TRUE,1
"HCC","RAS_MAPK",2,2,0,1,0.923853167096073,NA,TRUE,1
"HCC","RET_ALK_NTRK",2,0,2,1,-1.20981084804235,NA,TRUE,1
"HCC","SRC_FAK",2,0,2,1,-0.975396151210008,NA,TRUE,1
"HCC","TAM_AXL_AXIS",2,0,2,1,-0.508023186457774,NA,TRUE,1
"HCC","TGFB_SMAD",2,2,0,1,1.13776088238036,NA,TRUE,1
"HCC","TIE_ANGPT_AXIS",2,2,0,1,0.277912389528533,NA,TRUE,1
"HCC","VEGF_PDGF_AXIS",2,2,0,1,0.634405795526194,NA,TRUE,1
"HCC","WNT_CTNNB1",2,1,1,0.5,0.430289986496672,NA,FALSE,0.5
"IBD","EPH_RECEPTORS",3,1,2,0.666666666666667,-0.307036459738111,NA,FALSE,0.666666666666667
"IBD","ERBB_LIGANDS",3,2,1,0.666666666666667,0.575605226724115,NA,FALSE,0.666666666666667
"IBD","ERBB_RECEPTORS",3,0,3,1,-1.48632216678669,NA,TRUE,1
"IBD","FGFR_AXIS",3,1,2,0.666666666666667,-0.208882596446265,NA,FALSE,0.666666666666667
"IBD","HGF_MET_AXIS",3,3,0,1,1.63981161314052,NA,TRUE,1
"IBD","IGF_INSR_AXIS",3,0,3,1,-0.510823711245223,NA,TRUE,1
"IBD","JAK_STAT",3,3,0,1,2.29816360616579,NA,TRUE,1
"IBD","PDGFR_KIT_CSF1R",3,3,0,1,1.89068422122036,NA,TRUE,1
"IBD","PI3K_AKT",3,2,1,0.666666666666667,0.110872669452224,NA,FALSE,0.666666666666667
"IBD","RAS_MAPK",3,2,1,0.666666666666667,0.0845079768760475,NA,FALSE,0.666666666666667
"IBD","RET_ALK_NTRK",2,1,1,0.5,-0.161926088185575,NA,FALSE,0.5
"IBD","SRC_FAK",3,3,0,1,0.459245013229961,NA,TRUE,1
"IBD","TAM_AXL_AXIS",3,3,0,1,0.926931572142842,NA,TRUE,1
"IBD","TGFB_SMAD",3,3,0,1,1.02321420620339,NA,TRUE,1
"IBD","TIE_ANGPT_AXIS",3,3,0,1,1.54998187176429,NA,TRUE,1
"IBD","VEGF_PDGF_AXIS",3,3,0,1,1.4694668037351,NA,TRUE,1
"IBD","WNT_CTNNB1",3,1,2,0.666666666666667,-0.111578225649069,NA,FALSE,0.666666666666667
"LUAD","EPH_RECEPTORS",3,3,0,1,1.56624040476484,NA,TRUE,1
"LUAD","ERBB_LIGANDS",3,1,2,0.666666666666667,-0.099544661100407,NA,FALSE,0.666666666666667
"LUAD","ERBB_RECEPTORS",3,3,0,1,0.568003098918293,NA,TRUE,1
"LUAD","FGFR_AXIS",3,0,3,1,-1.96775208368169,NA,TRUE,1
"LUAD","HGF_MET_AXIS",3,3,0,1,0.618833094854252,NA,TRUE,1
"LUAD","IGF_INSR_AXIS",3,0,3,1,-0.469480045870841,NA,TRUE,1
"LUAD","JAK_STAT",3,0,3,1,-1.07040139330857,NA,TRUE,1
"LUAD","PDGFR_KIT_CSF1R",3,0,3,1,-1.09911350896816,NA,TRUE,1
"LUAD","PI3K_AKT",3,2,1,0.666666666666667,0.613544892801711,NA,FALSE,0.666666666666667
"LUAD","RAS_MAPK",3,2,1,0.666666666666667,0.275655952137415,NA,FALSE,0.666666666666667
"LUAD","RET_ALK_NTRK",3,0,3,1,-1.14081052763386,NA,TRUE,1
"LUAD","SRC_FAK",3,1,2,0.666666666666667,-0.405399246330171,NA,FALSE,0.666666666666667
"LUAD","TAM_AXL_AXIS",3,0,3,1,-0.370492948007256,NA,TRUE,1
"LUAD","TGFB_SMAD",3,0,3,1,-0.746275289514934,NA,TRUE,1
"LUAD","TIE_ANGPT_AXIS",3,0,3,1,-1.94591933881294,NA,TRUE,1
"LUAD","VEGF_PDGF_AXIS",3,0,3,1,-1.05540537403467,NA,TRUE,1
"LUAD","WNT_CTNNB1",3,1,2,0.666666666666667,-1.09463315801825,NA,FALSE,0.666666666666667
"NAFLD","EPH_RECEPTORS",2,1,1,0.5,-0.117092426198934,NA,FALSE,0.5
"NAFLD","ERBB_LIGANDS",2,1,1,0.5,0.184967373366557,NA,FALSE,0.5
"NAFLD","ERBB_RECEPTORS",2,1,1,0.5,-0.0793268583819835,NA,FALSE,0.5
"NAFLD","FGFR_AXIS",2,1,1,0.5,-0.0427390719519715,NA,FALSE,0.5
"NAFLD","HGF_MET_AXIS",2,0,2,1,-0.200977561252971,NA,TRUE,1
"NAFLD","IGF_INSR_AXIS",2,0,2,1,-1.05327116396899,NA,TRUE,1
"NAFLD","JAK_STAT",2,1,1,0.5,0.00889157647151101,NA,FALSE,0.5
"NAFLD","PDGFR_KIT_CSF1R",2,1,1,0.5,0.171621499976349,NA,FALSE,0.5
"NAFLD","PI3K_AKT",2,0,2,1,-0.311978576160597,NA,TRUE,1
"NAFLD","RAS_MAPK",2,1,1,0.5,0.475711496144778,NA,FALSE,0.5
"NAFLD","RET_ALK_NTRK",1,0,1,1,-0.404519329702835,NA,TRUE,1
"NAFLD","SRC_FAK",2,1,1,0.5,-0.043337634269047,NA,FALSE,0.5
"NAFLD","TAM_AXL_AXIS",2,0,2,1,-0.417236952952618,NA,TRUE,1
"NAFLD","TGFB_SMAD",2,0,2,1,-0.663989720700235,NA,TRUE,1
"NAFLD","TIE_ANGPT_AXIS",2,1,1,0.5,0.15509931234991,NA,FALSE,0.5
"NAFLD","VEGF_PDGF_AXIS",2,1,1,0.5,0.191191484655305,NA,FALSE,0.5
"NAFLD","WNT_CTNNB1",2,2,0,1,0.0836727701782249,NA,TRUE,1
"PAAD","EPH_RECEPTORS",3,3,0,1,1.37797812937566,NA,TRUE,1
"PAAD","ERBB_LIGANDS",3,3,0,1,0.529634785237275,NA,TRUE,1
"PAAD","ERBB_RECEPTORS",3,2,1,0.666666666666667,0.258460730563867,NA,FALSE,0.666666666666667
"PAAD","FGFR_AXIS",3,1,2,0.666666666666667,-0.562220693905926,NA,FALSE,0.666666666666667
"PAAD","HGF_MET_AXIS",3,3,0,1,1.44682754665214,NA,TRUE,1
"PAAD","IGF_INSR_AXIS",3,1,2,0.666666666666667,-0.890656956728741,NA,FALSE,0.666666666666667
"PAAD","JAK_STAT",3,3,0,1,0.523840915957077,NA,TRUE,1
"PAAD","PDGFR_KIT_CSF1R",3,1,2,0.666666666666667,-0.245330825755366,NA,FALSE,0.666666666666667
"PAAD","PI3K_AKT",3,3,0,1,0.302865471774984,NA,TRUE,1
"PAAD","RAS_MAPK",3,3,0,1,1.19253268717482,NA,TRUE,1
"PAAD","RET_ALK_NTRK",1,0,1,1,-1.07792776471148,NA,TRUE,1
"PAAD","SRC_FAK",3,2,1,0.666666666666667,0.863204783653169,NA,FALSE,0.666666666666667
"PAAD","TAM_AXL_AXIS",3,1,2,0.666666666666667,-0.257534478390235,NA,FALSE,0.666666666666667
"PAAD","TGFB_SMAD",3,3,0,1,0.782562077034946,NA,TRUE,1
"PAAD","TIE_ANGPT_AXIS",3,3,0,1,0.12154470917775,NA,TRUE,1
"PAAD","VEGF_PDGF_AXIS",3,3,0,1,0.0431265004342576,NA,TRUE,1
"PAAD","WNT_CTNNB1",3,3,0,1,0.851786885759141,NA,TRUE,1
"STAD","EPH_RECEPTORS",3,3,0,1,1.72081822362867,NA,TRUE,1
"STAD","ERBB_LIGANDS",3,1,2,0.666666666666667,-0.201150029871958,NA,FALSE,0.666666666666667
"STAD","ERBB_RECEPTORS",3,1,2,0.666666666666667,-0.354295038472236,NA,FALSE,0.666666666666667
"STAD","FGFR_AXIS",3,1,2,0.666666666666667,-0.0708348731749722,NA,FALSE,0.666666666666667
"STAD","HGF_MET_AXIS",3,3,0,1,0.711667651038638,NA,TRUE,1
"STAD","IGF_INSR_AXIS",3,2,1,0.666666666666667,0.0417897205384416,NA,FALSE,0.666666666666667
