context,module,cell_type,comparison_type,n_donors_a,n_donors_b,n_overlap_donors,n_pairs,median_diff,mean_a,mean_b,p_paired,p_unpaired,test_used,p_used,fdr
CRC,VEGF_PDGF_AXIS,BEST4+ colonocyte,tumour-vs-adjacent,9,16,8,8,0.0485135939904526,0.17615301555383228,0.18607311182308214,0.84375,nan,wilcoxon-signed-rank (paired donors),0.84375,0.94921875
CRC,VEGF_PDGF_AXIS,colon goblet cell,tumour-vs-adjacent,14,17,10,10,-0.02667897666226518,0.15503055198723897,0.15869676760119406,0.232421875,nan,wilcoxon-signed-rank (paired donors),0.232421875,0.298828125
CRC,VEGF_PDGF_AXIS,colonocyte,tumour-vs-adjacent,14,20,13,13,0.06265852017247159,0.16553353292994805,0.08711762936594339,0.001708984375,nan,wilcoxon-signed-rank (paired donors),0.001708984375,0.0076904296875
CRC,VEGF_PDGF_AXIS,early colonocyte,tumour-vs-adjacent,18,20,14,14,0.07305532871693678,0.13789180075649404,0.07937357516512003,0.0001220703125,nan,wilcoxon-signed-rank (paired donors),0.0001220703125,0.0010986328125
CRC,VEGF_PDGF_AXIS,enteroendocrine cell of colon,tumour-vs-adjacent,9,15,6,6,0.01468202478385397,0.20457118418481615,0.17060554035006373,1.0,nan,wilcoxon-signed-rank (paired donors),1.0,1.0
CRC,VEGF_PDGF_AXIS,intestinal crypt stem cell of colon,tumour-vs-adjacent,21,20,16,16,0.08117700903596711,0.1619247317469802,0.08791888287255119,0.009185791015625,nan,wilcoxon-signed-rank (paired donors),0.009185791015625,0.018896484375
CRC,VEGF_PDGF_AXIS,malignant cell,tumour-vs-adjacent,28,20,19,19,0.08619671127065415,0.1763520680396234,0.10505216877675108,0.0033416748046875,nan,wilcoxon-signed-rank (paired donors),0.0033416748046875,0.0100250244140625
CRC,VEGF_PDGF_AXIS,secretory cell,tumour-vs-adjacent,19,18,13,13,0.02900991088362656,0.11649689767116432,0.0918446039447118,0.010498046875,nan,wilcoxon-signed-rank (paired donors),0.010498046875,0.018896484375
CRC,VEGF_PDGF_AXIS,tuft cell of colon,tumour-vs-adjacent,16,18,11,11,0.09474703669548035,0.19951293967520545,0.15251459602932055,0.0673828125,nan,wilcoxon-signed-rank (paired donors),0.0673828125,0.10107421875
CRC,VEGF_PDGF_AXIS,malignant cell vs BEST4+ colonocyte,cell-identity,28,16,16,0,nan,0.1763520680396234,0.18607311182308214,nan,0.2776166836902608,mann-whitney (cell-identity; unpaired),0.2776166836902608,0.2776166836902608
CRC,VEGF_PDGF_AXIS,malignant cell vs colonocyte,cell-identity,28,20,20,0,nan,0.1763520680396234,0.08711762936594339,nan,9.395335375356418e-07,mann-whitney (cell-identity; unpaired),9.395335375356418e-07,1.8790670750712836e-06
CRC,VEGF_PDGF_AXIS,malignant cell vs early colonocyte,cell-identity,28,20,20,0,nan,0.1763520680396234,0.07937357516512003,nan,7.249412946708817e-08,mann-whitney (cell-identity; unpaired),7.249412946708817e-08,2.899765178683527e-07
CRC,VEGF_PDGF_AXIS,malignant cell vs secretory cell,cell-identity,28,18,18,0,nan,0.1763520680396234,0.0918446039447118,nan,2.4134039921577795e-06,mann-whitney (cell-identity; unpaired),2.4134039921577795e-06,3.217871989543706e-06
CRC,HGF_MET_AXIS,BEST4+ colonocyte,tumour-vs-adjacent,9,16,8,8,-0.057118068271656094,0.028959817218600734,0.15071442283152853,0.1484375,nan,wilcoxon-signed-rank (paired donors),0.1484375,0.333984375
CRC,HGF_MET_AXIS,colon goblet cell,tumour-vs-adjacent,14,17,10,10,-0.056767459350771377,0.14714460995119014,0.18937631368106247,0.064453125,nan,wilcoxon-signed-rank (paired donors),0.064453125,0.193359375
CRC,HGF_MET_AXIS,colonocyte,tumour-vs-adjacent,14,20,13,13,0.00881533973294693,0.17499311554263025,0.09444233108607608,0.635498046875,nan,wilcoxon-signed-rank (paired donors),0.635498046875,0.8043757365241004
CRC,HGF_MET_AXIS,early colonocyte,tumour-vs-adjacent,18,20,14,14,0.03737534154298728,0.1307128699360733,0.10548694317733384,0.0166015625,nan,wilcoxon-signed-rank (paired donors),0.0166015625,0.07470703125
CRC,HGF_MET_AXIS,enteroendocrine cell of colon,tumour-vs-adjacent,9,15,6,6,-0.016039115935564043,0.032653309404850006,0.02423678734612585,0.7150006546880893,nan,wilcoxon-signed-rank (paired donors),0.7150006546880893,0.8043757365241004
CRC,HGF_MET_AXIS,intestinal crypt stem cell of colon,tumour-vs-adjacent,21,20,16,16,-0.021150842575686092,0.08456551289915731,0.07766118010212775,0.979949951171875,nan,wilcoxon-signed-rank (paired donors),0.979949951171875,0.979949951171875
CRC,HGF_MET_AXIS,malignant cell,tumour-vs-adjacent,28,20,19,19,0.0884068901184128,0.2082022447721879,0.12901070017419347,0.002399444580078125,nan,wilcoxon-signed-rank (paired donors),0.002399444580078125,0.021595001220703125
CRC,HGF_MET_AXIS,secretory cell,tumour-vs-adjacent,19,18,13,13,-0.029393238718338432,0.0867050729003148,0.140433265639092,0.497314453125,nan,wilcoxon-signed-rank (paired donors),0.497314453125,0.7459716796875
CRC,HGF_MET_AXIS,tuft cell of colon,tumour-vs-adjacent,16,18,11,11,0.0,0.12273893626704035,0.05053041459929979,0.23672357063785732,nan,wilcoxon-signed-rank (paired donors),0.23672357063785732,0.42610242714814317
CRC,HGF_MET_AXIS,malignant cell vs BEST4+ colonocyte,cell-identity,28,16,16,0,nan,0.2082022447721879,0.15071442283152853,nan,0.014208482470532934,mann-whitney (cell-identity; unpaired),0.014208482470532934,0.01894464329404391
CRC,HGF_MET_AXIS,malignant cell vs colonocyte,cell-identity,28,20,20,0,nan,0.2082022447721879,0.09444233108607608,nan,0.00022329188894647858,mann-whitney (cell-identity; unpaired),0.00022329188894647858,0.0007863933351138713
CRC,HGF_MET_AXIS,malignant cell vs early colonocyte,cell-identity,28,20,20,0,nan,0.2082022447721879,0.10548694317733384,nan,0.0003931966675569356,mann-whitney (cell-identity; unpaired),0.0003931966675569356,0.0007863933351138713
CRC,HGF_MET_AXIS,malignant cell vs secretory cell,cell-identity,28,18,18,0,nan,0.2082022447721879,0.140433265639092,nan,0.04638094131066185,mann-whitney (cell-identity; unpaired),0.04638094131066185,0.04638094131066185
CRC,EPH_RECEPTORS,BEST4+ colonocyte,tumour-vs-adjacent,9,16,8,8,-0.07298448733536894,0.07169444330986435,0.15433295824201365,0.0234375,nan,wilcoxon-signed-rank (paired donors),0.0234375,0.052734375
CRC,EPH_RECEPTORS,colon goblet cell,tumour-vs-adjacent,14,17,10,10,-0.030659447211156304,0.031910155765151396,0.07687070032934538,0.013671875,nan,wilcoxon-signed-rank (paired donors),0.013671875,0.052734375
