context,module,cell_type,comparison_type,n_donors_a,n_donors_b,n_overlap_donors,median_diff,test_used,p_used,fdr_family,fdr_global
CRC,HGF_MET_AXIS,BEST4+ colonocyte,tumour-vs-adjacent,3,12,2,-0.043230594813869226,not testable,nan,nan,nan
CRC,HGF_MET_AXIS,colon goblet cell,tumour-vs-adjacent,7,15,6,-0.03957063888262115,wilcoxon-signed-rank (paired donors),0.03125,0.052083333333333336,0.10808015513897867
CRC,HGF_MET_AXIS,colonocyte,tumour-vs-adjacent,7,17,7,0.02803955233519974,wilcoxon-signed-rank (paired donors),0.15625,0.1953125,0.3392857142857143
CRC,HGF_MET_AXIS,early colonocyte,tumour-vs-adjacent,13,18,10,0.03737534154298728,wilcoxon-signed-rank (paired donors),0.00390625,0.01953125,0.026988636363636364
CRC,HGF_MET_AXIS,intestinal crypt stem cell of colon,tumour-vs-adjacent,6,9,2,0.017453367379464187,not testable,nan,nan,nan
CRC,HGF_MET_AXIS,malignant cell,tumour-vs-adjacent,26,10,8,0.0934291235508323,wilcoxon-signed-rank (paired donors),0.0078125,0.01953125,0.04398148148148148
CRC,HGF_MET_AXIS,secretory cell,tumour-vs-adjacent,11,13,7,-0.0016484816545958292,wilcoxon-signed-rank (paired donors),0.8125,0.8125,0.9216417910447762
CRC,HGF_MET_AXIS,tuft cell of colon,tumour-vs-adjacent,3,8,2,0.009749697737574479,not testable,nan,nan,nan
CRC,HGF_MET_AXIS,malignant cell vs BEST4+ colonocyte,cell-identity,26,12,12,nan,mann-whitney (cell-identity; unpaired),0.0017800486905705504,0.002645564310955634,0.017285546697311402
CRC,HGF_MET_AXIS,malignant cell vs colonocyte,cell-identity,26,17,16,nan,mann-whitney (cell-identity; unpaired),0.0019841732332167255,0.002645564310955634,0.017285546697311402
CRC,HGF_MET_AXIS,malignant cell vs early colonocyte,cell-identity,26,18,17,nan,mann-whitney (cell-identity; unpaired),0.0005143741000351157,0.0020574964001404627,0.007107714836848872
CRC,HGF_MET_AXIS,malignant cell vs secretory cell,cell-identity,26,13,12,nan,mann-whitney (cell-identity; unpaired),0.047571097720386674,0.047571097720386674,0.15064180944789113
CRC,EPH_RECEPTORS,BEST4+ colonocyte,tumour-vs-adjacent,3,12,2,-0.02085988338560962,not testable,nan,nan,nan
CRC,EPH_RECEPTORS,colon goblet cell,tumour-vs-adjacent,7,15,6,-0.021774550525613105,wilcoxon-signed-rank (paired donors),0.21875,0.2734375,0.415625
CRC,EPH_RECEPTORS,colonocyte,tumour-vs-adjacent,7,17,7,-0.02725143047121953,wilcoxon-signed-rank (paired donors),0.15625,0.2604166666666667,0.3392857142857143
CRC,EPH_RECEPTORS,early colonocyte,tumour-vs-adjacent,13,18,10,0.01275698966017199,wilcoxon-signed-rank (paired donors),0.4921875,0.4921875,0.6821257174198351
CRC,EPH_RECEPTORS,intestinal crypt stem cell of colon,tumour-vs-adjacent,6,9,2,-0.045058461712517796,not testable,nan,nan,nan
CRC,EPH_RECEPTORS,malignant cell,tumour-vs-adjacent,26,10,8,0.15514997808287784,wilcoxon-signed-rank (paired donors),0.0078125,0.0390625,0.04398148148148148
CRC,EPH_RECEPTORS,secretory cell,tumour-vs-adjacent,11,13,7,-0.08206653507549598,wilcoxon-signed-rank (paired donors),0.078125,0.1953125,0.21689026445127002
CRC,EPH_RECEPTORS,tuft cell of colon,tumour-vs-adjacent,3,8,2,-0.1370478785516212,not testable,nan,nan,nan
CRC,EPH_RECEPTORS,malignant cell vs BEST4+ colonocyte,cell-identity,26,12,12,nan,mann-whitney (cell-identity; unpaired),5.68342246361286e-06,1.136684492722572e-05,0.00014398003574485913
CRC,EPH_RECEPTORS,malignant cell vs colonocyte,cell-identity,26,17,16,nan,mann-whitney (cell-identity; unpaired),5.578147814056544e-07,2.2312591256226175e-06,3.653484469824838e-05
CRC,EPH_RECEPTORS,malignant cell vs early colonocyte,cell-identity,26,18,17,nan,mann-whitney (cell-identity; unpaired),0.014416045806274588,0.019221394408366118,0.059375
CRC,EPH_RECEPTORS,malignant cell vs secretory cell,cell-identity,26,13,12,nan,mann-whitney (cell-identity; unpaired),0.041274260475501375,0.041274260475501375,0.13348271472928105
CRC,JAK_STAT,BEST4+ colonocyte,tumour-vs-adjacent,3,12,2,-0.07266713524112305,not testable,nan,nan,nan
CRC,JAK_STAT,colon goblet cell,tumour-vs-adjacent,7,15,6,-0.0566548196318204,wilcoxon-signed-rank (paired donors),0.21875,0.3645833333333333,0.415625
CRC,JAK_STAT,colonocyte,tumour-vs-adjacent,7,17,7,0.06427630601184707,wilcoxon-signed-rank (paired donors),0.015625,0.0390625,0.059375
CRC,JAK_STAT,early colonocyte,tumour-vs-adjacent,13,18,10,0.06362248562121024,wilcoxon-signed-rank (paired donors),0.013671875,0.0390625,0.059375
