context,module,cell_type,comparison_type,n_donors_a,n_donors_b,n_overlap_donors,median_diff,test_used,p_used,fdr_family,fdr_global
STAD,HGF_MET_AXIS,epithelial cell,tumour-vs-adjacent,26,31,2,-0.010726008076442257,not testable,nan,nan,nan
STAD,HGF_MET_AXIS,foveolar cell of stomach,tumour-vs-adjacent,26,31,2,-0.010138798664008263,not testable,nan,nan,nan
STAD,HGF_MET_AXIS,intestine goblet cell,tumour-vs-adjacent,13,12,0,nan,mann-whitney (donor-disjoint),0.7856093612183639,0.9783030753359443,0.9046410826150857
STAD,HGF_MET_AXIS,mucous neck cell of gastric gland,tumour-vs-adjacent,25,31,2,-0.024264760220709652,not testable,nan,nan,nan
STAD,HGF_MET_AXIS,peptic cell,tumour-vs-adjacent,5,18,0,nan,mann-whitney (donor-disjoint),0.20117713361826706,0.8748569325525452,0.4077189907996879
STAD,HGF_MET_AXIS,type EC enteroendocrine cell,tumour-vs-adjacent,6,17,0,nan,mann-whitney (donor-disjoint),0.5285102552308265,0.8808504253847108,0.7151148600647855
STAD,EPH_RECEPTORS,enterocyte,tumour-vs-adjacent,12,13,0,nan,mann-whitney (donor-disjoint),0.5679151111448195,0.7098938889310245,0.7506356251653267
STAD,EPH_RECEPTORS,enteroendocrine cell,tumour-vs-adjacent,17,14,0,nan,mann-whitney (donor-disjoint),0.371793069296558,0.7098938889310245,0.5651254653307681
STAD,EPH_RECEPTORS,epithelial cell,tumour-vs-adjacent,26,31,2,-0.006157484236300546,not testable,nan,nan,nan
STAD,EPH_RECEPTORS,foveolar cell of stomach,tumour-vs-adjacent,26,31,2,-0.03648039846987728,not testable,nan,nan,nan
STAD,EPH_RECEPTORS,intestine goblet cell,tumour-vs-adjacent,13,12,0,nan,mann-whitney (donor-disjoint),0.46276397057578866,0.7098938889310245,0.6628093601935747
STAD,EPH_RECEPTORS,mucous neck cell of gastric gland,tumour-vs-adjacent,25,31,2,-0.008082996515777152,not testable,nan,nan,nan
STAD,EPH_RECEPTORS,peptic cell,tumour-vs-adjacent,5,18,0,nan,mann-whitney (donor-disjoint),0.765030344677814,0.765030344677814,0.8944970183925209
STAD,EPH_RECEPTORS,type EC enteroendocrine cell,tumour-vs-adjacent,6,17,0,nan,mann-whitney (donor-disjoint),0.18172831054491312,0.7098938889310245,0.38032299080805027
STAD,JAK_STAT,enterocyte,tumour-vs-adjacent,12,13,0,nan,mann-whitney (donor-disjoint),0.8490153628243157,0.9841653411945137,0.9419732492649342
STAD,JAK_STAT,enteroendocrine cell,tumour-vs-adjacent,17,14,0,nan,mann-whitney (donor-disjoint),0.9841653411945137,0.9841653411945137,0.997287545743774
STAD,JAK_STAT,epithelial cell,tumour-vs-adjacent,26,31,2,0.012220593685713127,not testable,nan,nan,nan
STAD,JAK_STAT,foveolar cell of stomach,tumour-vs-adjacent,26,31,2,0.02316136823368494,not testable,nan,nan,nan
STAD,JAK_STAT,intestine goblet cell,tumour-vs-adjacent,13,12,0,nan,mann-whitney (donor-disjoint),0.5316314420218472,0.9841653411945137,0.7151148600647855
STAD,JAK_STAT,mucous neck cell of gastric gland,tumour-vs-adjacent,25,31,2,-0.0753446219511055,not testable,nan,nan,nan
STAD,JAK_STAT,peptic cell,tumour-vs-adjacent,5,18,0,nan,mann-whitney (donor-disjoint),0.28993432197093527,0.9841653411945137,0.5007956470407063
STAD,JAK_STAT,type EC enteroendocrine cell,tumour-vs-adjacent,6,17,0,nan,mann-whitney (donor-disjoint),0.8648498717148603,0.9841653411945137,0.9457351115155306
STAD,SRC_FAK,enterocyte,tumour-vs-adjacent,12,13,0,nan,mann-whitney (donor-disjoint),0.7648175395839272,0.8006181461559037,0.8944970183925209
STAD,SRC_FAK,enteroendocrine cell,tumour-vs-adjacent,17,14,0,nan,mann-whitney (donor-disjoint),0.27501302114502435,0.4814072772441415,0.48606952574469414
STAD,SRC_FAK,epithelial cell,tumour-vs-adjacent,26,31,2,0.0222200818074171,not testable,nan,nan,nan
STAD,SRC_FAK,foveolar cell of stomach,tumour-vs-adjacent,26,31,2,0.02018944090475806,not testable,nan,nan,nan
STAD,SRC_FAK,intestine goblet cell,tumour-vs-adjacent,13,12,0,nan,mann-whitney (donor-disjoint),0.2888443663464849,0.4814072772441415,0.5007956470407063
STAD,SRC_FAK,mucous neck cell of gastric gland,tumour-vs-adjacent,25,31,2,-0.043526754590539306,not testable,nan,nan,nan
STAD,SRC_FAK,peptic cell,tumour-vs-adjacent,5,18,0,nan,mann-whitney (donor-disjoint),0.8006181461559035,0.8006181461559037,0.9149921670353183
STAD,SRC_FAK,type EC enteroendocrine cell,tumour-vs-adjacent,6,17,0,nan,mann-whitney (donor-disjoint),0.11713077159301416,0.4814072772441415,0.29673128803563587
STAD,WNT_CTNNB1,enterocyte,tumour-vs-adjacent,12,13,0,nan,mann-whitney (donor-disjoint),0.6833131587171801,0.8541414483964751,0.8403954248145444
STAD,WNT_CTNNB1,enteroendocrine cell,tumour-vs-adjacent,17,14,0,nan,mann-whitney (donor-disjoint),0.040928680307670905,0.20464340153835453,0.13348271472928105
STAD,WNT_CTNNB1,epithelial cell,tumour-vs-adjacent,26,31,2,0.04153138369988503,not testable,nan,nan,nan
STAD,WNT_CTNNB1,foveolar cell of stomach,tumour-vs-adjacent,26,31,2,-0.03366778238827339,not testable,nan,nan,nan
STAD,WNT_CTNNB1,intestine goblet cell,tumour-vs-adjacent,13,12,0,nan,mann-whitney (donor-disjoint),0.09711956168340277,0.24279890420850692,0.25452023061857276
STAD,WNT_CTNNB1,mucous neck cell of gastric gland,tumour-vs-adjacent,25,31,2,-0.04869795550387633,not testable,nan,nan,nan
STAD,WNT_CTNNB1,peptic cell,tumour-vs-adjacent,5,18,0,nan,mann-whitney (donor-disjoint),0.9712621474635205,0.9712621474635205,0.997287545743774
STAD,WNT_CTNNB1,type EC enteroendocrine cell,tumour-vs-adjacent,6,17,0,nan,mann-whitney (donor-disjoint),0.25571834725152803,0.4261972454192134,0.4627284378837174
