"disease","feature","k","est","p","fdr","scenario"
"COPD","JAK_STAT",2,0.281843560148177,0.119169166834585,0.415475115455989,"all cohorts"
"CRC","JAK_STAT",3,-0.0522880187062402,0.107411328494747,0.140460968031592,"all cohorts"
"ESCC","JAK_STAT",2,-0.135487811829347,0.74228256929028,0.74228256929028,"all cohorts"
"HCC","JAK_STAT",2,0.824473347310614,0.358030416897811,0.472001393376343,"all cohorts"
"IBD","JAK_STAT",3,2.27192485109386,0.00222083208385709,0.0188770727127852,"all cohorts"
"LUAD","JAK_STAT",3,-1.01587408221567,0.00346311476636996,0.0294364755141446,"all cohorts"
"NAFLD","JAK_STAT",2,-0.0269141727452973,0.950230249583168,0.950230249583168,"all cohorts"
"PAAD","JAK_STAT",3,0.681258109437736,0.0862739966164346,0.197197706551851,"all cohorts"
"STAD","JAK_STAT",3,0.869652032264057,0.0217612423532545,0.1239794902749,"all cohorts"
"Asthma","PDGFR_KIT_CSF1R",3,0.355941293080135,0.0843488528057166,0.238988416282864,"all cohorts"
"COPD","PDGFR_KIT_CSF1R",2,0.371803118091228,0.361202874199515,0.593654657869055,"all cohorts"
"CRC","PDGFR_KIT_CSF1R",3,-1.02847553068845,0.000422164856491166,0.00717680256034982,"all cohorts"
"ESCC","PDGFR_KIT_CSF1R",2,-0.239326856235967,0.275766069342532,0.520891464313671,"all cohorts"
"HCC","PDGFR_KIT_CSF1R",2,-0.109899227483877,0.416471817685008,0.472001393376343,"all cohorts"
"IBD","PDGFR_KIT_CSF1R",3,1.83108913578667,0.00741844734661961,0.0420378682975111,"all cohorts"
"LUAD","PDGFR_KIT_CSF1R",3,-1.10920048494009,0.067083821620989,0.114048372220049,"all cohorts"
"NAFLD","PDGFR_KIT_CSF1R",2,0.120762063282959,0.623732408875087,0.919661679056586,"all cohorts"
"PAAD","PDGFR_KIT_CSF1R",3,0.187578141818385,0.709787000282875,0.757106133635067,"all cohorts"
"STAD","PDGFR_KIT_CSF1R",3,-0.26329281249023,0.341900097720129,0.452453832998598,"all cohorts"
"Asthma","PI3K_AKT",3,0.304545478307904,0.0180909545526304,0.208457116511432,"all cohorts"
"COPD","PI3K_AKT",2,0.0802568755174248,0.155645934847379,0.415475115455989,"all cohorts"
"CRC","PI3K_AKT",3,-0.040862428947499,0.694476274441742,0.787073111033975,"all cohorts"
"ESCC","PI3K_AKT",2,0.370094673460518,0.504240718320495,0.571472814096561,"all cohorts"
"HCC","PI3K_AKT",2,0.999382147842966,0.462287357645229,0.491180317498055,"all cohorts"
"IBD","PI3K_AKT",3,0.150093044684528,0.599324424140061,0.727751086455789,"all cohorts"
"LUAD","PI3K_AKT",3,0.646203760277474,0.25913058921079,0.314658572613102,"all cohorts"
"NAFLD","PI3K_AKT",2,-0.29350259521451,0.169909359954244,0.906183253089301,"all cohorts"
"PAAD","PI3K_AKT",3,0.367279269463256,0.0693471442830577,0.184925718088154,"all cohorts"
"STAD","PI3K_AKT",3,0.760996623526124,0.0268910669225003,0.1239794902749,"all cohorts"
"Asthma","RAS_MAPK",3,0.296147768171427,0.0530441113357885,0.238988416282864,"all cohorts"
"COPD","RAS_MAPK",2,-0.237101474889345,0.266336808287633,0.499381515539311,"all cohorts"
"CRC","RAS_MAPK",3,-0.417550952857478,0.233930170045948,0.284058063627222,"all cohorts"
"ESCC","RAS_MAPK",2,-0.489148841273993,0.458163333606076,0.556341190807378,"all cohorts"
"HCC","RAS_MAPK",2,0.883465534422435,0.0839970752183361,0.472001393376343,"all cohorts"
"IBD","RAS_MAPK",3,0.114831848086941,0.64819880168329,0.734625308574396,"all cohorts"
"LUAD","RAS_MAPK",3,-0.0323011397984996,0.928827589235474,0.928827589235474,"all cohorts"
"NAFLD","RAS_MAPK",2,0.439053736821558,0.540276369394808,0.919661679056586,"all cohorts"
"PAAD","RAS_MAPK",3,1.14665447828512,0.00267083821638034,0.0427334114620854,"all cohorts"
"STAD","RAS_MAPK",3,0.889884117226222,0.078910045774305,0.166815533780198,"all cohorts"
"Asthma","RET_ALK_NTRK",3,0.0846109462172257,0.769885591664897,0.769885591664897,"all cohorts"
"COPD","RET_ALK_NTRK",2,0.702221519290603,0.0745668255091956,0.372834127545978,"all cohorts"
"CRC","RET_ALK_NTRK",3,-1.14327080475195,0.035774177714378,0.0760201276430533,"all cohorts"
"ESCC","RET_ALK_NTRK",2,-0.439919234041001,0.429273257390736,0.556341190807378,"all cohorts"
"HCC","RET_ALK_NTRK",2,-1.16964025428325,0.263334426754964,0.472001393376343,"all cohorts"
"IBD","RET_ALK_NTRK",2,-0.241989786764398,0.553259730746848,0.723493494053571,"all cohorts"
"LUAD","RET_ALK_NTRK",3,-0.997745912743957,0.0670872777764992,0.114048372220049,"all cohorts"
"STAD","RET_ALK_NTRK",3,-1.12946898455872,0.030994872568725,0.1239794902749,"all cohorts"
"Asthma","SRC_FAK",3,0.201997426293111,0.300096198516655,0.392433490367934,"all cohorts"
"COPD","SRC_FAK",2,-0.278477921330642,0.0140147018466033,0.21022052769905,"all cohorts"
"CRC","SRC_FAK",3,-0.399527047486973,0.00880910311158383,0.0374386882242313,"all cohorts"
"ESCC","SRC_FAK",2,1.36758553187531,0.0873489098384724,0.399358533729142,"all cohorts"
"HCC","SRC_FAK",2,-0.938613061351047,0.231626686800527,0.472001393376343,"all cohorts"
"IBD","SRC_FAK",3,0.421332330581874,0.0216228823638358,0.0735178000370419,"all cohorts"
"LUAD","SRC_FAK",3,-0.0676927254750437,0.887582105872822,0.928827589235474,"all cohorts"
"NAFLD","SRC_FAK",2,-0.0903989869777204,0.640902409007456,0.919661679056586,"all cohorts"
"PAAD","SRC_FAK",3,0.581730270794891,0.199287786463329,0.35428939815703,"all cohorts"
"STAD","SRC_FAK",3,0.462248368962017,0.239402663037195,0.383044260859513,"all cohorts"
"Asthma","TAM_AXL_AXIS",3,0.212577960225108,0.219356620588086,0.370313150300835,"all cohorts"
"CRC","TAM_AXL_AXIS",3,0.0439361597897652,0.759920299198594,0.807415317898507,"all cohorts"
"ESCC","TAM_AXL_AXIS",2,-0.653262766244012,0.112360299706907,0.399358533729142,"all cohorts"
"HCC","TAM_AXL_AXIS",2,-0.351924756101362,0.292103890106546,0.472001393376343,"all cohorts"
"IBD","TAM_AXL_AXIS",3,0.806592649935283,0.0173924532757568,0.0735178000370419,"all cohorts"
"LUAD","TAM_AXL_AXIS",3,-0.298483693811025,0.0407794742911315,0.099035866135605,"all cohorts"
"NAFLD","TAM_AXL_AXIS",2,-0.399482018720574,0.0926761491133087,0.74140919290647,"all cohorts"
"PAAD","TAM_AXL_AXIS",3,-0.0219450125443659,0.94164774228471,0.94164774228471,"all cohorts"
"Asthma","TGFB_SMAD",3,-0.136091509607866,0.49114456218525,0.55663050380995,"all cohorts"
"COPD","TGFB_SMAD",2,-0.19689401287086,0.193888387212795,0.415475115455989,"all cohorts"
"CRC","TGFB_SMAD",3,-0.604291851669304,0.00416801777868614,0.0354281511188322,"all cohorts"
"ESCC","TGFB_SMAD",2,0.520444097681927,0.397896792023167,0.556341190807378,"all cohorts"
"HCC","TGFB_SMAD",2,1.13660913768509,0.378132839654496,0.472001393376343,"all cohorts"
"IBD","TGFB_SMAD",3,1.13973130364381,0.0546946617418817,0.100831999893851,"all cohorts"
"LUAD","TGFB_SMAD",3,-0.846803461177225,0.0113375674469649,0.064246215532801,"all cohorts"
"NAFLD","TGFB_SMAD",2,-0.618448466449469,0.283371072531065,0.919661679056586,"all cohorts"
"PAAD","TGFB_SMAD",3,0.964782472633737,0.0435594699952226,0.139390303984712,"all cohorts"
"STAD","TGFB_SMAD",3,0.663591247774155,0.099727814024423,0.177293891598974,"all cohorts"
"Asthma","TIE_ANGPT_AXIS",3,-0.225075922356608,0.474428294668652,0.55663050380995,"all cohorts"
"COPD","TIE_ANGPT_AXIS",2,0.107227125265384,0.395769771912703,0.593654657869055,"all cohorts"
"CRC","TIE_ANGPT_AXIS",3,-0.157327325601436,0.103555455685206,0.140460968031592,"all cohorts"
