"state","accession","gene","n_members","smd_full","smd_loo","flip","delta"
"CRC FGFR_AXIS","GSE23878","FGF2",8,-1.70202181824785,-1.45741006951086,FALSE,0.244611748736994
"CRC FGFR_AXIS","GSE23878","FGF7",8,-1.70202181824785,-1.53834312187628,FALSE,0.163678696371576
"CRC FGFR_AXIS","GSE23878","FGF10",8,-1.70202181824785,-1.61964377954732,FALSE,0.0823780387005282
"CRC IGF_INSR_AXIS","GSE41258","IGF1R",4,-0.880941992248855,-1.16407838452445,FALSE,-0.283136392275595
"CRC IGF_INSR_AXIS","GSE41258","INSR",4,-0.880941992248855,-0.845043943867374,FALSE,0.0358980483814813
"CRC IGF_INSR_AXIS","GSE41258","IGF1",4,-0.880941992248855,-0.245626956435105,FALSE,0.63531503581375
"CRC IGF_INSR_AXIS","GSE23878","IGF1R",4,-0.691015583482067,-1.08975214983126,FALSE,-0.398736566349194
"CRC IGF_INSR_AXIS","GSE23878","INSR",4,-0.691015583482067,-0.747697040917886,FALSE,-0.0566814574358191
"CRC IGF_INSR_AXIS","GSE23878","IGF1",4,-0.691015583482067,-0.11663463897843,FALSE,0.574380944503638
"IBD JAK_STAT","GSE75214","JAK1",9,1.9986501550238,1.87732079341908,FALSE,-0.121329361604723
"IBD JAK_STAT","GSE75214","JAK2",9,1.9986501550238,1.86914393880825,FALSE,-0.129506216215552
"IBD JAK_STAT","GSE75214","JAK3",9,1.9986501550238,1.92316452428479,FALSE,-0.0754856307390119
"IBD JAK_STAT","GSE75214","TYK2",9,1.9986501550238,1.97040965918251,FALSE,-0.0282404958412903
"IBD JAK_STAT","GSE75214","STAT1",9,1.9986501550238,1.87787891692218,FALSE,-0.120771238101619
"IBD JAK_STAT","GSE75214","STAT3",9,1.9986501550238,1.84214962756262,FALSE,-0.156500527461183
"IBD JAK_STAT","GSE75214","STAT5A",9,1.9986501550238,2.05394467335592,FALSE,0.0552945183321152
"IBD JAK_STAT","GSE75214","STAT5B",9,1.9986501550238,2.09154731091223,FALSE,0.0928971558884248
"IBD JAK_STAT","GSE75214","STAT6",9,1.9986501550238,2.24864346048076,FALSE,0.24999330545696
"IBD JAK_STAT","GSE87473","JAK1",9,1.90121920225641,1.89806713588912,FALSE,-0.00315206636729792
"IBD JAK_STAT","GSE87473","JAK2",9,1.90121920225641,1.8223287501365,FALSE,-0.0788904521199139
"IBD JAK_STAT","GSE87473","JAK3",9,1.90121920225641,1.84432757574587,FALSE,-0.0568916265105455
"IBD JAK_STAT","GSE87473","TYK2",9,1.90121920225641,1.9270452034533,FALSE,0.0258260011968838
