"context","feature","n","events","hazard_ratio_per_1sd","ci_low","ci_high","p_value","fdr"
"CRC","EGFR",566,115,1.14875329814361,0.955272344374123,1.38142190315415,0.140563823493199,0.309814141576846
"CRC","EPH_RECEPTORS",566,115,0.973301806094935,0.804636494609986,1.1773221971579,0.780470636025737,0.916204659682388
"CRC","ERBB_LIGANDS",566,115,0.78777916186225,0.661059563171477,0.938789849566715,0.00767881080871162,0.0495579254656649
"CRC","ERBB_RECEPTORS",566,115,1.12951801438693,0.941141109327232,1.35560006058665,0.19076699662559,0.388732747840826
"CRC","FGFR_AXIS",566,115,1.06155650456231,0.882396317343473,1.27709305924031,0.526483994295037,0.738445082907325
"CRC","HGF_MET_AXIS",566,115,1.02715833377679,0.85197435114125,1.23836385594687,0.778817900914263,0.916204659682388
"CRC","IGF_INSR_AXIS",566,115,1.19389331298251,0.999049385409033,1.42673752028861,0.0512355290607533,0.15370658718226
"CRC","JAK_STAT",566,115,1.07581006943819,0.89915115739217,1.28717768529749,0.424616290712294,0.655122277098967
"CRC","PDGFR_KIT_CSF1R",566,115,0.973661594923377,0.816482179056782,1.16109931820423,0.76635858447952,0.916204659682388
"CRC","PI3K_AKT",566,115,1.02790977517841,0.854228297829809,1.2369041257374,0.77066620328366,0.916204659682388
"CRC","RAS_MAPK",566,115,0.955878234890268,0.79825787259291,1.14462159573702,0.623562884125331,0.821277944945558
"CRC","RET_ALK_NTRK",566,115,1.18391854368766,0.991773791435987,1.41328912922577,0.0616864342879522,0.180057700083752
"CRC","SRC_FAK",566,115,1.01937657634457,0.851575492040351,1.22024249654044,0.834345190403093,0.938599045499954
"CRC","TAM_AXL_AXIS",566,115,1.1509078130076,0.965576829624065,1.37181087346271,0.11666261548327,0.273903532004198
"CRC","TGFB_SMAD",566,115,1.12142032509964,0.926668312989113,1.35710213451678,0.239018258394705,0.452876700116284
"CRC","TIE_ANGPT_AXIS",566,115,1.01519275301465,0.85119085937583,1.21079346003457,0.866796920676481,0.938599045499954
"CRC","VEGF_PDGF_AXIS",566,115,1.30306004397929,1.08888207111717,1.55936581495297,0.00385971776747605,0.0378954108079467
"CRC","WNT_CTNNB1",566,115,0.800817805883276,0.667353474469861,0.960973730943939,0.0169439177306217,0.0848005434485004
"ESCC","EGFR",94,31,0.556469564626443,0.369499726222936,0.838047647615066,0.00502112553715954,0.038734397000945
"ESCC","EPH_RECEPTORS",94,31,0.66120204202871,0.46936849499991,0.931439039987165,0.0179717175001863,0.0848005434485004
"ESCC","ERBB_LIGANDS",94,31,0.753411468047904,0.520231186398641,1.09110882820304,0.134003560022443,0.307923074094124
"ESCC","ERBB_RECEPTORS",94,31,0.682691352197323,0.491207730950325,0.948819517688214,0.0230397051969264,0.0921588207877057
"ESCC","FGFR_AXIS",94,31,0.850925070157897,0.601300419553268,1.20417922801578,0.362184063349339,0.620886965741724
"ESCC","HGF_MET_AXIS",94,31,1.08673295666425,0.735535210445838,1.60561792600571,0.676204344912121,0.879880352415772
"ESCC","IGF_INSR_AXIS",94,31,0.896246042187718,0.617869189070632,1.30004373473513,0.563781993587881,0.780621221890912
