gene	n	spearman
MET	110	0.8845
EGFR	110	0.8593
STAT3	110	0.8105
ERBB2	110	0.7398
ERBB3	110	0.6867
SRC	110	0.5827
VEGFA	75	0.5460
AKT1	110	0.5344
AXL	97	0.5325
TEK	101	0.5060
TIE1	102	0.4166
PIK3CA	110	0.3958
KRAS	106	0.2134
FGFR1	95	0.1549
CTNNB1	110	0.1399
