"accession","module","n_members","n_present","coverage","missing"
"GSE23400","RAS_MAPK",12,11,0.917,"BRAF"
"GSE23400","RET_ALK_NTRK",6,6,1,""
"GSE23400","SRC_FAK",5,5,1,""
"GSE23400","TAM_AXL_AXIS",3,3,1,""
"GSE23400","TGFB_SMAD",5,5,1,""
"GSE23400","TIE_ANGPT_AXIS",3,3,1,""
"GSE23400","VEGF_PDGF_AXIS",9,9,1,""
"GSE23400","WNT_CTNNB1",4,3,0.75,"AXIN2"
"GSE28735","EPH_RECEPTORS",4,4,1,""
"GSE28735","ERBB_LIGANDS",6,6,1,""
"GSE28735","ERBB_RECEPTORS",4,4,1,""
"GSE28735","FGFR_AXIS",8,8,1,""
"GSE28735","HGF_MET_AXIS",3,3,1,""
"GSE28735","IGF_INSR_AXIS",4,3,0.75,"IGF2"
"GSE28735","JAK_STAT",9,9,1,""
"GSE28735","PDGFR_KIT_CSF1R",5,4,0.8,"PDGFRB"
"GSE28735","PI3K_AKT",9,9,1,""
"GSE28735","RAS_MAPK",12,10,0.833,"BRAF;RAF1"
"GSE28735","RET_ALK_NTRK",6,2,0.333,"RET;ALK;ROS1;NTRK1"
"GSE28735","SRC_FAK",5,5,1,""
"GSE28735","TAM_AXL_AXIS",3,3,1,""
"GSE28735","TGFB_SMAD",5,5,1,""
"GSE28735","TIE_ANGPT_AXIS",3,3,1,""
"GSE28735","VEGF_PDGF_AXIS",9,9,1,""
"GSE28735","WNT_CTNNB1",4,4,1,""
"GSE33814","EPH_RECEPTORS",4,4,1,""
"GSE33814","ERBB_LIGANDS",6,6,1,""
"GSE33814","ERBB_RECEPTORS",4,4,1,""
"GSE33814","FGFR_AXIS",8,7,0.875,"FGFR2"
"GSE33814","HGF_MET_AXIS",3,3,1,""
"GSE33814","IGF_INSR_AXIS",4,4,1,""
"GSE33814","JAK_STAT",9,9,1,""
"GSE33814","PDGFR_KIT_CSF1R",5,5,1,""
"GSE33814","PI3K_AKT",9,9,1,""
"GSE33814","RAS_MAPK",12,12,1,""
"GSE33814","RET_ALK_NTRK",6,6,1,""
"GSE33814","SRC_FAK",5,5,1,""
"GSE33814","TAM_AXL_AXIS",3,3,1,""
"GSE33814","TGFB_SMAD",5,5,1,""
