accession,disease,feature,paired,patient_ids_available,n_both_arm_patients,n_case,n_control,npair,r_emp,measure,yi,vi,mean_case,sd_case,mean_ctrl,sd_ctrl,beta_base,se_base,p_base,not_estimable_reason
GSE13911,STAD,EPH_RECEPTORS,TRUE,TRUE,31,38,31,31,0.0278315839523256,SMCRPH,1.72081822362867,0.094146551999518,0.267753367733618,0.427969535243915,-0.389013270560891,0.286790172261676,0.659367317542596,0.094884032057503,1.01794206550709e-07,
GSE13911,STAD,ERBB_LIGANDS,TRUE,TRUE,31,38,31,31,-0.106768784115939,SMCRPH,-1.0030806912049,0.0823842908685842,-0.147400231717256,0.328742001828178,0.192012284019078,0.298472031909294,-0.330716883155237,0.0869285790910017,0.000651603567941196,
GSE13911,STAD,ERBB_RECEPTORS,TRUE,TRUE,31,38,31,31,0.325522130808083,SMCRPH,-0.696673289847587,0.0505789712534496,-0.122452932460507,0.435892805479859,0.183045862383053,0.347693099085959,-0.28922836283143,0.0862111996464647,0.00216548612855442,
GSE13911,STAD,FGFR_AXIS,TRUE,TRUE,31,38,31,31,0.0239079829718151,SMCRPH,-0.0708348731749722,0.0652387452354355,0.0180504735542705,0.398083626175013,0.0327527082223959,0.272308170365279,-0.0247653342316573,0.0867116696196723,0.777143011877284,
GSE13911,STAD,HGF_MET_AXIS,TRUE,TRUE,31,38,31,31,-0.0538579251565337,SMCRPH,0.711667651038638,0.0744908294732682,0.0710734477835966,0.44244557746481,-0.151480798893261,0.427269889193193,0.305185120908969,0.110408778502678,0.00966226213358299,
GSE13911,STAD,IGF_INSR_AXIS,TRUE,TRUE,31,38,31,31,0.195640157568222,SMCRPH,-0.0441503133200035,0.0539932633675228,-0.0201895398676902,0.479173137690307,0.0412347877761169,0.372062162562897,-0.0189749649902312,0.0969445140608857,0.846141118017626,
GSE13911,STAD,JAK_STAT,TRUE,TRUE,31,38,31,31,-0.0730154372681542,SMCRPH,0.900578783989241,0.0783362405720426,0.120454125309251,0.377895883099398,-0.171827702127875,0.342001875919281,0.318515275505899,0.0918785185280483,0.00161311044072108,
GSE13911,STAD,PDGFR_KIT_CSF1R,TRUE,TRUE,31,38,31,31,0.0640333448284879,SMCRPH,-0.742879961342501,0.067648519491007,-0.109778200405037,0.452819074688248,0.201544460648296,0.336241092624659,-0.303635252905251,0.0993335717141333,0.0046708044111269,
GSE13911,STAD,PI3K_AKT,TRUE,TRUE,31,38,31,31,0.116624298181747,SMCRPH,0.875487107408834,0.0654999845228057,0.106212348569839,0.319488760315051,-0.113614823314274,0.276691754978105,0.260767455752753,0.070231861427444,0.000834902670353543,
GSE13911,STAD,RAS_MAPK,TRUE,TRUE,31,38,31,31,-0.125313047128202,SMCRPH,0.927741489679317,0.0823250860238079,0.115233646536776,0.276209654239757,-0.125530097384759,0.285503079071889,0.258003040152355,0.073962483977969,0.00152339389078405,
GSE13911,STAD,RET_ALK_NTRK,TRUE,TRUE,31,38,31,31,0.249712148951805,SMCRPH,-0.734083281449964,0.0549189228764211,-0.118926933117537,0.325052506621448,0.14632277379564,0.38188178743521,-0.270732805031457,0.0801271232143946,0.0020338697213053,
GSE13911,STAD,SRC_FAK,TRUE,TRUE,31,38,31,31,-0.124095858726444,SMCRPH,-0.0387081128692725,0.0749508640307886,-0.00156397610388392,0.336519324867235,0.0287916741514522,0.321733923693049,-0.0124945536491284,0.0858172969826675,0.8852151220963,
GSE13911,STAD,TAM_AXL_AXIS,TRUE,TRUE,31,38,31,31,-0.0375001946819024,SMCRPH,-0.165962177108069,0.0693695483059675,-0.0554367813467635,0.472081603388246,0.0670975542241682,0.41104633884137,-0.0754668211220785,0.11613790948358,0.5207641490352,
GSE13911,STAD,TGFB_SMAD,TRUE,TRUE,31,38,31,31,0.128768357276387,SMCRPH,0.396683214702935,0.0596387344046447,0.012776236364294,0.389138288619607,-0.095637010737912,0.475269647142547,0.174377972111066,0.103041035238828,0.100948435217639,
