"disease","feature","n_cohorts","robust_consistent","n_fdr_raw","median_smd","composition_robust","direction_preserved","robust_xcell","k","smd_DL","p_DL","fdr_DL","smd_REML","p_REML_HK","fdr_REML_HK","ci_lo","ci_hi","I2","n","n_fdr_joint","median_d_adj","joint_robust","sc_n_hits","sc_celltypes","tcga_hr","tcga_fdr","ext_hr","ext_p","ext_status","ext_note","meta_sig_REMLHK","tier"
"Asthma","WNT_CTNNB1",3,FALSE,0,-0.543956488140338,FALSE,TRUE,FALSE,3,-0.546264861250629,3.89628883920769e-05,0.000662369102665308,-0.546264861250629,0.0231150222905838,0.196477689469962,-0.909944502835227,-0.182585219666031,0,3,0,-0.373857536219896,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"null/uncertain"
"COPD","EPH_RECEPTORS",2,FALSE,0,0.111513970674996,FALSE,TRUE,FALSE,2,0.0970777089011072,0.73503123260248,0.73503123260248,0.097040954941006,0.792317466684477,0.792317466684477,-3.54756173201809,3.7416436419001,84.0920736005189,2,0,0.196835595071987,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"null/uncertain"
"COPD","ERBB_LIGANDS",2,FALSE,0,-0.175917181302285,FALSE,FALSE,FALSE,2,-0.14771799560297,0.302341640072885,0.503902733454808,-0.146526418728136,0.492196612561239,0.657488896112715,-1.96322953049383,1.67017669303756,38.7044525675334,2,0,-0.183721246339893,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"null/uncertain"
"COPD","ERBB_RECEPTORS",2,FALSE,0,-0.209793336198349,FALSE,TRUE,FALSE,2,-0.222636961153069,0.462873359399194,0.522244858256237,-0.222660080293947,0.596819992783321,0.657488896112715,-4.0760457238177,3.6307255632298,85.7598106630177,2,0,0.0458002930220155,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"null/uncertain"
"COPD","FGFR_AXIS",2,FALSE,0,-0.212665570192707,FALSE,TRUE,FALSE,2,-0.194247235647129,0.391754058284146,0.522244858256237,-0.194124134988031,0.549317748315938,0.657488896112715,-3.07586012044472,2.68761185046866,74.6350816244758,2,0,0.0306818582116945,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"null/uncertain"
"COPD","HGF_MET_AXIS",1,FALSE,0,-0.690418164725269,FALSE,TRUE,FALSE,1,-0.690418164725269,0.000252356880718505,NA,-0.690418164725269,NA,NA,NA,NA,0,1,0,-0.273002373106531,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"null/uncertain"
"COPD","IGF_INSR_AXIS",2,FALSE,0,-0.21228656310764,FALSE,FALSE,FALSE,2,-0.197419292143299,0.487428534372488,0.522244858256237,-0.197378410209387,0.613656303038534,0.657488896112715,-3.80972659669534,3.41496977627657,83.7368674013892,2,0,-0.178363882592584,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"null/uncertain"
"COPD","JAK_STAT",2,FALSE,0,0.301605411622243,FALSE,TRUE,FALSE,2,0.28354006011612,0.00912551700894792,0.0301334898112119,0.28354006011612,0.121508688001603,0.414562421898681,-0.412567742599829,0.979647862832069,0,2,0,-0.0177157390903925,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"null/uncertain"
"COPD","PDGFR_KIT_CSF1R",2,FALSE,0,0.35443601201879,FALSE,TRUE,FALSE,2,0.37058650958995,0.119732277921223,0.224498021102293,0.37066146123071,0.363596194368322,0.605993657280537,-2.65565931900429,3.39698224146571,76.889333117915,2,0,0.234451515286849,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"null/uncertain"
"COPD","PI3K_AKT",2,FALSE,0,0.0892507118638277,FALSE,TRUE,FALSE,2,0.0819526261339448,0.449243843152293,0.522244858256237,0.0819526261339448,0.169141612174884,0.414562421898681,-0.201408119259967,0.365313371527857,0,2,0,-0.0571323990188665,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"null/uncertain"
"COPD","RAS_MAPK",2,FALSE,0,-0.205652121307416,FALSE,TRUE,FALSE,2,-0.239847297199202,0.0273514375485351,0.0683785938713378,-0.239847297199202,0.266028769415151,0.498803942653408,-1.59304611377836,1.11335151937996,0,2,1,-0.320138413177634,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"null/uncertain"
"COPD","RET_ALK_NTRK",2,FALSE,0,0.666083995193305,FALSE,TRUE,FALSE,2,0.692385334106125,4.78919147659019e-10,7.18378721488528e-09,0.692385334106125,0.0777904354006377,0.388952177003188,-0.388000423910441,1.77277109212269,0,2,1,0.552666989114785,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"null/uncertain"
"COPD","SRC_FAK",2,FALSE,0,-0.279647415935864,FALSE,TRUE,FALSE,2,-0.279917379045754,0.0100444966037373,0.0301334898112119,-0.279917379045754,0.00188361169325145,0.0282541753987717,-0.290440831279365,-0.269393926812142,0,2,0,-0.304003305507046,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"null/uncertain"
"COPD","TAM_AXL_AXIS",1,FALSE,0,0.245449692270371,FALSE,TRUE,FALSE,1,0.245449692270371,0.184483850256202,NA,0.245449692270371,NA,NA,NA,NA,0,1,0,0.0946951612435907,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"null/uncertain"
"COPD","TGFB_SMAD",2,FALSE,0,-0.174845200133924,FALSE,TRUE,FALSE,2,-0.19461699180113,0.0729300109411188,0.156278594873826,-0.19461699180113,0.193462463552718,0.414562421898681,-0.970110000773604,0.580876017171344,0,2,0,-0.061432699906223,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"null/uncertain"
"COPD","TIE_ANGPT_AXIS",2,FALSE,0,0.0781973333170006,FALSE,TRUE,FALSE,2,0.103666429558009,0.33878391123713,0.508175866855695,0.103666429558009,0.411826700631616,0.617740050947424,-0.891243467146718,1.09857632626274,0,2,0,0.348224033774782,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"null/uncertain"
"COPD","VEGF_PDGF_AXIS",2,FALSE,0,-0.40501245254232,FALSE,TRUE,FALSE,2,-0.394754602234411,0.000300038447215534,0.0022502883541165,-0.394754602234411,0.0503230301606598,0.377422726204948,-0.792070177986472,0.00256097351765106,0,2,0,-0.279702387991014,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"null/uncertain"
"COPD","WNT_CTNNB1",2,FALSE,0,-0.53876403060251,FALSE,TRUE,FALSE,2,-0.510293806180002,0.000670950208925281,0.0033547510446264,-0.509183986120989,0.182174333153267,0.414562421898681,-2.41281966354877,1.39445169130679,42.3331210476662,2,1,-0.380712348857903,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"null/uncertain"
"CRC","EPH_RECEPTORS",3,TRUE,2,1.88593889091891,TRUE,TRUE,TRUE,2,1.87063003167404,2.14067659086008e-33,1.81957510223106e-32,1.87063003167404,0.00293096567869628,0.0124566041344592,1.76119977202206,1.98006029132602,0,2,2,1.35742113835519,TRUE,2,"intestinal crypt stem cell of colon; malignant cell",0.973301806094935,0.916204659682388,0.925078232222744,0.270243469620836,"not","GSE39582 age-adj",TRUE,"robust+joint"
"CRC","ERBB_LIGANDS",3,TRUE,2,-0.368326155568458,FALSE,TRUE,TRUE,2,-0.368183558190831,0.00652920730718803,0.0110996524222197,-0.368183558190831,0.000419576049585038,0.00713279284294565,-0.371266823303998,-0.365100293077664,0,2,1,-0.359627287883326,FALSE,NA,NA,0.78777916186225,0.0495579254656649,1.02575998944192,0.724360257405268,"not","GSE39582 age-adj",TRUE,"per-cohort only"
"CRC","ERBB_RECEPTORS",3,FALSE,1,0.193337738318514,FALSE,TRUE,FALSE,2,0.26535049007405,0.0492453224716197,0.0697642068347946,0.26535049007405,0.101039618661423,0.196448713795916,-0.274303619261851,0.805004599409951,0,2,0,-0.201312708811136,FALSE,NA,NA,1.12951801438693,0.388732747840826,NA,NA,NA,NA,FALSE,"weak/partial"
"CRC","FGFR_AXIS",3,TRUE,2,-1.40761373019363,TRUE,TRUE,TRUE,2,-1.41734354287105,1.41437419314197e-14,8.01478709447118e-14,-1.39013210760751,0.0771773097080966,0.187430609291092,-3.5420035559852,0.761739340770179,24.7455969247248,2,2,-1.47162440167364,TRUE,NA,NA,1.06155650456231,0.738445082907325,NA,NA,NA,NA,FALSE,"robust+joint"
"CRC","HGF_MET_AXIS",3,TRUE,2,0.790029554227907,TRUE,TRUE,TRUE,2,0.771284618719589,0.000726200407377658,0.00137171188060224,0.773827583076149,0.182155616171049,0.238203498069833,-2.11889076542913,3.66654593158143,54.7929308749171,2,1,0.820769278842945,FALSE,3,"BEST4+ colonocyte; malignant cell; secretory cell",1.02715833377679,0.916204659682388,NA,NA,NA,NA,FALSE,"per-cohort only"
"CRC","IGF_INSR_AXIS",3,TRUE,2,-0.794682739098584,TRUE,TRUE,TRUE,2,-0.831682224468072,2.07586652478521e-09,7.0579461842697e-09,-0.831682224468072,0.0635068375115581,0.179936039616081,-1.88937024967134,0.226005800735198,0,2,2,-0.880652806070456,TRUE,NA,NA,1.19389331298251,0.15370658718226,NA,NA,NA,NA,FALSE,"robust+joint"
"CRC","JAK_STAT",3,FALSE,0,-0.0508655811630436,FALSE,FALSE,TRUE,2,-0.0439406268550142,0.743911505271012,0.79040597435045,-0.0439406268550142,0.162268616125971,0.229880539511792,-0.189415178416266,0.101533924706238,0,2,1,0.745095186620184,FALSE,NA,NA,1.07581006943819,0.655122277098967,NA,NA,NA,NA,FALSE,"null/uncertain"
"CRC","PDGFR_KIT_CSF1R",3,TRUE,2,-1.06919679692872,TRUE,TRUE,FALSE,2,-1.07097636700863,4.07091069993141e-14,1.73013704747085e-13,-1.07097636700863,0.00182845360341675,0.0124566041344592,-1.11006052428608,-1.03189220973118,0,2,1,-0.467437651278275,FALSE,NA,NA,0.973661594923377,0.916204659682388,NA,NA,NA,NA,TRUE,"per-cohort only"
"CRC","PI3K_AKT",3,FALSE,0,-0.052317484779079,FALSE,FALSE,FALSE,2,0.0219307772131398,0.870592318020032,0.870592318020032,0.0219307772131398,0.890703655203745,0.890703655203745,-1.58518753615819,1.62904909058447,0,2,0,-0.154562217531606,FALSE,NA,NA,1.02790977517841,0.916204659682388,NA,NA,NA,NA,FALSE,"null/uncertain"
"CRC","RAS_MAPK",3,FALSE,1,-0.305874800073809,FALSE,TRUE,FALSE,2,-0.161743121937313,0.401543603108507,0.487588660917472,-0.167966881076763,0.540568414884256,0.61264420353549,-2.59312774302347,2.25719398086994,41.3084370738346,2,0,-0.278062206665918,FALSE,NA,NA,0.955878234890268,0.821277944945558,NA,NA,NA,NA,FALSE,"weak/partial"
"CRC","RET_ALK_NTRK",3,TRUE,2,-1.08095219025095,TRUE,TRUE,TRUE,2,-0.984197037604316,9.79436196604125e-09,2.77506922371169e-08,-0.99989717971866,0.104002260244897,0.196448713795916,-3.09411405647113,1.09431969703381,24.5200448069253,2,1,-0.778891400369307,FALSE,NA,NA,1.18391854368766,0.180057700083752,NA,NA,NA,NA,FALSE,"per-cohort only"
"CRC","SRC_FAK",3,TRUE,2,-0.2980588060605,FALSE,TRUE,FALSE,2,-0.557370675316474,0.0118880516589091,0.0183724434728596,-0.560226523311215,0.239121484856287,0.290361803039777,-3.36722505092288,2.24677200430045,53.2816755928546,2,1,-0.356081073531809,FALSE,NA,NA,1.01937657634457,0.938599045499954,NA,NA,NA,NA,FALSE,"per-cohort only"
"CRC","TAM_AXL_AXIS",3,FALSE,0,-0.0232177447266005,FALSE,TRUE,TRUE,2,-0.113913547290171,0.435032782275662,0.49303715324575,-0.106141997033963,0.590991586709283,0.627928560878613,-1.90823015172722,1.69594615765929,9.7359356872675,2,1,0.473618843590631,FALSE,NA,NA,1.1509078130076,0.273903532004198,NA,NA,NA,NA,FALSE,"null/uncertain"
"CRC","TGFB_SMAD",3,TRUE,2,-0.437940148074081,FALSE,TRUE,FALSE,2,-0.499711298120367,0.000245550189855455,0.000521794153442841,-0.499711298120367,0.134189000910959,0.224169370715069,-1.85824744468803,0.858824848447292,0,2,1,0.052076954863905,FALSE,NA,NA,1.12142032509964,0.452876700116284,NA,NA,NA,NA,FALSE,"per-cohort only"
"CRC","TIE_ANGPT_AXIS",3,FALSE,0,-0.221915535544863,FALSE,TRUE,FALSE,2,-0.234941500761734,0.0814557574368693,0.106519067417444,-0.234941500761734,0.0207705665034164,0.0706199261116156,-0.332372676525266,-0.137510324998201,0,2,0,0.326979567493467,FALSE,NA,NA,1.01519275301465,0.938599045499954,NA,NA,NA,NA,FALSE,"null/uncertain"
"CRC","VEGF_PDGF_AXIS",3,TRUE,2,0.646035018723919,TRUE,TRUE,TRUE,2,0.920569175058546,1.89599925125049e-05,4.60456961017977e-05,0.924254135259297,0.145050769286221,0.224169370715069,-1.79879067876787,3.64729894928646,48.7757506892174,2,2,1.46556365053635,TRUE,4,"colonocyte; early colonocyte; intestinal crypt stem cell of colon; malignant cell",1.30306004397929,0.0378954108079467,1.20352883644373,0.0086668404737169,"replicated","GSE39582 age-adj",FALSE,"robust+joint"
"CRC","WNT_CTNNB1",3,TRUE,2,2.59042072981352,TRUE,TRUE,TRUE,2,2.58489654751717,4.62372678998255e-51,7.86033554297033e-50,2.58489654751717,0.00245754784671185,0.0124566041344592,2.45810712269532,2.71168597233901,0,2,2,2.46913233664832,TRUE,2,"early colonocyte; malignant cell",0.800817805883276,0.0848005434485004,0.984024590400762,0.823968944357556,"not","GSE39582 age-adj",TRUE,"robust+joint"
"ESCC","EPH_RECEPTORS",2,FALSE,0,-0.33516892827644,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66120204202871,0.0848005434485004,NA,NA,NA,NA,FALSE,"no data"
"ESCC","ERBB_LIGANDS",2,FALSE,1,-0.365634641662606,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.753411468047904,0.307923074094124,NA,NA,NA,NA,FALSE,"no data"
"ESCC","ERBB_RECEPTORS",2,FALSE,1,-0.647152270869051,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.682691352197323,0.0921588207877057,NA,NA,NA,NA,FALSE,"no data"
"ESCC","FGFR_AXIS",2,FALSE,1,-0.201006711774425,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.850925070157897,0.620886965741724,NA,NA,NA,NA,FALSE,"no data"
"ESCC","HGF_MET_AXIS",2,FALSE,1,0.475783138583543,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08673295666425,0.879880352415772,NA,NA,NA,NA,FALSE,"no data"
"ESCC","IGF_INSR_AXIS",2,TRUE,2,0.670345009906601,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.896246042187718,0.780621221890912,NA,NA,NA,NA,FALSE,"no data"
"ESCC","JAK_STAT",2,FALSE,0,-0.156702045644944,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01439803434755,0.981604145326129,NA,NA,NA,NA,FALSE,"no data"
"ESCC","PDGFR_KIT_CSF1R",2,FALSE,0,-0.258032862151108,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.982572049960267,0.981604145326129,NA,NA,NA,NA,FALSE,"no data"
"ESCC","PI3K_AKT",2,FALSE,1,0.238328026624357,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.864300134494357,0.625307847406105,NA,NA,NA,NA,FALSE,"no data"
"ESCC","RAS_MAPK",2,FALSE,1,-0.520585130475861,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.733599529569079,0.199149431273392,NA,NA,NA,NA,FALSE,"no data"
"ESCC","RET_ALK_NTRK",2,FALSE,1,-0.314144478987989,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.950009659315851,0.916204659682388,NA,NA,NA,NA,FALSE,"no data"
"ESCC","SRC_FAK",2,TRUE,2,1.23311982680747,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.852558353358246,0.625307847406105,NA,NA,NA,NA,FALSE,"no data"
"ESCC","TAM_AXL_AXIS",2,TRUE,2,-0.58024192775737,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.715037059939547,0.105841264054133,NA,NA,NA,NA,FALSE,"no data"
"ESCC","TGFB_SMAD",2,FALSE,1,0.367405824054082,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82446417008411,0.53638454682694,NA,NA,NA,NA,FALSE,"no data"
"ESCC","TIE_ANGPT_AXIS",2,FALSE,1,0.377214670100685,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.946280689793283,0.916204659682388,NA,NA,NA,NA,FALSE,"no data"
"ESCC","VEGF_PDGF_AXIS",2,TRUE,2,0.840525891340547,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.957105106913076,0.938599045499954,NA,NA,NA,NA,FALSE,"no data"
"ESCC","WNT_CTNNB1",2,FALSE,1,0.47203166718792,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.709737202569793,0.182730859654844,NA,NA,NA,NA,FALSE,"no data"
"HCC","EPH_RECEPTORS",2,FALSE,0,-0.292423955508672,FALSE,TRUE,FALSE,1,-0.449166868224861,0.331024335548823,NA,-0.449166868224861,NA,NA,NA,NA,100,1,0,-0.544211308624998,FALSE,NA,NA,0.9327073583547,0.625307847406105,NA,NA,NA,NA,FALSE,"null/uncertain"
"HCC","ERBB_LIGANDS",2,FALSE,0,-0.750779992257517,FALSE,TRUE,FALSE,1,-1.29291267081778,0.0060759119033583,NA,-1.29291267081778,NA,NA,NA,NA,0,1,1,-1.41287397670182,FALSE,NA,NA,1.2283378934308,0.0830514085140988,NA,NA,NA,NA,FALSE,"null/uncertain"
"HCC","ERBB_RECEPTORS",2,FALSE,1,-0.399700391781099,FALSE,TRUE,FALSE,1,-0.362038221890031,0.432893113039761,NA,-0.362038221890031,NA,NA,NA,NA,0,1,0,-0.409270023468084,FALSE,NA,NA,0.890872061385147,0.349280094496987,NA,NA,NA,NA,FALSE,"weak/partial"
